cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,138885,"18138359",5122,"residential","Township Road 71",,"B",0,0,"F","F",1,437959.104809399,4915639.48753555
2,136502,"18135367",5122,"residential","336th Street",,"B",0,0,"F","F",1,449951.937286701,4923624.78464925
3,137936,"18137224",5115,"tertiary","Ridgetop Road","CR 104","B",0,0,"F","F",1,433849.985593643,4899036.0251232
4,138720,"18138154",5122,"residential","480th Street","CR 103","B",0,0,"F","F",1,437022.03922429,4900365.80966828
5,45365,"18021841",5115,"tertiary","243rd Street","CR 16","B",96,0,"F","F",1,436963.907235536,4898763.41901026
6,45535,"18022069",5122,"residential","240th Street",,"B",0,0,"F","F",1,436749.376149035,4897965.0519274
7,138025,"18137324",5115,"tertiary","151st Avenue","CR 3","B",88,0,"F","F",1,454916.615619028,4910935.22028945
8,138042,"18137344",5115,"tertiary","County Road 135","CR 135","B",0,0,"F","F",1,455982.194499613,4911512.61289693
9,350937,"160544910",5115,"tertiary","Le Sueur Avenue","CR 137","B",0,0,"F","F",1,458193.233857195,4911993.6832729
10,136143,"18134910",5141,"service",,,"B",0,0,"F","F",1,442819.048518836,4914927.84800697
11,137448,"18136632",5122,"residential","221st Avenue",,"B",0,0,"F","F",1,443644.666925742,4914454.68088623
12,137448,"18136632",5122,"residential","221st Avenue",,"B",0,0,"F","F",1,443649.229230728,4913596.67551978
13,138172,"18137486",5122,"residential","Hooterville Avenue",,"B",0,0,"F","F",1,440425.379730849,4915476.43346435
14,138172,"18137486",5122,"residential","Hooterville Avenue",,"B",0,0,"F","F",1,440424.829993599,4915683.36391544
15,138332,"18137694",5115,"tertiary","North Maple Avenue",,"B",0,0,"F","F",1,441232.635234385,4915819.40185754
16,137072,"18136121",5115,"tertiary","County Road 136","CR 136","B",0,0,"F","F",1,448557.778228778,4918463.81393372
17,137804,"18137057",5115,"tertiary","County Road 15","CR 15","B",88,0,"F","F",1,433968.831919777,4918446.10429241
18,137056,"18136100",5122,"residential","271st Avenue",,"B",0,0,"F","F",1,435261.363305618,4919588.58888546
19,138127,"18137437",5122,"residential","Lake Peppin Road",,"B",0,0,"F","F",1,452187.66740372,4923860.30841105
20,137127,"18136184",5122,"residential","County Road 142",,"B",0,0,"F","F",1,451905.836735299,4922818.44364856
21,138860,"18138329",5122,"residential","County Road 122","CR 122","B",0,0,"F","F",1,444867.606854433,4930094.47138737
22,138097,"18137403",5115,"tertiary","211th Avenue","CR 121","B",0,0,"F","F",1,445211.001421743,4929120.08943441
23,368480,"186755659",5115,"tertiary","410th Street","CR 20","B",0,0,"F","F",1,428953.293001946,4911741.62651085
