cat,a_cat,b_cat,to_x,to_y
1,1585,1,437958.753462575,4915636.76079332
2,3384,1,449950.851847423,4923621.45043357
3,516,1,434315.582808126,4898784.22150661
4,1799,1,454806.390649945,4910565.28398854
5,1447,1,458193.233857051,4911993.6832729
6,439,1,443115.954199386,4914819.76115549
7,2288,1,443646.940245258,4913596.70108359
8,1527,1,440427.752338758,4915684.2193707
9,1527,1,440427.589690247,4915474.43801265
10,2287,1,441233.818679861,4915819.71458277
11,3026,1,448561.096957888,4918462.61912818
12,700,1,452183.633521624,4923855.63326503
13,3381,1,451903.457566004,4922826.67377289
14,2479,1,444869.922179175,4930088.90313037
15,2827,1,428953.015001934,4911742.22217323
16,3198,1,430482.049206709,4907867.87109151
17,2917,1,427657.211197106,4902923.21804487
18,707,1,453856.349620535,4930860.52217337
19,3200,1,433892.553550542,4906753.34149797
20,696,1,454230.845781885,4919607.52221926
21,2909,1,425084.533084614,4898884.80545073
22,2950,1,454275.73852212,4906162.89969236
23,953,1,437120.156009147,4907778.31553551
24,3234,1,439572.767814072,4907266.52781115
25,1836,1,456505.926613064,4914763.53944023
26,3236,1,440816.653611498,4926075.27010366
27,2101,1,442133.77296781,4925004.96855354
28,1706,1,443661.194690233,4923854.28712595
29,2121,1,442263.914719343,4898725.75827111
30,2202,1,455092.879290708,4907766.6888162
31,3003,1,436874.982727566,4914840.12185467
32,1917,1,455286.661894118,4916381.02941853
33,2254,1,442069.382203182,4917639.16658917
34,2329,1,452827.834647515,4918213.42676766
35,1876,1,436914.29608298,4921308.30515604
36,765,1,437436.177528746,4922878.14926022
37,2624,1,432702.193712545,4930240.92867353
38,2481,1,442158.097444108,4927675.69633847
39,2291,1,447605.294464816,4919710.32959208
40,1363,1,452561.791587855,4912914.36451424
41,2506,1,441956.52394913,4900343.86470395
42,2834,1,430677.149738258,4907100.07847678
43,2204,1,452077.664691515,4917378.24074182
44,1880,1,441263.133503591,4919136.36863676
45,1170,1,443690.2352699,4917866.91460129
46,1273,1,434120.855680677,4929155.51149327
47,2229,1,456556.652039895,4929942.41094633
48,1242,1,434767.48385554,4913765.84201947
49,1836,1,454065.568946864,4914774.39468903
50,3003,1,435415.77957516,4914854.89228809
51,3369,1,454994.535069492,4915693.10820147
52,2204,1,452960.344618822,4918416.4005905
53,1704,1,443597.15071865,4907967.42466189
54,2843,1,443581.485649127,4908134.47959363
55,1695,1,443981.296687577,4912816.02475921
56,2480,1,451576.785099685,4926046.10689277
57,565,1,447244.60076917,4926865.88106603
58,2096,1,440548.59386705,4929701.44878145
59,696,1,453373.008446572,4923530.6988375
60,2224,1,455066.743993216,4923329.0851688
61,1199,1,452579.58187609,4914983.81231477
62,2684,1,451939.763897051,4915867.49342035
63,474,1,440167.358486787,4916443.1997523
64,3462,1,443863.095297846,4916218.13066839
65,2326,1,450175.018868825,4917322.19083486
66,1564,1,456111.074221601,4918223.23027896
67,2843,1,443278.882209384,4904593.24263579
68,2061,1,435885.481142422,4906089.2214223
69,1741,1,448421.330938401,4901773.88562641
70,279,1,452094.183850328,4919605.25604465
71,696,1,454213.853633652,4919607.64677129
72,1876,1,439889.211833994,4921263.92917937
73,3024,1,446781.282444535,4921858.98538307
74,2126,1,448002.850271921,4900020.88694954
75,2072,1,446810.93002591,4901607.59372932
76,679,1,454868.52358574,4904049.73898801
77,2843,1,443607.988135837,4907177.58084839
78,2468,1,441434.795476811,4908650.97147108
79,2469,1,442231.063238645,4907560.88198517
80,547,1,446066.872961962,4911189.9511041
81,2613,1,441470.968714873,4914430.99035679
82,380,1,440090.685145108,4912225.22977571
83,2839,1,439611.895958466,4912813.57321089
84,1836,1,457398.555550654,4914752.20713214
85,1916,1,456593.671445887,4914362.10405205
86,2685,1,457253.521763074,4914508.40074408
87,1526,1,445521.106538758,4915591.03753569
88,1521,1,445524.684639125,4918195.7854638
89,3303,1,450225.063027217,4929239.42844881
90,1091,1,456894.856357525,4905058.06070641
91,2446,1,431947.460623641,4905117.60693028
92,935,1,429585.023976015,4906285.68887005
93,2446,1,427979.604813425,4904514.44988783
94,2088,1,438759.609339576,4910811.08182131
95,2088,1,438759.655422543,4910808.92159612
96,2480,1,436986.120288179,4926127.55424864
97,3240,1,437143.628481446,4924504.9228894
98,585,1,434006.401599577,4934156.48652561
99,2330,1,453408.031924452,4918009.07390396
100,696,1,457308.969611394,4919582.42027002
101,1354,1,442706.09220919,4904184.54327711
102,3549,1,435739.335833275,4930598.33773222
103,1338,1,427672.919003871,4904431.67152012
104,2693,1,450350.866076146,4917841.88309435
105,3025,1,446973.439841048,4922217.34528773
106,2484,1,442939.541664438,4928891.64395335
107,1706,1,443771.651323157,4927620.82351163
108,3236,1,456019.428345993,4926020.62077867
109,2362,1,437958.753462575,4915636.76079332
110,3024,1,449586.992977017,4921204.9332083
111,3303,1,450187.74143535,4923896.15627426
112,2905,1,450187.74143535,4923896.15627426
113,1913,1,450188.348529338,4920923.40824002
114,935,1,433867.333820772,4899029.07617794
115,2005,1,434315.582808126,4898784.22150661
116,1285,1,434315.582808126,4898784.22150661
117,1629,1,434315.582808126,4898784.22150661
118,1996,1,434315.582808126,4898784.22150661
119,1022,1,434315.582808126,4898784.22150661
120,1535,1,434315.582808126,4898784.22150661
121,886,1,434315.582808126,4898784.22150661
122,3011,1,436749.376149035,4897965.0519274
123,1535,1,436963.902184638,4898763.71319273
124,2005,1,436963.902184638,4898763.71319273
125,1022,1,436963.902184638,4898763.71319273
126,1285,1,436963.902184638,4898763.71319273
127,1629,1,436963.902184638,4898763.71319273
128,1996,1,436963.902184638,4898763.71319273
129,3012,1,436749.376149035,4897965.0519274
130,1082,1,455982.167762477,4911511.98553444
131,1799,1,454917.407278882,4910935.31713981
132,3367,1,455982.167762477,4911511.98553444
133,1807,1,455982.167762477,4911511.98553444
134,1804,1,458193.233857051,4911993.6832729
135,2288,1,443643.791034096,4914455.04515431
136,2307,1,442820.085309763,4914927.60761504
137,541,1,443646.940245258,4913596.70108359
138,3223,1,443646.940245258,4913596.70108359
