cat,lcat,along,x,y
1,1,0,434651.528494873,4898378.9818396
2,1,221.807623087003,434429.724041696,4898380.16767703
3,1,443.615246174006,434263.086020258,4898449.77254447
4,3,0,427155.306694456,4897982.10604011
5,3,685.337976179405,426549.547281717,4898271.07038509
6,3,1370.67595235881,426335.551393689,4898906.48495269
7,4,0,426861.641472047,4898920.40947385
8,4,271.022240462624,426606.247541873,4898906.26463591
9,4,542.044480925247,426335.551393689,4898906.48495269
10,5,0,434263.086020258,4898449.77254447
11,5,746.271589184036,434065.230937799,4898927.46256313
12,5,1492.54317836807,433383.229502328,4899195.85220886
13,6,0,426335.551393689,4898906.48495269
14,6,976.03618797901,425469.656549123,4899263.228749
15,6,1952.07237595802,425072.262171541,4898637.62778142
16,7,0,442856.391603938,4897795.72141316
17,7,1795.58569380136,442356.233398867,4897737.87995355
18,7,3591.17138760273,442353.549547321,4899479.01367204
19,8,0,437638.681019483,4897318.03039067
20,8,2207.07818849117,436760.740731644,4898222.21599793
21,8,4414.15637698234,436987.530552617,4899988.22445399
22,9,0,443021.681469794,4899980.11455483
23,9,442.182280420598,442695.184019768,4899756.09571767
24,9,884.364560841195,442353.549547321,4899479.01367204
25,11,0,436987.530552617,4899988.22445399
26,11,255.702589290026,436987.349011116,4900243.64787118
27,11,511.405178580053,437120.087621583,4900432.24224949
28,12,0,446217.350841299,4901471.93370344
29,12,2675.53394651018,447693.473287332,4900198.5922665
30,12,5351.06789302036,449983.400489238,4900247.5830669
31,13,0,442353.549547321,4899479.01367204
32,13,1487.46026070173,441712.016949655,4900642.16599229
33,13,2974.92052140345,441437.099434116,4901701.51815464
34,14,0,445205.620255406,4901132.74603545
35,14,403.903717258468,445221.990379265,4901533.88830958
36,14,807.807434516935,445233.327190081,4901932.15044425
37,15,0,445233.327190081,4901932.15044425
38,15,590.602568776843,445728.902227181,4901705.86372739
39,15,1181.20513755369,446217.350841299,4901471.93370344
40,16,0,448006.459430501,4902025.03663139
41,16,1037.68697573421,447108.922312681,4901718.34196544
42,16,2075.37395146842,446217.350841299,4901471.93370344
43,17,0,448922.82886201,4901652.30028598
44,17,579.007926562066,448358.588799632,4901775.46278618
45,17,1158.01585312413,448006.459430501,4902025.03663139
46,18,0,445219.132426825,4902044.00034251
47,18,58.0527770530117,445219.987065545,4901986.10493653
48,18,116.105554106023,445233.327190081,4901932.15044425
49,19,0,448226.224514613,4902301.59629364
50,19,232.178094123222,448031.585378817,4902250.65373992
51,19,464.356188246445,448006.459430501,4902025.03663139
52,20,0,444810.62213366,4902397.09601065
53,20,271.29890471418,445021.188293305,4902228.81510268
54,20,542.597809428361,445219.132426825,4902044.00034251
55,21,0,443332.083919866,4902306.72721146
56,21,1039.88296487789,443991.434253175,4901881.62699408
57,21,2079.76592975578,444796.093177008,4902399.70420479
58,22,0,444796.093177008,4902399.70420479
59,22,7.5882576972467,444803.456339328,4902399.58853202
60,22,15.1765153944934,444810.62213366,4902397.09601065
61,23,0,445219.297028615,4902483.03254903
62,23,219.516118688795,445219.21472772,4902263.51644577
63,23,439.032237377589,445219.132426825,4902044.00034251
64,24,0,448425.724758538,4902505.37112188
65,24,194.726412940671,448418.514584154,4902312.99569722
66,24,389.452825881343,448226.224514613,4902301.59629364
67,25,0,448238.355294329,4902681.42447535
68,25,195.557573101297,448244.138894868,4902485.95244573
69,25,391.115146202594,448226.224514613,4902301.59629364
70,26,0,427645.516619229,4902923.17823073
71,26,115.82133233866,427761.245416279,4902920.88725272
72,26,231.64266467732,427871.214076942,4902937.59016127
73,27,0,427867.076125879,4902663.16613082
74,27,137.227746425437,427869.206612957,4902800.37733814
75,27,274.455492850873,427871.214076942,4902937.59016127
76,28,0,427871.214076942,4902937.59016127
77,28,261.411184814545,427874.143205227,4903198.74117956
78,28,522.822369629089,427858.141389919,4903452.64573773
79,29,0,444798.700059194,4903520.89003521
80,29,564.636918737438,444794.389678839,4902957.09377334
81,29,1129.27383747488,444810.62213366,4902397.09601065
82,30,0,457056.518696703,4903436.33218723
83,30,94.1805101547685,457029.497520139,4903526.55316322
84,30,188.361020309537,457002.476343575,4903616.77413922
85,31,0,427882.966013201,4903679.71495506
86,31,118.111901655865,427880.4981222,4903561.90937343
87,31,236.223803311731,427858.141389919,4903452.64573773
88,32,0,457563.429911246,4903638.89661857
89,32,280.697661167841,457282.977755657,4903627.19755117
90,32,561.395322335682,457002.476343575,4903616.77413922
91,33,0,428352.856341495,4903699.97636557
92,33,241.165559586238,428111.71375549,4903703.30508078
93,33,482.331119172477,427882.966013201,4903679.71495506
94,34,0,427858.141389919,4903452.64573773
95,34,549.721175489807,427417.711843249,4903635.69805041
96,34,1099.44235097961,427010.332161957,4903853.88001154
97,35,0,427892.257696404,4904087.12715461
98,35,206.640730515378,427885.128824807,4903883.80461464
99,35,413.281461030757,427882.966013201,4903679.71495506
100,36,0,427901.090339473,4904131.59599817
101,36,23.902427784794,427891.818312876,4904109.75646693
102,36,47.804855569588,427892.257696404,4904087.12715461
103,37,0,455380.861566273,4902965.60271933
104,37,721.924095136751,454926.205031528,4903466.30109011
105,37,1443.8481902735,455052.600560099,4904116.90916629
106,38,0,455094.197522605,4904135.05285973
107,38,22.6908621550017,455073.399041352,4904125.98101301
108,38,45.3817243100033,455052.600560099,4904116.90916629
109,39,0,457002.476343575,4903616.77413922
110,39,331.683239436832,456884.0811169,4903835.86380107
111,39,663.366478873663,456780.706475017,4904146.25273685
112,40,0,443193.974894318,4904196.82796762
113,40,1848.29748060935,443630.893077003,4902982.92325345
114,40,3696.5949612187,444796.093177008,4902399.70420479
115,41,0,457012.563615494,4904643.15269512
116,41,355.706414337389,457010.764262261,4904287.4814961
117,41,711.412828674779,456780.706475017,4904146.25273685
118,44,0,443430.531026225,4904945.59844451
119,44,415.500874197325,443269.064341302,4904569.87175695
120,44,831.001748394651,443193.974894318,4904196.82796762
121,45,0,456780.706475017,4904146.25273685
122,45,484.219542046778,456524.789841146,4904556.95782852
123,45,968.439084093555,456212.238403708,4904925.78566922
124,47,0,443417.713875431,4905031.05008041
125,47,43.7389935580144,443423.846088929,4904988.15628142
126,47,87.4779871160288,443430.531026225,4904945.59844451
127,48,0,427731.086924931,4905804.31331239
128,48,981.528239578375,427681.109702976,4904905.09870588
129,48,1963.05647915675,427901.090339473,4904131.59599817
130,49,0,443417.713875431,4905031.05008041
131,49,66.2063980035894,443392.42597088,4905092.14159318
132,49,132.412796007179,443364.413080524,4905152.12770152
133,50,0,456901.592626546,4905190.80648889
134,50,431.992014055361,456602.684679542,4905051.94203538
135,50,863.984028110722,456212.238403708,4904925.78566922
136,51,0,440559.396524209,4905160.8358081
137,51,1561.86385831774,441867.089526555,4904666.60755031
138,51,3123.72771663547,443193.974894318,4904196.82796762
139,52,0,428272.152957729,4905314.02193018
140,52,727.783311306518,428208.279604373,4904666.48252098
141,52,1455.56662261304,427901.090339473,4904131.59599817
142,53,0,444970.734409183,4904681.22198943
143,53,1235.91077601191,444113.45313947,4905157.41948992
144,53,2471.82155202381,443417.713875431,4905031.05008041
145,55,0,431933.264177316,4905059.09300315
146,55,296.73504634402,432006.906103665,4905344.98976916
147,55,593.470092688041,432058.665853204,4905636.65350644
148,56,0,434354.208604413,4904440.14870668
149,56,1335.81549345858,433159.105199317,4905022.57546133
150,56,2671.63098691716,432058.665853204,4905636.65350644
151,57,0,428828.766340873,4905525.10216447
152,57,91.3339328328338,428814.483199634,4905615.31235881
153,57,182.667865665668,428775.715117337,4905694.98616159
154,58,0,428775.715117337,4905694.98616159
155,58,445.435412387917,428446.836851209,4905696.71478034
156,58,890.870824775835,428272.152957729,4905314.02193018
157,59,0,455052.600560099,4904116.90916629
158,59,1497.04471760009,454371.877999414,4904758.54198335
159,59,2994.08943520018,454863.544276663,4905934.60990195
160,60,0,456212.238403708,4904925.78566922
161,60,847.298410337466,455569.865652947,4905467.26153888
162,60,1694.59682067493,454863.544276663,4905934.60990195
163,61,0,434982.353142771,4906005.87958007
164,61,159.801782010015,435142.111138942,4906002.13896608
165,61,319.60356402003,435207.71389474,4906106.87007992
166,62,0,435990.018496302,4905988.32076129
167,62,441.154628998427,435631.57435417,4906073.45943216
168,62,882.309257996855,435207.71389474,4906106.87007992
169,64,0,435207.71389474,4906106.87007992
170,64,205.493139050859,435219.876671578,4906311.91850809
171,64,410.986278101718,435048.907967603,4906353.8495655
172,65,0,430029.802122493,4906309.87862239
173,65,817.952767920213,429338.34507501,4906097.81323922
174,65,1635.90553584043,428775.715117337,4905694.98616159
175,66,0,454863.544276663,4905934.60990195
176,66,3421.49925613805,452054.506738563,4905954.22753177
177,66,6842.99851227611,449754.894291809,4905260.87071283
178,68,0,435048.907967603,4906353.8495655
179,68,452.580296340658,434700.509962958,4906469.5230124
180,68,905.160592681316,434284.03768943,4906521.6299574
181,70,0,434284.03768943,4906521.6299574
182,70,75.4763983975512,434208.622738429,4906524.33172153
183,70,150.952796795102,434133.200581223,4906526.8738059
184,72,0,434133.200581223,4906526.8738059
185,72,100.998858703322,434033.207975664,4906525.95012966
186,72,201.997717406645,433932.328404594,4906529.86327155
187,73,0,435080.506437184,4906532.58480533
188,73,95.0435950387603,435075.192803761,4906437.68986206
189,73,190.087190077521,435048.907967603,4906353.8495655
190,74,0,443206.806033073,4906375.53544835
191,74,82.8494371708011,443221.253037392,4906457.09702567
192,74,165.698874341602,443236.08480507,4906538.24353443
193,75,0,443594.211662922,4906528.69473198
194,75,179.575650949006,443414.673057649,4906532.33067388
195,75,359.151301898013,443236.08480507,4906538.24353443
196,76,0,444611.48714715,4905960.80510364
197,76,346.244928747576,444612.327628772,4906307.0073958
198,76,692.489857495152,444617.918784394,4906653.00404482
199,77,0,432058.665853204,4905636.65350644
200,77,1416.8892233381,431095.976698918,4906631.57396444
201,77,2833.77844667619,430029.802122493,4906309.87862239
202,78,0,445356.42018325,4906352.38792196
203,78,298.382057260747,445146.038881949,4906449.45286574
204,78,596.764114521495,445141.23482939,4906747.22222753
205,79,0,445141.23482939,4906747.22222753
206,79,303.963633874528,444837.670665113,4906749.99911323
207,79,607.927267749056,444617.918784394,4906653.00404482
208,80,0,445229.745864981,4906812.38051684
209,80,57.6288583439826,445189.976122546,4906770.95876978
210,80,115.257716687965,445141.23482939,4906747.22222753
211,82,0,430290.473146468,4907367.57649681
212,82,72.1651648402328,430361.955811452,4907375.89188975
213,82,144.330329680466,430433.500560728,4907383.93045129
214,83,0,431218.598757239,4907271.27875889
215,83,558.773573082038,430698.263796635,4907193.71783093
216,83,1117.54714616408,430433.500560728,4907383.93045129
217,84,0,454878.093239534,4906988.29408053
218,84,452.402210184303,455034.976629125,4907287.88178393
219,84,904.804420368605,455280.148659906,4907488.10108823
220,85,0,455689.832357071,4906888.54366959
221,85,499.726900761422,455694.189759583,4907388.25157266
222,85,999.453801522845,455280.148659906,4907488.10108823
223,86,0,445836.749869752,4907506.63867249
224,86,517.776171421032,445462.362025304,4907155.71616399
225,86,1035.55234284206,445229.745864981,4906812.38051684
226,88,0,443236.08480507,4906538.24353443
227,88,680.061225735194,443031.501594195,4907087.32055908
228,88,1360.12245147039,442792.768685419,4907557.70073428
229,89,0,444617.918784394,4906653.00404482
230,89,914.142573763348,443992.506880274,4907164.3724627
231,89,1828.2851475267,443253.461455007,4907557.03906795
232,90,0,443253.461455007,4907557.03906795
233,90,230.951820674973,443023.582423176,4907558.8565976
234,90,461.903641349946,442792.768685419,4907557.70073428
235,91,0,443584.929197684,4907578.3372393
236,91,167.099150429038,443418.182249652,4907568.84348407
237,91,334.198300858076,443253.461455007,4907557.03906795
238,92,0,445838.423136154,4907647.09844332
239,92,70.2358516569034,445837.825963285,4907576.86513041
240,92,140.471703313807,445836.749869752,4907506.63867249
241,94,0,445837.735865393,4907715.75470555
242,94,34.4120070364796,445837.507700141,4907681.34345493
243,94,68.8240140729592,445838.423136154,4907647.09844332
244,95,0,439163.213993236,4907498.57919251
245,95,1160.74997462491,438061.209490208,4907763.70277183
246,95,2321.49994924982,437070.26702227,4907617.8532817
247,96,0,445840.751401198,4907859.61422485
248,96,72.7606046561297,445838.343173444,4907788.44211383
249,96,145.521209312259,445837.735865393,4907715.75470555
250,98,0,433932.328404594,4906529.86327155
251,98,1041.49040893289,433307.828997528,4907122.6176933
252,98,2082.98081786578,433238.379227894,4907919.76686158
253,102,0,430433.500560728,4907383.93045129
254,102,435.432009163036,430445.739231,4907815.97060355
255,102,870.864018326071,430678.208347538,4908155.56901341
256,104,0,455280.148659906,4907488.10108823
257,104,1069.0347143606,454768.146389904,4908289.8081392
258,104,2138.06942872121,454137.262436011,4907880.2366877
259,105,0,441396.332282099,4908644.46205879
260,105,1548.93864055056,440363.294765109,4907697.70921016
261,105,3097.87728110113,439163.213993236,4907498.57919251
262,106,0,442792.768685419,4907557.70073428
263,106,1105.73674173503,441998.640620014,4908003.67802397
264,106,2211.47348347006,441396.332282099,4908644.46205879
265,107,0,443992.804573553,4908680.5888915
266,107,649.156678031067,443613.611936107,4908187.57352964
267,107,1298.31335606213,443584.929197684,4907578.3372393
268,108,0,454137.262436011,4907880.2366877
269,108,825.754681763563,453781.316368737,4908320.47648065
270,108,1651.50936352713,453541.165453242,4909065.57286637
271,109,0,442007.326881859,4909556.67166841
272,109,712.798704697158,441518.512422522,4909273.77767171
273,109,1425.59740939432,441396.332282099,4908644.46205879
274,112,0,439120.259665853,4909719.63425286
275,112,127.996906212702,439062.746016153,4909833.80450689
276,112,255.993812425403,439004.572497098,4909947.4997847
277,113,0,439004.572497098,4909947.4997847
278,113,380.727313577495,438898.764909704,4910301.33778513
279,113,761.45462715499,438765.924941815,4910615.99060454
280,114,0,439185.883633424,4910691.68081696
281,114,248.792648402547,439011.521932467,4910608.70180782
282,114,497.585296805093,438765.924941815,4910615.99060454
283,117,0,438765.924941815,4910615.99060454
284,117,100.195872258137,438765.054198392,4910715.98838462
285,117,200.391744516273,438757.753723112,4910814.53912227
286,118,0,438940.755472777,4911210.76710049
287,118,278.269532449211,438927.845008705,4910932.94865384
288,118,556.539064898423,438757.753723112,4910814.53912227
289,122,0,438757.753723112,4910814.53912227
290,122,680.71940474431,438143.301322412,4911087.11753988
291,122,1361.43880948862,437958.498811004,4911610.19703973
292,123,0,437169.491413694,4911373.47592144
293,123,127.038529459337,437179.127055104,4911491.39353515
