cat,orig_cat
1,18
2,23
3,27
4,33/35
5,36
6,38
7,57
8,64/73
9,107
10,96
11,132
12,133
13,161
14,191
15,221
16,222
17,229
18,232
19,262
20,279
21,290
22,319
23,331/330
24,360
25,362
26,364
27,379
28,380
29,393/389
30,418
31,430
32,26
33,30
34,141
35,154
36,171
37,173
38,174
39,214/190
40,178
41,187
42,201
43,204
44,206
45,210
46,242
47,261
48,263
49,267
50,328
51,340
52,350
53,367
54,384
55,22
56,53/49
57,74
58,75
59,112
60,227/225
61,268
62,280
63,353
64,361
65,82
66,123
67,368
68,396
69,61
70,117
71,202
72,253
73,252
74,285
75,299
76,49
77,146
78,348
79,387
80,62/61
81,180/179
82,208/207
83,298/285
84,308/299
85,153/146
86,25/24
87,342/341
88,373/374
89,166/151
90,250/249
91,155/148
92,73
93,265
94,197/196
95,370
96,148
97,147
98,241
99,266/265
100,205/198
101,371/370
102,218/183
103,345/335
104,85/84
105,189/188
106,244/235
107,274/272
108,312
109,24
110,1
111,4
112,7
113,8
114,12
115,13
116,16
117,17
118,20
119,21
120,25
121,28
122,39
123,41
124,51
125,53
126,59
127,60
128,62
129,76
130,77
131,79
132,83
133,89
134,105
135,106
136,109
137,114
138,122
139,124
140,128
141,129
142,131
143,135
144,147
145,153
146,157
147,158
148,159
149,162
150,163
151,167
152,169
153,183
154,192
155,195
156,203
157,205
158,211
159,215
160,216
161,220
162,225
163,246
164,234
165,245
166,247
167,248
168,266
169,276
170,293
171,295
172,304
173,305
174,308
175,313
176,315
177,316
178,323
179,324
180,333
181,335
182,341
183,342
184,344
185,365
186,366
187,371
188,398
189,389
190,351
191,397
192,422
193,424
194,425
195,426
196,427
197,3
198,6
199,9
200,14
201,15
202,29
203,32
204,33
205,34
206,37
207,40
208,45
209,48
210,50
211,58
212,55
213,56
214,66
215,78
216,84
217,85
218,88
219,90
220,102
221,118
222,127
223,130
224,136
225,137
226,138
227,140
228,142
229,144
230,151
231,152
232,160
233,185
234,166
235,168
236,175
237,181
238,186
239,188
240,189
241,190
242,193
243,194
244,196
245,199
246,209
247,212
248,214
249,223
250,231
251,235
252,240
253,244
254,249
255,250
256,272
257,274
258,282
259,300
260,301
261,303
262,309
263,318
264,321
265,326
266,331
267,345
268,383
269,386
270,409
271,420
272,408
273,294
274,243
