from_cat,to_x,to_y,dist
7531,387054.838960801,4954849.72058194,42.3499567512187
7558,386074.401761823,4946886.54896587,1.26796709678629
7560,383649.879409553,4946716.65744655,2.08331693270982
7574,413649.654462791,4973954.29487108,0.0725216579408667
7577,406434.284562706,4974488.20849017,2.6155058517474
7578,401040.271807055,4971658.71747137,4.95383191625817
7582,409625.000173656,4974521.53268787,1.0187473392005
7584,416430.711277128,4967356.39458234,1.22332626022858
7585,416980.372664253,4967660.90634268,1.93542595792981
7586,412520.4358871,4963414.32850489,0.349116101187079
7587,383241.530645046,4969537.63242792,0.205433771905286
7589,381649.394734198,4968847.21308508,2.50521666330541
7590,384874.98242691,4970235.20039751,0.948006360226438
7591,381211.487119991,4944111.92089247,0.356527794639457
7592,382803.709436865,4944717.12300568,0.0170149978080412
7593,412078.09242185,4975380.54150502,0.296005711479934
7595,416145.862540872,4980860.74061341,0.456685940588777
7597,400674.800235066,4971774.77147316,3.11561891144094
7598,406221.024183019,4955474.43263788,2.34161585117124
7661,415254.755598396,4973100.92168292,4.47186010184301
15688,419592.728169718,4973030.84153876,2.01799302582505
17443,413727.160947978,4963981.8144183,0.194261276184024
18199,419927.920674955,4977850.54657312,0.246006566523519
18349,399184.399540152,4972562.24069314,0.91019478006626
18350,416946.05386294,4980731.24652027,2.96463472213589
18465,402653.929517708,4970780.21364827,5.96048958737736
18481,399077.527300783,4973421.73248538,0.00177543432076733
18576,395638.893058316,4942976.17970658,0.582041966911636
18692,418052.0644448,4980291.80831731,0.200525336960373
18820,399202.236876281,4973207.89723453,5.93175450057507
19379,410528.545117716,4962921.42777267,0.693503076598866
20706,396162.605786926,4942725.7505879,0.161920998242445
21000,390851.521003605,4943101.43841506,2.13606746974987
21128,382834.929882963,4946713.72880689,0.977834011618904
21365,393248.827254918,4943888.1062071,1.04223979005603
22017,383159.46121457,4945317.97257223,0.462455812248329
23816,404688.589275099,4974799.50626645,43.9801876447225
23817,381247.748593015,4945896.39581918,0.258832164794645
23990,402885.216240712,4970073.06555694,1.33134647926019
