cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,149539,"18150274",5122,"residential","240th Street",,"B",0,0,"F","F",1,396485.597174114,4979945.66111746
2,145573,"18145945",5122,"residential","110th Street",,"B",0,0,"F","F",1,420005.009868595,4958470.67633972
3,149716,"18150524",5115,"tertiary","120th Street","CR 3","B",0,0,"F","F",1,412860.435067704,4960192.38302535
4,150005,"18150838",5122,"residential","Yacht Avenue",,"B",0,0,"F","F",1,383184.757719199,4979640.32073096
5,143090,"18143173",5141,"service",,,"B",0,0,"F","F",1,382769.256785228,4978868.21158756
6,150866,"18151796",5122,"residential","230th Street","CR 85","B",0,0,"F","F",1,419927.020669174,4977852.97352583
7,150334,"18151195",5122,"residential","County Road 58",,"B",0,0,"F","F",1,383240.474952231,4969537.41460347
8,209225,"18220992",5121,"unclassified","Zane Avenue",,"B",0,0,"F","F",1,381648.929859183,4968847.17326414
9,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,386816.783776861,4942859.8868535
10,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,396733.7534225,4942719.31967721
11,149140,"18149829",5122,"residential","100th Street",,"B",0,0,"F","F",1,383357.01959724,4957480.92340733
12,141755,"18141704",5141,"service",,,"B",0,0,"F","F",1,388134.950227952,4943167.19723118
13,961031,"1380155346",5121,"unclassified","Tagus Avenue",,"B",0,0,"F","F",1,389640.940285932,4943288.80577887
14,432959,"409011023",5115,"tertiary","245th Street","CSAH 6","B",0,0,"F","F",1,418052.126627257,4980294.35454124
15,150183,"18151033",5114,"secondary","6th Street North","CSAH 1","B",88,0,"F","F",1,416944.73630696,4980731.16701881
16,148805,"18149433",5122,"residential","Grass Lake Road",,"B",0,0,"F","F",1,416145.459508907,4980860.69203966
17,150324,"18151185",5115,"tertiary","Falcon Avenue","CSAH 31","B",0,0,"F","F",1,410558.538606696,4980643.28606022
18,149118,"18149804",5122,"residential","Zane Avenue",,"B",0,0,"F","F",1,381211.61986125,4944111.92347503
19,149721,"18150529",5114,"secondary","Dairy Avenue","CR 1","B",0,0,"F","F",1,413675.777154761,4960559.37104725
20,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,396162.558462689,4942727.1585714
21,149331,"18150044",5115,"tertiary","County Highway 13","CR 13","B",0,0,"F","F",1,395631.086649028,4942751.49064393
22,149721,"18150529",5114,"secondary","Dairy Avenue","CR 1","B",0,0,"F","F",1,413729.07838889,4963982.84782131
23,149737,"18150548",5122,"residential","County Road 74",,"B",0,0,"F","F",1,412520.425041386,4963414.52596093
24,956902,"1375895925",5115,"tertiary","County Highway 7","CR 7","B",0,1,"T","F",1,383650.776550182,4946716.78239922
25,590424,"772556204",5113,"primary",,"MN 7","B",96,0,"F","F",1,415255.439311507,4973100.3520663
26,149726,"18150535",5122,"residential","Dairy Avenue",,"B",0,0,"F","F",1,413648.121973758,4973954.44495614
27,150078,"18150920",5122,"residential","Eagle Avenue",,"B",0,0,"F","F",1,412076.302119066,4975380.84716227
28,148963,"18149619",5122,"residential","Flower Road",,"B",0,0,"F","F",1,409623.649258805,4974521.69753571
29,141746,"18141695",5141,"service",,,"B",0,0,"F","F",1,404027.894905987,4974508.76305741
30,148842,"18149475",5122,"residential","85th Street",,"B",0,0,"F","F",1,387029.266775499,4954827.27512422
31,149549,"18150286",5122,"residential","75th Street",,"B",0,0,"F","F",1,386718.095297698,4953394.92326983
32,149470,"18150196",5122,"residential","115th Street",,"B",0,0,"F","F",1,382491.037020972,4959924.42466352
33,150038,"18150876",5122,"residential","Lace Avenue",,"B",0,0,"F","F",1,400740.562712193,4956676.147846
34,411749,"318664864",5122,"residential","100th Street",,"B",0,0,"F","F",1,400725.832139493,4957095.48760865
35,150334,"18151195",5122,"residential","County Road 58",,"B",0,0,"F","F",1,383198.907567255,4966567.27870947
36,141887,"18141842",5115,"tertiary","County Highway 9","CR 9","B",0,0,"F","F",1,417688.374771021,4960352.35220408
37,149118,"18149804",5122,"residential","Zane Avenue",,"B",0,0,"F","F",1,381247.566460173,4945896.3876434
38,150552,"18151443",5122,"residential","50th Street",,"B",0,0,"F","F",1,381629.852725489,4949383.68890566
39,151391,"18152412",5122,"residential","40th Street",,"B",0,0,"F","F",1,382616.373393719,4947744.9116587
40,148813,"18149443",5122,"residential","Nature Avenue",,"B",0,0,"F","F",1,397634.797285056,4974567.89564963
41,149422,"18150143",5115,"tertiary","County Highway 16","CR 16","B",0,0,"F","F",1,403260.096215165,4975091.25197617
42,148917,"18149561",5122,"residential","220th Street",,"B",0,0,"F","F",1,402945.461297985,4976514.27846163
43,149532,"18150266",5115,"tertiary","County Highway 5","CR 5","B",0,0,"F","F",1,402306.556995565,4978211.64665953
44,149479,"18150206",5115,"tertiary","Major Avenue","CTH 4","B",0,0,"F","F",1,399187.0525138,4972565.72540811
45,149831,"18150651",5122,"residential","County Road 79","CR 79","B",0,0,"F","F",1,395630.60021128,4973478.64536828
46,535128,"721606256",5115,"tertiary","County Road 7","CR 7","B",0,0,"F","F",1,394810.758797274,4974805.50618296
47,149163,"18149854",5122,"residential","Garden Avenue",,"B",0,0,"F","F",1,408846.324430842,4977210.56628528
48,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,390580.757088996,4942823.56292202
49,411751,"318665548",5122,"residential","100th Street",,"B",0,0,"F","F",1,414799.641531899,4956956.08347797
50,149729,"18150538",5114,"secondary","Dairy Avenue","CR 1","B",0,0,"F","F",1,413603.334844184,4955747.88787519
51,411732,"318664097",5115,"tertiary","80th Street","CR 10","B",0,0,"F","F",1,412184.016754006,4953756.66635478
52,230786,"18248226",5122,"residential","70th Street",,"B",0,0,"F","F",1,412135.47532689,4952152.00680536
53,149890,"18150714",5115,"tertiary","Falcon Avenue North","CR 15","B",0,0,"F","F",1,410662.56653409,4970553.62454926
54,149469,"18150195",5122,"residential","15th Street",,"B",0,0,"F","F",1,382380.5698403,4943715.43650069
55,151370,"18152389",5112,"trunk","State Highway 15","MN 15","B",96,0,"F","F",1,390851.315022923,4943101.43651404
56,149401,"18150121",5122,"residential","Killdeer Avenue",,"B",0,0,"F","F",1,401630.734118679,4974950.50301376
57,143489,"18143619",5122,"residential","County Road 71",,"B",0,0,"F","F",1,400843.849941439,4975006.72905194
58,148917,"18149561",5122,"residential","220th Street",,"B",0,0,"F","F",1,399989.380487416,4976615.82049558
59,151085,"18152062",5114,"secondary","Walden Avenue",,"B",0,0,"F","F",1,384812.75350917,4966405.50392608
60,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,391843.363704887,4942811.91019773
61,149331,"18150044",5115,"tertiary","County Highway 13","CR 13","B",0,0,"F","F",1,395636.572036572,4942977.11119948
62,151214,"18152206",5122,"residential","Pilot Avenue",,"B",0,0,"F","F",1,393249.172232439,4943888.09347435
63,784993,"1061550781",5142,"track",,,"B",0,0,"F","F",1,398974.955944993,4970956.00130873
64,147001,"18147478",5141,"service",,,"B",0,0,"F","F",1,402701.139400481,4970549.73963475
65,150041,"18150879",5122,"residential","Lace Avenue",,"B",0,0,"F","F",1,401040.69360552,4971658.68975306
66,149737,"18150548",5122,"residential","County Road 74",,"B",0,0,"F","F",1,414637.812996333,4963352.4497029
67,149721,"18150529",5114,"secondary","Dairy Avenue","CR 1","B",0,0,"F","F",1,413678.065671075,4961342.26080115
68,150003,"18150836",5122,"residential","Yacht Avenue",,"B",0,0,"F","F",1,382804.25934167,4944717.13121002
69,149461,"18150187",5122,"residential","County Highway 17",,"B",0,0,"F","F",1,383159.527643019,4945318.47664448
70,150003,"18150836",5122,"residential","Yacht Avenue",,"B",0,0,"F","F",1,382834.228534026,4946714.13546632
71,148847,"18149481",5122,"residential","Grain Avenue",,"B",0,0,"F","F",1,408025.184161474,4974274.05715004
72,589664,"771874708",5152,"cycleway","Luce Line State Trail",,"B",0,1,"T","F",1,407259.45004124,4974747.5898271
73,293029,"58658865",5114,"secondary","Jade Road","CR 2","B",0,0,"F","F",1,406433.20946472,4974488.25015048
74,149113,"18149799",5122,"residential","Jade Road",,"B",0,0,"F","F",1,404704.262404244,4974755.22771522
75,150328,"18151189",5122,"residential","165th Street",,"B",0,0,"F","F",1,416430.726903309,4967356.21567436
76,145446,"18145811",5122,"residential","140th Street",,"B",0,0,"F","F",1,385360.070053742,4963957.87100987
77,151085,"18152062",5114,"secondary","Walden Avenue",,"B",0,0,"F","F",1,384809.005762647,4965993.30721306
78,149157,"18149848",5121,"unclassified","Arch Street",,"B",0,0,"F","F",1,394056.113042481,4971055.21140103
79,149610,"18150361",5113,"primary","State Highway 22","MN 22","B",96,0,"F","F",1,394714.056433162,4971391.94469283
80,301678,"94472082",5122,"residential","Zebra Avenue",,"B",0,0,"F","F",1,420090.298071879,4959292.54351485
81,301678,"94472082",5122,"residential","Zebra Avenue",,"B",0,0,"F","F",1,420075.278868168,4958330.66985761
82,411721,"318662848",5115,"tertiary","Major Avenue","CTH 4","B",0,0,"F","F",1,399358.223823331,4969741.80783831
83,411721,"318662848",5115,"tertiary","Major Avenue","CTH 4","B",0,0,"F","F",1,399278.170502676,4967530.67006316
84,150325,"18151186",5122,"residential","165th Street",,"B",0,0,"F","F",1,402469.76006055,4967674.05883368
85,150041,"18150879",5122,"residential","Lace Avenue",,"B",0,0,"F","F",1,400928.075697949,4967908.58366925
86,143086,"18143169",5141,"service",,,"B",0,0,"F","F",1,399221.933398068,4967784.65906057
87,143066,"18143145",5141,"service",,,"B",0,0,"F","F",1,399942.278294696,4969784.72322249
88,150005,"18150838",5122,"residential","Yacht Avenue",,"B",0,0,"F","F",1,383149.665949079,4978186.06340406
89,949804,"1365294356",5114,"secondary","Walden Avenue",,"B",0,1,"T","F",1,384874.843197469,4970235.19796822
90,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,387545.111802732,4942855.8599744
91,145573,"18145945",5122,"residential","110th Street",,"B",0,0,"F","F",1,418140.857714946,4958453.38748963
92,363505,"178702524",5152,"cycleway","Luce Line State Trail",,"B",0,1,"T","F",1,398363.495923549,4972963.93908232
93,150237,"18151091",5122,"residential","Cable Avenue",,"B",0,0,"F","F",1,414935.572722623,4979983.05666951
94,149731,"18150541",5122,"residential","Dairy Avenue",,"B",0,0,"F","F",1,413737.810458722,4979750.6901965
95,150964,"18151913",5122,"residential","Hilton Avenue",,"B",0,0,"F","F",1,406444.392705316,4975052.74551141
96,141521,"18141446",5122,"residential","Wells Avenue",,"B",0,0,"F","F",1,384000.583305195,4966184.95374564
97,411721,"318662848",5115,"tertiary","Major Avenue","CTH 4","B",0,0,"F","F",1,399394.55543006,4971090.30631418
98,149099,"18149781",5113,"primary",,"MN 7","B",96,0,"F","F",1,400674.697991292,4971774.937649
99,141846,"18141799",5141,"service",,,"B",0,0,"F","F",1,400148.727194402,4971857.41162054
100,150091,"18150935",5115,"tertiary","120th Street","CR 3","B",0,0,"F","F",1,414802.825688846,4960154.08329851
101,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,395264.079837626,4942743.2456564
102,149166,"18149857",5122,"residential","Garden Avenue",,"B",0,0,"F","F",1,408915.347258507,4962739.89547654
103,149042,"18149721",5122,"residential","Eagle Avenue North",,"B",0,0,"F","F",1,412117.902860514,4963386.76815763
104,935027,"1332908296",5115,"tertiary","Falcon Avenue North","CR 15","B",0,0,"F","F",1,410527.858789203,4962921.14207089
105,144710,"18144995",5141,"service",,,"B",0,0,"F","F",1,415195.628528309,4961947.08181328
106,149793,"18150607",5122,"residential","Vale Avenue",,"B",0,0,"F","F",1,386074.569995552,4946886.5387321
107,150237,"18151091",5122,"residential","Cable Avenue",,"B",0,0,"F","F",1,415251.690979826,4973103.40418599
108,538010,"724454910",5152,"cycleway","Luce Line State Trail",,"B",0,0,"F","F",1,408000.72399071,4975774.76589414
109,151388,"18152409",5122,"residential","Jet Avenue",,"B",0,0,"F","F",1,403154.549584305,4955871.03276531
110,293201,"58950965",5112,"trunk","US Highway 212","US 212;MN 22","F",104,0,"F","F",1,406232.312090871,4955469.64738666
111,293203,"58950968",5112,"trunk","US Highway 212","US 212;MN 22","F",104,0,"F","F",1,406202.603146417,4955482.23495515
112,149982,"18150814",5122,"residential","Imperial Avenue",,"B",0,0,"F","F",1,404787.183711168,4955857.40338516
113,150913,"18151853",5122,"residential","County Road 86",,"B",0,0,"F","F",1,407893.402783926,4975917.77102528
114,150108,"18150952",5122,"residential","Unit Avenue",,"B",0,0,"F","F",1,387048.675072205,4954850.44753723
115,149188,"18149881",5112,"trunk",,"US 212","B",96,0,"F","F",1,386716.30098682,4953323.3184542
116,889526,"1274536414",5112,"trunk",,"US 212","F",104,0,"F","F",1,419028.167038024,4957683.8370385
117,149831,"18150651",5122,"residential","County Road 79","CR 79","B",0,0,"F","F",1,399077.72656444,4973421.10903194
118,534636,"721382759",5152,"cycleway","Luce Line State Trail",,"B",0,0,"F","F",1,397532.170701591,4972647.39067789
119,149947,"18150775",5122,"residential","90th Street",,"B",0,0,"F","F",1,411973.7776562,4955366.82861616
120,149435,"18150157",5114,"secondary","County Highway 2","CR 2","B",0,0,"F","F",1,406604.470999798,4974879.52568642
121,149340,"18150053",5122,"residential","190th Street",,"B",0,0,"F","F",1,411989.211423697,4971554.05745275
122,149890,"18150714",5115,"tertiary","Falcon Avenue North","CR 15","B",0,0,"F","F",1,410670.458019029,4971033.97294987
123,151085,"18152062",5114,"secondary","Walden Avenue",,"B",0,0,"F","F",1,384816.45981934,4966770.88503143
124,147299,"18147800",5141,"service",,,"B",0,0,"F","F",1,384794.159145812,4966196.6527085
125,149061,"18149741",5122,"residential","County Road 90",,"B",0,0,"F","F",1,402649.260490456,4970787.2041615
126,784993,"1061550781",5142,"track",,,"B",0,0,"F","F",1,402561.750192903,4970882.72624172
127,891610,"1278371057",5142,"track",,,"B",0,1,"T","F",1,415345.43810645,4966569.93478338
128,141487,"18141408",5115,"tertiary","County Road 18","CR 18","B",96,0,"F","F",1,384818.699373842,4965586.01634177
129,149406,"18150126",5115,"tertiary","5th Avenue Southeast",,"B",0,0,"F","F",1,394564.882254618,4971249.83935469
130,411752,"318665867",5122,"residential","170th Street",,"B",0,0,"F","F",1,398755.371611852,4968548.9105036
131,150430,"18151301",5115,"tertiary","230th Street","CR 20","B",0,0,"F","F",1,382710.128489992,4978520.14216332
132,889525,"1274536413",5112,"trunk",,"US 212","F",104,0,"F","F",1,419028.567488293,4957711.51895266
133,363506,"178702525",5152,"cycleway","Luce Line State Trail",,"B",0,0,"F","F",1,399276.47739136,4973012.41473764
134,141864,"18141819",5141,"service",,,"B",0,0,"F","F",1,400368.374504791,4971811.54279209
135,141492,"18141413",5122,"residential","132nd Street",,"B",0,0,"F","F",1,415300.487227871,4962143.13364394
136,149479,"18150206",5115,"tertiary","Major Avenue","CTH 4","B",0,0,"F","F",1,399206.911142109,4973203.57342513
137,538046,"724577575",5152,"cycleway",,,"B",0,1,"T","F",1,397599.863536511,4972644.32682175
138,784992,"1061550780",5142,"track",,,"B",0,0,"F","F",1,410427.172471766,4970747.29007753
139,946157,"1358411935",5122,"residential","Wells Avenue",,"B",0,1,"T","F",1,384008.423609381,4966926.09710134
140,147332,"18147836",5141,"service",,,"B",0,0,"F","F",1,385036.70822637,4964695.07176523
141,534636,"721382759",5152,"cycleway","Luce Line State Trail",,"B",0,0,"F","F",1,398017.716562257,4972832.46288839
