cat,a_cat,b_cat,to_x,to_y
1,2252,1,420090.298071879,4959292.54351485
2,2252,1,420075.278868168,4958330.66985761
3,741,1,412860.455099786,4960192.38294408
4,1963,1,399221.932225339,4967784.6007192
5,3092,1,399361.671509987,4969742.04066436
6,2621,1,383184.757719199,4979640.32073096
7,3026,1,382710.128489992,4978520.14216332
8,3795,1,419928.063821627,4977850.19355564
9,839,1,383241.680193693,4969537.65164945
10,960,1,381650.973681543,4968847.30428161
11,2956,1,386816.763776645,4942859.88697574
12,3496,1,383356.999590534,4957480.9237695
13,1869,1,389640.940285932,4943288.80577887
14,2569,1,418052.0784432,4980291.94921062
15,67,1,416944.73630696,4980731.16701881
16,936,1,416145.416250466,4980860.68790434
17,3569,1,410561.040550584,4980642.783032
18,1971,1,381211.61986125,4944111.92347503
19,1840,1,413675.777183521,4960559.37104549
20,2506,1,396162.538418291,4942727.1592547
21,3516,1,408915.347258507,4962739.89547654
22,3356,1,383652.055942562,4946716.94621425
23,1792,1,415255.787045043,4973100.09471213
24,2175,1,413650.291920151,4973954.21820466
25,2598,1,412078.529560527,4975380.45423881
26,2342,1,409623.223871863,4974521.7526195
27,3561,1,404027.894905987,4974508.76305741
28,1915,1,403154.549584305,4955871.03276531
29,1944,1,407893.402783926,4975917.77102528
30,3098,1,387048.675072205,4954850.44753723
31,622,1,386716.298987227,4953323.283322
32,625,1,382491.037020972,4959924.42466352
33,1742,1,400740.562712193,4956676.147846
34,2143,1,400725.852151431,4957095.48576274
35,839,1,383198.907910431,4966567.27870461
36,3766,1,381631.206728116,4949385.91862725
37,2958,1,382616.350922185,4947744.9120565
38,2440,1,397634.797285056,4974567.89564963
39,3279,1,399206.911142109,4973203.57342513
40,3164,1,403260.096215165,4975091.25197617
41,1937,1,402945.461297985,4976514.27846163
42,688,1,395630.575758638,4973478.64557402
43,3634,1,394810.758797274,4974805.50618296
44,2331,1,408846.324430842,4977210.56628528
45,3221,1,414799.641247059,4956956.07993266
46,2382,1,411973.777468029,4955366.82801607
47,2323,1,412184.016754006,4953756.66635478
48,3617,1,412135.455318411,4952152.00706215
49,1520,1,406816.580313763,4974959.04438699
50,707,1,406444.392705316,4975052.74551141
51,103,1,410662.56653409,4970553.62454926
52,900,1,382380.5698403,4943715.43650069
53,1868,1,390851.315022923,4943101.43651404
54,3174,1,401630.734118679,4974950.50301376
55,1937,1,399989.380487416,4976615.82049558
56,3712,1,384008.423295097,4966926.09710816
57,1680,1,391843.343272204,4942811.91034771
58,1269,1,395638.860590511,4942976.18209514
59,2505,1,393249.172232439,4943888.09347435
60,3092,1,399397.886345478,4971091.03165644
61,2940,1,402648.899457961,4970787.74609757
62,2362,1,401040.69360552,4971658.68975306
63,1840,1,413678.063236263,4961342.25996089
64,2535,1,382804.25934167,4944717.13121002
65,1303,1,383159.527643019,4945318.47664448
66,2535,1,382836.490152478,4946712.78657747
67,3556,1,408025.184161474,4974274.05715004
68,2349,1,406435.683843386,4974488.13122575
69,2753,1,404704.262404244,4974755.22771522
70,2250,1,416430.706963507,4967356.21344429
71,841,1,385037.514535369,4964693.79726846
72,3304,1,384809.005762647,4965993.30721306
73,2045,1,396485.614305922,4979945.65073937
74,797,1,396485.597174114,4979945.66111746
75,417,1,394564.882254618,4971249.83935469
76,551,1,394714.056172519,4971391.92469429
77,1559,1,420005.009868595,4958470.67633972
78,1493,1,412860.455099786,4960192.38294408
79,3092,1,399281.476331578,4967530.23930666
80,3737,1,402469.76006055,4967674.05883368
81,2362,1,400928.075697949,4967908.58366925
82,1413,1,398755.393811673,4968548.909413
83,2373,1,399942.278294696,4969784.72322249
84,555,1,382769.256785228,4978868.21158756
85,2621,1,383149.665949079,4978186.06340406
86,1877,1,383241.680193693,4969537.65164945
87,3304,1,384876.234883219,4970235.12214597
88,3425,1,381650.973681543,4968847.30428161
89,898,1,386816.783776861,4942859.8868535
90,1912,1,386816.763776645,4942859.88697574
91,261,1,386816.783776861,4942859.8868535
92,2531,1,388134.950227952,4943167.19723118
93,261,1,387545.111802732,4942855.8599744
94,1871,1,383357.01959724,4957480.92340733
95,2302,1,419028.187098209,4957683.84096806
96,963,1,381247.566460173,4945896.3876434
97,3279,1,399187.0525138,4972565.72540811
98,3681,1,400843.849941439,4975006.72905194
99,2956,1,390580.73707284,4942823.5631532
100,2997,1,414936.092536803,4979983.20238919
101,2158,1,418052.0784432,4980291.94921062
102,159,1,418052.0784432,4980291.94921062
103,2175,1,413738.72148154,4979750.85234008
104,3177,1,410561.040550584,4980642.783032
105,2762,1,410561.040550584,4980642.783032
106,1008,1,381211.61986125,4944111.92347503
107,963,1,381211.61986125,4944111.92347503
108,1789,1,381211.61986125,4944111.92347503
109,3025,1,381211.61986125,4944111.92347503
110,320,1,381211.61986125,4944111.92347503
111,2497,1,395635.081923228,4942751.52390685
112,3712,1,384001.554542699,4966184.92939815
113,1213,1,400368.374504791,4971811.54279209
114,2445,1,400148.727194402,4971857.41162054
115,3469,1,413675.777183521,4960559.37104549
116,1011,1,413675.777183521,4960559.37104549
117,3323,1,396162.538418291,4942727.1592547
118,1174,1,396162.538418291,4942727.1592547
119,1822,1,396162.538418291,4942727.1592547
120,2540,1,396162.538418291,4942727.1592547
121,1680,1,396162.538418291,4942727.1592547
122,1269,1,395635.081923228,4942751.52390685
123,2506,1,395264.058732059,4942743.24617211
124,28,1,412117.901822497,4963386.7683715
125,3464,1,412520.445040398,4963414.52623456
126,3469,1,413729.09960003,4963982.85937901
127,1011,1,413729.09960003,4963982.85937901
128,1840,1,413729.09960003,4963982.85937901
129,3070,1,412520.445040398,4963414.52623456
130,103,1,410527.858789203,4962921.14207089
131,1014,1,415300.487208789,4962143.12919694
132,1001,1,414637.823908587,4963352.41662676
133,1722,1,386074.569995552,4946886.5387321
134,2997,1,415251.870826853,4973103.2577436
135,1057,1,406202.581334569,4955482.22246537
136,1071,1,404787.183711168,4955857.40338516
137,1103,1,407893.402783926,4975917.77102528
138,1456,1,387029.266775499,4954827.27512422
139,634,1,386718.095297698,4953394.92326983
140,3141,1,400740.562712193,4956676.147846
141,1877,1,383198.907910431,4966567.27870461
142,3222,1,418362.766270599,4958825.75946932
143,1558,1,418141.241268545,4958452.99808338
144,2301,1,419028.567558386,4957711.52440646
145,1832,1,417688.3766789,4960352.35144856
146,2242,1,417688.3766789,4960352.35144856
147,3025,1,381247.566460173,4945896.3876434
148,1971,1,381247.566460173,4945896.3876434
149,1789,1,381247.566460173,4945896.3876434
150,320,1,381247.566460173,4945896.3876434
151,1008,1,381247.566460173,4945896.3876434
152,2534,1,382616.373393719,4947744.9116587
153,1212,1,399206.911142109,4973203.57342513
154,2752,1,399077.705700084,4973421.10892387
155,3562,1,402306.556995565,4978211.64665953
156,1509,1,403260.096215165,4975091.25197617
157,1098,1,402306.556995565,4978211.64665953
158,1212,1,399187.0525138,4972565.72540811
159,2752,1,395630.575758638,4973478.64557402
160,3282,1,394810.758797274,4974805.50618296
161,1912,1,390580.73707284,4942823.5631532
162,261,1,390580.757088996,4942823.56292202
163,898,1,390580.757088996,4942823.56292202
164,3607,1,413603.338652581,4955747.88791652
165,678,1,412184.016754006,4953756.66635478
166,2740,1,412135.455318411,4952152.00706215
167,339,1,412135.455318411,4952152.00706215
168,1561,1,412135.455318411,4952152.00706215
169,746,1,412135.455318411,4952152.00706215
170,1024,1,412135.455318411,4952152.00706215
171,1401,1,411989.233935634,4971554.05723703
172,103,1,410670.458019029,4971033.97294987
173,962,1,381581.387345094,4942923.49257291
174,796,1,400843.849941439,4975006.72905194
175,3304,1,384812.752486367,4966405.50352474
176,3323,1,391843.343272204,4942811.91034771
177,1822,1,391843.343272204,4942811.91034771
178,1174,1,391843.343272204,4942811.91034771
179,2540,1,391843.343272204,4942811.91034771
180,2506,1,391843.343272204,4942811.91034771
181,2497,1,395638.860590511,4942976.18209514
182,1024,1,399397.886345478,4971091.03165644
183,2518,1,402648.899457961,4970787.74609757
184,1539,1,401040.69360552,4971658.68975306
185,3464,1,414637.845061592,4963352.41634582
186,3469,1,413678.063236263,4961342.25996089
