cat,lcat,along,x,y
1,1,0,396895.051957215,4981382.83999016
2,1,69.3937465256633,396948.796027476,4981423.39106034
3,1,138.787493051327,397013.366255479,4981448.81108615
4,2,0,397010.587588462,4981036.72962163
5,2,155.622784909104,397054.158535723,4981185.17267919
6,2,311.245569818208,397113.408615419,4981328.83731301
7,3,0,397366.999387039,4981056.7620954
8,3,188.045847867079,397234.145222169,4981185.9690765
9,3,376.091695734157,397113.408615419,4981328.83731301
10,4,0,411973.243959022,4980133.8608875
11,4,4281.22613546922,414982.436382035,4980009.06730512
12,4,8562.45227093843,417963.391437072,4980087.87416651
13,5,0,396243.041354802,4981122.47098708
14,5,91.003202228968,396207.860108573,4981042.31254644
15,5,182.006404457936,396184.06181859,4980960.2562918
16,6,0,395295.957395599,4980937.34694907
17,6,97.030025269857,395385.827566734,4980973.92806638
18,6,194.060050539714,395475.697737869,4981010.5091837
19,7,0,409506.550020823,4981250.32024067
20,7,520.745508458648,409383.540320681,4980749.10331647
21,7,1041.4910169173,409731.015818301,4980566.70975171
22,8,0,409309.771091272,4980410.19589541
23,8,94.0549920231513,409355.669031331,4980492.2916969
24,8,188.109984046303,409401.566971391,4980574.3874984
25,9,0,410102.360085108,4980430.45814168
26,9,75.293597766497,410106.417040284,4980505.64236197
27,9,150.587195532994,410110.473995459,4980580.82658225
28,10,0,396957.908848271,4980481.75383889
29,10,157.806415002191,396831.51816793,4980540.11492714
30,10,315.612830004383,396692.519446994,4980614.8291841
31,11,0,403765.858693859,4980216.4713302
32,11,85.1366750407699,403693.92543088,4980170.93168688
33,11,170.27335008154,403620.511276402,4980127.86673667
34,12,0,403752.051376959,4980037.68479884
35,12,87.5810269344703,403665.817136191,4980022.38473354
36,12,175.162053868941,403579.582895424,4980007.08466824
37,13,0,384816.506720148,4977657.26964643
38,13,2378.72210196819,382787.760100198,4978463.51069222
39,13,4757.44420393638,383804.534755055,4979696.7169526
40,14,0,409777.185627978,4978796.20773041
41,14,216.53339508731,409612.284955924,4978898.9034255
42,14,433.06679017462,409448.061063688,4979028.73471647
43,15,0,401292.566286846,4978572.79565032
44,15,216.200542632336,401401.476615963,4978746.8393444
45,15,432.401085264671,401457.908374435,4978955.54519308
46,16,0,408770.956331729,4978165.91331742
47,16,206.176346185037,408724.036742011,4977965.14669214
48,16,412.352692370074,408677.117152293,4977764.38006685
49,17,0,410004.365701556,4977224.89559782
50,17,351.809742705996,409655.921151355,4977250.02709348
51,17,703.619485411993,409320.519444937,4977326.07300902
52,18,0,407084.768482946,4976416.14608005
53,18,72.0795693412481,407113.339243963,4976482.32142237
54,18,144.159138682496,407141.910004981,4976548.49676469
55,19,0,395827.793571181,4976392.39094081
56,19,77.7883161436415,395794.29078793,4976322.18705457
57,19,155.576632287283,395760.788004679,4976251.98316834
58,20,0,395623.063087861,4976536.15783849
59,20,376.151177779175,395764.80919188,4976221.08482703
60,20,752.302355558351,395728.304745901,4975885.64098798
61,21,0,395348.86044423,4975900.20632769
62,21,345.911502428414,395688.552636356,4975907.77985779
63,21,691.823004856828,395947.491345977,4975685.43903865
64,22,0,395371.690010948,4975653.2125166
65,22,125.36780186022,395371.666073602,4975778.58031618
66,22,250.73560372044,395378.687131651,4975901.69288901
67,23,0,392971.421300812,4975499.49077554
68,23,76.6957037393849,392899.396658717,4975473.13395663
69,23,153.39140747877,392827.372016623,4975446.77713771
70,24,0,405229.412983051,4976184.15989064
71,24,1501.77747520242,406188.785473764,4975272.48843719
72,24,3003.55495040484,407233.985641627,4974766.46411786
73,25,0,395947.491345977,4975685.43903865
74,25,555.961261334894,396348.702146987,4975324.26819524
75,25,1111.92252266979,396487.01606566,4974814.20028742
76,26,0,396217.451862445,4974830.8129454
77,26,132.655953845438,396350.018165683,4974825.93674435
78,26,265.311907690875,396482.58446892,4974821.0605433
79,27,0,397152.60588723,4975027.88622249
80,27,272.023403192487,397282.616466678,4974865.98546744
81,27,544.046806384974,397440.672373617,4974653.11117492
82,28,0,398493.172681883,4974629.32010906
83,28,130.360045116765,398362.82888402,4974631.37819589
84,28,260.72009023353,398232.485086157,4974633.43628273
85,29,0,397440.672373617,4974653.11117492
86,29,1553.82195152654,398776.548515133,4973990.33295144
87,29,3107.64390305308,399452.900082354,4972754.46228851
88,30,0,404024.680836511,4974246.09652513
89,30,329.574760292356,404028.563937717,4974575.64722456
90,30,659.149520584712,404027.72278548,4974905.02447873
91,31,0,392457.259993492,4974284.57253242
92,31,347.41410950325,392802.439907949,4974249.81655226
93,31,694.8282190065,393141.937793556,4974197.82633922
94,32,0,390953.329303447,4973552.23673584
95,32,92.8745364834205,391031.143614957,4973501.53552824
96,32,185.749072966841,391108.957926468,4973450.83432065
97,33,0,393689.931717501,4973953.79988705
98,33,351.210512792054,393548.53008761,4973633.24678188
99,33,702.421025584109,393431.565566048,4973305.35247142
100,34,0,393615.06818681,4973159.81160941
101,34,70.4519684675913,393545.217881995,4973161.13722324
102,34,140.903936935183,393474.830725554,4973162.07097889
103,35,0,391063.476225462,4973084.80384558
104,35,26.8338768343269,391082.282070431,4973103.94534869
105,35,53.6677536686538,391101.0879154,4973123.08685179
106,36,0,394360.665109429,4972985.32758416
107,36,135.801465576364,394485.929659406,4973037.77594516
108,36,271.602931152727,394621.377435219,4973039.35540259
109,37,0,393790.443244769,4972711.69939264
110,37,404.803706586895,393389.535638844,4972765.3160512
111,37,809.607413173789,392986.294767181,4972800.85251538
112,38,0,412014.995260591,4972364.98275077
