cat,orig_cat
1,92
2,462
3,76
4,375
5,7
6,479
7,164
8,62
9,54
10,378
11,379
12,378
13,252
14,27
15,331
16,228
17,468
18,50
19,407
20,252
21,452
22,472
23,213
24,74
25,446
26,55
27,499
28,440
29,266
30,376
31,24
32,38
33,39
34,41
35,72
36,75
37,87
38,108
39,150
40,269
41,320
42,380
43,382
44,385
45,405
46,436
47,456
48,13
49,30
50,43
51,53
52,149
53,188
54,257
55,281
56,433
57,435
58,438
59,448
60,470
61,471
62,498
63,384
64,384
65,380
66,441
67,380
68,52
69,52
70,379
71,71
72,73
73,71
74,89
75,73
76,73
77,323
78,377
79,148
80,331
81,255
82,266
83,266
84,447
85,62
86,318
87,73
88,384
89,384
90,346
91,455
92,407
93,55
94,448
95,448
96,452
97,46
98,377
99,377
100,73
