root,chain
1,[1]
2,[2]
3,[3]
4,[4]
5,[5]
6,[6]
7,[7]
8,"[8, 85]"
9,[9]
10,"[12, 10]"
11,"[70, 11]"
12,"[12, 10]"
13,"[20, 13]"
14,[14]
15,"[80, 15]"
16,[16]
17,[17]
18,[18]
19,"[92, 19]"
20,"[20, 13]"
21,"[21, 96]"
22,[22]
23,[23]
24,[24]
25,[25]
26,"[93, 26]"
27,[27]
28,[28]
29,"[82, 29, 83]"
30,[30]
31,[31]
32,[32]
33,[33]
34,[34]
35,[35]
36,[36]
37,[37]
38,[38]
39,[39]
40,[40]
41,[41]
42,"[65, 67, 42]"
43,[43]
44,[44]
45,[45]
46,[46]
47,[47]
48,[48]
49,[49]
50,[50]
51,[51]
52,[52]
53,[53]
54,[54]
55,[55]
56,[56]
57,[57]
58,[58]
59,"[94, 95, 59]"
60,[60]
61,[61]
62,[62]
63,"[88, 89, 64, 63]"
64,"[88, 89, 64, 63]"
65,"[65, 67, 42]"
66,[66]
67,"[65, 67, 42]"
68,"[68, 69]"
69,"[68, 69]"
70,"[70, 11]"
71,"[71, 73]"
72,"[75, 76, 87, 100, 72]"
73,"[71, 73]"
74,[74]
75,"[75, 76, 87, 100, 72]"
76,"[75, 76, 87, 100, 72]"
77,[77]
78,"[98, 99, 78]"
79,[79]
80,"[80, 15]"
81,[81]
82,"[82, 29, 83]"
83,"[82, 29, 83]"
84,[84]
85,"[8, 85]"
86,[86]
87,"[75, 76, 87, 100, 72]"
88,"[88, 89, 64, 63]"
89,"[88, 89, 64, 63]"
90,[90]
91,[91]
92,"[92, 19]"
93,"[93, 26]"
94,"[94, 95, 59]"
95,"[94, 95, 59]"
96,"[21, 96]"
97,[97]
98,"[98, 99, 78]"
99,"[98, 99, 78]"
100,"[75, 76, 87, 100, 72]"
