lcat,along,x,y,across,x1,y1,cos,sin,angle,culvert,overwrite
1,0,332134.7080362559,5054336.3063572645,0.0,332134.7080362559,5054336.3063572645,-0.3916650570432216,-0.9201078649220047,-23.058143855447298,0,0
1,10,332141.5564086869,5054326.870215553,6.0,332143.906399034,5054332.390862741,-0.3916650578528933,-0.9201078645773493,-23.05814390586613,0,0
1,20,332153.1047618051,5054328.475368232,0.0,332153.1047618051,5054328.475368232,-0.3916650578528933,-0.9201078645773493,-23.05814390586613,0,0
1,30,332162.3031245748,5054324.559873721,0.0,332162.3031245748,5054324.559873721,-0.39166505783191075,-0.920107864586281,-23.058143904559543,0,0
1,40,332171.5014873461,5054320.6443792,0.0,332171.5014873461,5054320.6443792,-0.3916650578528933,-0.9201078645773493,-23.05814390586613,0,0
1,50,332180.6998501158,5054316.728884691,0.0,332180.6998501158,5054316.728884691,-0.39166505783191075,-0.920107864586281,-23.058143904559543,0,0
1,60,332182.8482417764,5054296.251448642,18.0,332189.89821297355,5054312.813390139,-0.39166506650749033,-0.9201078608933211,-23.058144444794138,0,0
1,70,332192.04660461575,5054292.335954098,18.0,332199.0965756571,5054308.89789566,-0.3916650578528933,-0.9201078645773493,-23.05814390586613,0,0
1,80,332203.9866227917,5054294.861214641,11.0,332208.29493842804,5054304.982401151,-0.3916650578528933,-0.9201078645773493,-23.05814390586613,0,0
1,90,332212.7933205054,5054290.025612256,12.0,332217.4933011899,5054301.066906635,-0.3916650570432216,-0.9201078649220047,-23.058143855447298,0,0
1,100,332221.9916832763,5054286.110117745,12.0,332226.6916639611,5054297.151412124,-0.39166505706420435,-0.9201078649130728,-23.0581438567539,0,0
1,110,332229.23172070045,5054277.594083931,17.0,332235.8900268177,5054293.235917572,-0.3916650657188014,-0.9201078612290448,-23.058144395681893,0,0
1,120,332237.6467534181,5054271.838373661,19.0,332245.0883895019,5054289.320423095,-0.3916650570432216,-0.9201078649220047,-23.058143855447298,0,0
1,130,332250.7617667585,5054277.1239578,9.0,332254.2867522721,5054285.404928584,-0.39166505706420435,-0.9201078649130728,-23.0581438567539,0,0
1,140,332258.7851343411,5054270.448139697,12.0,332263.48511512997,5054281.489434032,-0.3916650657397841,-0.9201078612201129,-23.058144396988496,0,0
1,150,332267.98349712684,5054266.532645175,12.0,332272.6834778208,5054277.573939551,-0.39166505783191075,-0.920107864586281,-23.058143904559543,0,0
1,160,332277.5735249557,5054263.537258531,11.0,332281.8818405921,5054273.658445042,-0.3916650578528933,-0.9201078645773493,-23.05814390586613,0,0
1,170,332289.90520818834,5054266.982626928,3.0,332291.0802033618,5054269.742950521,-0.39166505783191075,-0.920107864586281,-23.058143904559543,0,0
1,180,332295.57858543884,5054254.786161635,12.0,332300.2785661328,5054265.8274560105,-0.39166505783191075,-0.920107864586281,-23.058143904559543,0,0
1,190,332304.77694819146,5054250.870667128,12.0,332309.4769289898,5054261.911961459,-0.3916650665284731,-0.9201078608843893,-23.05814444610074,0,0
1,200,332312.80031580623,5054244.194849012,15.0,332318.67529167404,5054257.996466981,-0.3916650578528933,-0.9201078645773493,-23.05814390586613,0,0
1,210,332323.905813066,5054244.76688488,10.0,332328.23941780743,5054253.779091599,-0.43336047414189344,-0.901220671895354,-25.68101410420472,0,0
1,220,332329.44847587286,5054233.224793915,18.0,332337.2489644074,5054249.446766009,-0.43336047414189344,-0.901220671895354,-25.68101410420472,0,0
1,230,332342.7916272144,5054237.904675045,8.0,332346.2585110077,5054245.11444042,-0.43336047416463325,-0.9012206718844193,-25.68101410565042,0,0
1,240,332351.1675842985,5054232.31447424,10.0,332354.6975968507,5054241.670702721,-0.3530012552135629,-0.9356228480630692,-20.67099555791772,0,0
1,250,332360.52105111454,5054228.785503641,10.0,332364.0510636667,5054238.141732122,-0.3530012552135629,-0.9356228480630692,-20.67099555791772,0,0
1,260,332369.8745179305,5054225.25653305,10.0,332373.4045304743,5054234.612761534,-0.3530012543788213,-0.9356228483780089,-20.670995506799713,0,0
1,270,332379.22798474645,5054221.72756245,10.0,332382.7579972986,5054231.083790931,-0.3530012552135629,-0.9356228480630692,-20.67099555791772,1,0
1,280,332388.584393923,5054218.20683403,10.0,332391.95005254337,5054227.623433313,-0.3365658620359175,-0.9416599282713584,-19.66778536770714,1,0
1,290,332398.05504393054,5054215.0061184205,10.0,332401.24810142606,5054224.482635915,-0.3193057495513065,-0.9476517494857899,-18.620944764192174,1,0
1,300,332407.52876425197,5054211.81400342,10.0,332410.72182174196,5054221.290520917,-0.3193057489965838,-0.9476517496727005,-18.620944730653193,1,0
1,310,332417.0014274225,5054208.6187531,10.0,332420.19843088544,5054218.093940109,-0.3197003462912199,-0.9475187009137467,-18.6448040719132,1,0
1,320,332426.4738176355,5054205.42269325,10.0,332429.6708210986,5054214.897880259,-0.3197003463088574,-0.9475187009077956,-18.644804072979724,1,0
1,330,332435.30680714024,5054200.331595999,12.0,332439.1432113961,5054211.701820376,-0.31970035465502533,-0.9475186980917322,-18.644804577666548,0,0
1,340,332445.0988977162,5054198.08305484,11.0,332448.6156015254,5054208.50576055,-0.3197003462912199,-0.9475187009137467,-18.6448040719132,0,0
1,350,332454.57128792093,5054194.886994988,11.0,332458.08799183136,5054205.309700663,-0.3197003554914059,-0.9475186978095307,-18.644804628241886,0,0
1,360,332463.72397777956,5054190.74341644,12.0,332467.5603820421,5054202.113640815,-0.3197003552092043,-0.9475186979047477,-18.64480461117735,0,0
1,363,332466.88539519964,5054190.732117177,11.0,332470.40209909756,5054201.154822857,-0.31970035435518623,-0.9475186981929002,-18.644804559535487,0,0
2,0,338603.01369240036,5056515.89439887,17.0,338597.470490916,5056499.823527167,0.3260706755494782,0.9453453943118921,160.96954583990532,0,0
2,10,338591.9414069736,5056514.424404468,12.0,338588.028558867,5056503.080259737,0.3260706755494782,0.9453453943118921,160.96954583990532,0,0
2,20,338583.47768695233,5056520.517173231,15.0,338578.5866268145,5056506.336992318,0.3260706758548727,0.9453453942065548,160.9695458213959,0,0
2,30,338574.03575490124,5056523.773905802,15.0,338569.144694768,5056509.593724887,0.3260706755494782,0.9453453943118921,160.96954583990532,0,0
2,40,338563.94168150116,5056525.139947593,13.0,338559.702762719,5056512.850457467,0.3260706755494782,0.9453453943118921,160.96954583990532,0,0
2,50,338554.17367875983,5056527.451334779,12.0,338550.2608307535,5056516.107190013,0.32607066719833333,0.945345397192388,160.96954634605405,0,0
2,60,338544.7317467292,5056530.708067347,12.0,338540.8188986128,5056519.363922619,0.326070676364832,0.9453453940306585,160.96954579048813,0,0
2,70,338534.63767332747,5056532.074109135,10.0,338531.3769666555,5056522.620655163,0.32607066719833333,0.945345397192388,160.96954634605405,0,0
2,80,338525.19574127847,5056535.33084171,10.0,338521.93503452314,5056525.877387767,0.32607067553151403,0.9453453943180884,160.9695458409941,0,0
2,90,338515.75380922947,5056538.5875742845,10.0,338512.4931025658,5056529.13412031,0.32607066636501514,0.9453453974798179,160.96954639656002,0,0
2,100,338505.9858065049,5056540.898961466,9.0,338503.05117042514,5056532.390852917,0.32607067553151403,0.9453453943180884,160.9695458409941,0,0
2,110,338496.44705730875,5056543.675392232,9.0,338493.961712153,5056535.025359893,0.2761494617526979,0.9611147042750388,163.96947371172286,0,0
2,120,338486.8476243674,5056546.433521179,9.0,338484.3622791186,5056537.783488867,0.27614947208891116,0.9611147013052166,163.96947309554105,0,0
2,130,338476.97204198234,5056548.230535417,8.0,338474.7628462814,5056540.541617785,0.2761494626140491,0.9611147040275536,163.96947366037435,0,0
2,140,338467.6487585053,5056551.949779068,9.0,338465.1634132641,5056543.299746755,0.2761494712430279,0.9611147015482575,163.9694731459674,0,0
2,150,338458.04932558374,5056554.707908011,9.0,338455.563980428,5056546.057875672,0.2761494617526979,0.9611147042750388,163.96947371172286,0,0
2,160,338448.4498926509,5056557.4660369605,9.0,338445.9645474874,5056548.816004625,0.2761494626140491,0.9611147040275536,163.96947366037435,0,0
2,170,338438.57431024004,5056559.263051207,8.0,338436.36511447025,5056551.5741335945,0.27614947122755995,0.9611147015527018,163.96947314688953,0,0
2,180,338429.2510267896,5056562.982294851,9.0,338426.76568163617,5056554.332262511,0.27614946148974495,0.961114704350591,163.96947372739848,0,0
2,190,338419.66524546425,5056565.854743868,9.0,338417.0111962351,5056557.25497511,0.2948943587962837,0.9555298619876454,162.8487972271809,0,0
2,200,338410.1215928822,5056568.800093298,9.0,338407.46754365286,5056560.20032454,0.2948943588127054,0.9555298619825774,162.8487972261962,0,0
2,210,338401.16772902553,5056573.656502455,11.0,338397.923890988,5056563.1456740005,0.2948943670472342,0.955529859441248,162.84879673243483,0,0
2,219,338391.39886425895,5056572.485197494,7.0,338389.33460374933,5056565.796488459,0.2948943585171132,0.9555298620738026,162.84879724392061,0,0
3,0,342458.59358708025,5051587.724794272,6.0,342458.58804312185,5051581.7247968335,0.0009239930667320373,0.9999995731183152,179.94705908944374,0,0
3,10,342448.61451952445,5051589.734015674,8.0,342448.607127662,5051581.7340190895,0.0009239828035783173,0.9999995731277982,179.9470596774794,0,0
3,20,342438.6336039614,5051589.743237924,8.0,342438.6262120989,5051581.743241339,0.0009239828035783173,0.9999995731277982,179.9470596774794,0,0
3,30,342428.65268839884,5051589.752460174,8.0,342428.64529653644,5051581.752463589,0.0009239828026084268,0.9999995731277991,179.94705967753498,0,0
3,40,342418.67269680894,5051590.761682003,9.0,342418.66438087134,5051581.7616858445,0.0009239930676481929,0.9999995731183143,179.94705908939125,0,0
3,50,342408.6917812459,5051590.770904253,9.0,342408.68346530834,5051581.770908095,0.0009239930676481929,0.9999995731183143,179.94705908939125,0,0
3,60,342398.71086569317,5051590.780126507,9.0,342398.70254984795,5051581.780130349,0.0009239828035243605,0.9999995731277983,179.94705967748246,0,0
3,70,342388.7299501307,5051590.789348758,9.0,342388.72163428547,5051581.7893525995,0.0009239828026084268,0.9999995731277991,179.94705967753498,0,0
3,80,342378.74903455796,5051590.798571012,9.0,342378.74071862036,5051581.798574854,0.0009239930677019277,0.9999995731183143,179.94705908938818,0,0
3,90,342368.76811899495,5051590.807793262,9.0,342368.75980305736,5051581.807797104,0.0009239930676481929,0.9999995731183143,179.94705908939125,0,0
3,100,342358.7872034324,5051590.817015513,9.0,342358.7788874948,5051581.817019355,0.0009239930667320373,0.9999995731183152,179.94705908944374,0,0
3,110,342348.8062878793,5051590.826237767,9.0,342348.79797202564,5051581.826241609,0.0009239837366266684,0.9999995731269361,179.94705962401963,0,0
3,120,342338.82537231717,5051590.835460017,9.0,342338.81705647195,5051581.835463859,0.0009239828035243605,0.9999995731277983,179.94705967748246,0,0
3,130,342328.8444567533,5051590.844682268,9.0,342328.8361408996,5051581.84468611,0.0009239837366266684,0.9999995731269361,179.94705962401963,0,0
3,140,342318.86354118143,5051590.853904522,9.0,342318.85522524384,5051581.853908364,0.0009239930667859942,0.9999995731183151,179.94705908944064,0,0
3,150,342308.8826256199,5051590.863126772,9.0,342308.87430969067,5051581.863130614,0.0009239921345458851,0.9999995731191765,179.9470591428541,0,0
3,160,342298.9007860834,5051589.872349454,8.0,342298.89339422097,5051581.872352869,0.0009239828035243605,0.9999995731277983,179.94705967748246,0,0
3,170,342288.919870519,5051589.881571704,8.0,342288.9124786491,5051581.881575119,0.0009239837357105128,0.999999573126937,179.9470596240721,1,0
3,180,342278.93895493785,5051589.89079396,8.0,342278.9315629933,5051581.890797375,0.0009239930676481929,0.9999995731183143,179.94705908939125,1,0
3,190,342268.95803937485,5051589.900016208,8.0,342268.9506474303,5051581.900019623,0.0009239930676481929,0.9999995731183143,179.94705908939125,1,0
3,197,342261.9713985014,5051589.906471784,8.0,342261.96400663897,5051581.906475199,0.0009239828035243605,0.9999995731277983,179.94705967748246,1,0
4,0,335936.46699216566,5043708.465660854,14.0,335950.46492838126,5043708.225282604,-0.9998525868299454,0.017169875056809236,269.016190281833,0,0
4,10,335950.2934644074,5043698.240428081,0.0,335950.2934644074,5043698.240428081,-0.9998525868329697,0.017169874880696986,269.016190291925,0,0
4,20,335946.1225900856,5043688.324253068,4.0,335950.12200043304,5043688.255573573,-0.9998525868509812,0.017169873831833864,269.0161903520293,0,0
4,30,335942.951568351,5043678.390908169,7.0,335949.950536459,5043678.270719051,-0.9998525868509812,0.017169873831833864,269.0161903520293,0,0
4,40,335942.7801043771,5043668.406053644,7.0,335949.779072485,5043668.2858645255,-0.999852586847957,0.017169874007946114,269.0161903419373,0,0
4,50,335942.608640403,5043658.421199123,7.0,335949.60760851094,5043658.301010005,-0.999852586847957,0.017169874007946114,269.0161903419373,0,0
4,60,335941.4373238416,5043648.453514476,8.0,335949.43614453624,5043648.316155476,-0.9998525868302204,0.017169875040799074,269.0161902827505,0,0
4,70,335941.2658598677,5043638.468659955,8.0,335949.2646805623,5043638.331300954,-0.9998525868299454,0.017169875056809236,269.016190281833,0,0
4,80,335941.09439589316,5043628.483805437,8.0,335949.09321658796,5043628.346446444,-0.9998525868469563,0.01716987406621624,269.0161903385982,0,0
4,90,335940.9229319192,5043618.498950913,8.0,335948.921752614,5043618.361591921,-0.9998525868502555,0.017169873874093824,269.01619034960765,0,0
4,100,335940.7514679452,5043608.514096393,8.0,335948.75028864003,5043608.376737403,-0.9998525868509812,0.017169873831833864,269.0161903520293,0,0
4,110,335941.579856558,5043598.512071993,7.0,335948.5788246659,5043598.391882875,-0.999852586847957,0.017169874007946114,269.0161903419373,0,0
4,120,335941.4083925835,5043588.527217469,7.0,335948.4073606913,5043588.407028344,-0.999852586831221,0.01716987498252895,269.01619028608957,0,0
4,130,335941.2369286095,5043578.54236295,7.0,335948.2358967173,5043578.422173825,-0.999852586830946,0.01716987499853911,269.0161902851722,0,0
4,140,335939.0657594613,5043568.591848182,9.0,335948.06443274295,5043568.437319315,-0.999852586847957,0.017169874007946114,269.0161903419373,0,0
4,150,335939.89414807415,5043558.589823786,8.0,335947.89296876895,5043558.452464794,-0.9998525868472312,0.017169874050206074,269.0161903395157,0,0
4,160,335942.72224186076,5043548.553459641,5.0,335947.721504795,5043548.467610271,-0.9998525868499806,0.01716987389010399,269.0161903486902,0,0
4,170,335942.55077788676,5043538.568605121,5.0,335947.550040821,5043538.482755751,-0.9998525868499806,0.01716987389010399,269.0161903486902,0,0
4,180,335940.3796087385,5043528.61809034,7.0,335947.3785768463,5043528.497901214,-0.9998525868299454,0.017169875056809236,269.016190281833,0,0
4,190,335938.2084395908,5043518.66757557,9.0,335947.2071128723,5043518.513046694,-0.9998525868299454,0.017169875056809236,269.016190281833,0,0
4,200,335937.03712303,5043508.699890925,10.0,335947.0356488983,5043508.528192175,-0.999852586831221,0.01716987498252895,269.01619028608957,0,0
4,210,335937.86551164236,5043498.697866532,9.0,335946.864184924,5043498.5433376655,-0.999852586847957,0.017169874007946114,269.0161903419373,0,0
4,220,335937.6940476683,5043488.713012012,9.0,335946.69272094994,5043488.558483145,-0.999852586847957,0.017169874007946114,269.0161903419373,0,0
4,230,335938.5224362812,5043478.710987617,8.0,335946.521256976,5043478.573628625,-0.9998525868482319,0.01716987399193595,269.01619034285477,0,0
4,240,335938.3509723067,5043468.7261330895,8.0,335946.34979300137,5043468.588774091,-0.9998525868329697,0.017169874880696986,269.016190291925,0,0
