from_cat,cat
3,23
6,45
6,61
10,79
10,81
12,11
12,94
14,32
14,42
15,29
15,54
16,114
17,35
17,101
21,37
23,43
24,37
26,46
26,68
27,74
27,75
28,95
28,96
30,14
30,15
32,56
32,102
33,51
33,91
34,23
35,114
36,18
36,19
38,39
38,115
40,39
40,115
41,35
41,101
42,13
42,20
43,112
50,33
53,12
55,5
55,38
57,36
62,6
62,64
64,63
64,82
66,7
66,67
67,1
67,44
68,69
68,70
71,25
71,72
73,27
73,71
75,2
75,76
77,26
77,78
78,8
78,73
79,9
79,80
81,60
81,62
82,48
82,83
83,65
83,66
84,85
89,88
89,90
90,86
90,87
93,112
94,22
97,77
97,98
98,10
98,47
99,4
99,31
100,41
100,55
101,116
105,24
105,104
107,85
108,33
109,22
110,28
110,111
111,43
112,12
113,97
113,109
114,30
114,99
115,116
116,36
