cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,233829,"18251741",5122,"residential","220th Street",,"B",0,0,"F","F",1,360850.027175474,5033563.37546018
2,233829,"18251741",5122,"residential","220th Street",,"B",0,0,"F","F",1,361880.128700871,5033533.28651943
3,242303,"18261667",5115,"tertiary","County Road 130",,"B",0,0,"F","F",1,363632.808241791,5031311.08251676
4,237308,"18256028",5122,"residential","County Line Road",,"B",0,0,"F","F",1,363843.263813475,5030278.77069927
5,161002,"18162662",5122,"residential","368th Street",,"B",0,0,"F","F",1,362237.222792881,5015457.20147761
6,160514,"18162131",5115,"tertiary","County Road 25","CR 25","B",0,0,"F","F",1,364976.033685293,5018655.12746037
7,159863,"18161402",5122,"residential","390th Street",,"B",0,0,"F","F",1,366422.192068856,5019005.58662725
8,239859,"18258921",5122,"residential","310th Street",,"B",0,0,"F","F",1,338733.101691204,5048486.74838115
9,161635,"18163348",5122,"residential","560th Avenue",,"B",0,0,"F","F",1,370646.520567864,5018908.43919138
10,161389,"18163077",5122,"residential","555th Avenue",,"B",0,0,"F","F",1,369989.209055775,5018687.89679396
11,237891,"18256678",5122,"residential","County Road 178",,"B",0,0,"F","F",1,358260.934779696,5032030.31624599
12,126101,"18122627",5115,"tertiary","County Line Rd 68","CR 68","B",0,0,"F","F",1,357437.642286365,5030437.68214263
13,126040,"18122557",5113,"primary",,"MN 55","B",0,0,"F","F",1,357179.137286818,5029630.02806277
14,196023,"18205081",5122,"residential","105 Avenue",,"B",0,0,"F","F",1,332404.048467478,5054212.97611679
15,242534,"18261919",5121,"unclassified","443rd Avenue",,"B",0,0,"F","F",1,341697.250909382,5048071.08906231
16,238306,"18257161",5115,"tertiary","County Road 13","CR 13","B",0,0,"F","F",1,343138.019860041,5042277.80668699
17,242904,"18262311",5115,"tertiary","County Road 192",,"B",0,0,"F","F",1,334465.162957826,5053354.23403483
18,239859,"18258921",5122,"residential","310th Street",,"B",0,0,"F","F",1,335788.594783414,5048536.31314156
19,716104,"914980889",5122,"residential","320th Street",,"B",0,0,"F","F",1,343995.672910332,5049923.84793732
20,241584,"18260881",5122,"residential","330th Street",,"B",0,0,"F","F",1,343336.490566988,5051558.34765596
21,239305,"18258295",5122,"residential","270th Street",,"B",0,0,"F","F",1,335086.379068512,5042142.11127364
22,237188,"18255891",5115,"tertiary","County Road 26","CR 26","B",0,0,"F","F",1,335943.243068554,5054944.63976856
23,242904,"18262311",5115,"tertiary","County Road 192",,"B",0,0,"F","F",1,337685.857330954,5053297.95423365
24,237990,"18256797",5122,"residential","373rd Avenue",,"B",0,0,"F","F",1,352651.941518903,5040144.72807707
25,238379,"18257240",5115,"tertiary","County Road 26","CR 26","B",0,0,"F","F",1,335539.482055344,5051400.32640624
26,239305,"18258295",5122,"residential","270th Street",,"B",0,0,"F","F",1,337759.346429604,5042070.74116388
27,238379,"18257240",5115,"tertiary","County Road 26","CR 26","B",0,0,"F","F",1,335503.56655572,5050524.5771923
28,195980,"18205034",5115,"tertiary","County Highway 33","CR 33","B",0,0,"F","F",1,328336.835314691,5053542.05335978
29,196493,"18205628",5122,"residential","Township Rd T-270",,"B",0,0,"F","F",1,325954.046929092,5054709.72174707
30,435773,"426090017",5115,"tertiary","County Road 13","CR 13","B",0,0,"F","F",1,343257.652297848,5046342.19855459
31,240242,"18259352",5122,"residential","280th Street",,"B",0,0,"F","F",1,336318.56677519,5043700.5834805
32,240242,"18259352",5122,"residential","280th Street",,"B",0,0,"F","F",1,336357.543151786,5043697.21811568
33,239292,"18258280",5113,"primary",,"MN 55","B",96,0,"F","F",1,338386.368914605,5037586.69218103
34,242945,"18262355",5122,"residential","County Road 194",,"B",0,0,"F","F",1,336636.234258297,5039306.30991715
35,239292,"18258280",5113,"primary",,"MN 55","B",96,0,"F","F",1,338421.977378194,5037564.64212595
36,239428,"18258441",5122,"residential","440th Avenue",,"B",0,0,"F","F",1,342013.984207877,5051562.13527899
37,196819,"18206025",5122,"residential","Township Rd T-338",,"B",0,0,"F","F",1,332724.714570295,5051522.39580097
38,239859,"18258921",5122,"residential","310th Street",,"B",0,0,"F","F",1,341308.861667196,5048416.25085094
39,242447,"18261821",5122,"residential","County Road 201",,"B",0,0,"F","F",1,337234.692701512,5044313.64394228
40,235642,"18253980",5122,"residential","295th Street",,"B",0,0,"F","F",1,339646.001231662,5046041.00201557
41,233981,"18251932",5142,"track",,,"B",0,0,"F","F",1,342807.164025983,5054789.48258835
42,197131,"18206386",5122,"residential","Township Rd T-66",,"B",0,0,"F","F",1,331478.10877159,5048650.83382736
43,197206,"18206474",5115,"tertiary","County Highway 20","CR 20","B",0,0,"F","F",1,331929.771012917,5050198.03809823
44,195914,"18204959",5122,"residential","Township Rd T-136",,"B",0,0,"F","F",1,328870.845147231,5049507.1809446
45,197206,"18206474",5115,"tertiary","County Highway 20","CR 20","B",0,0,"F","F",1,329920.45553552,5050254.32668917
46,238306,"18257161",5115,"tertiary","County Road 13","CR 13","B",0,0,"F","F",1,343039.336338732,5038620.06929618
47,197255,"18206528",5115,"tertiary","County Highway 22","CR 22","B",0,0,"F","F",1,327409.965849328,5054764.8855388
48,195991,"18205045",5115,"tertiary","County Highway 33","CR 33","B",0,0,"F","F",1,330851.266012115,5056273.76660932
49,234498,"18252564",5141,"service",,,"B",0,0,"F","F",1,371794.596279144,5028473.06818911
50,239866,"18258930",5122,"residential","310th Street",,"B",0,0,"F","F",1,345384.366447808,5048276.88599615
51,243008,"18262420",5115,"tertiary","County Road 199",,"B",0,0,"F","F",1,345929.161022289,5044292.85266333
52,240901,"18260118",5122,"residential","275th Street",,"B",0,0,"F","F",1,345495.968587273,5042683.15413949
53,236770,"18255417",5115,"tertiary","County Highway 22","CR 22","B",0,0,"F","F",1,342070.268477261,5053197.33396294
54,241584,"18260881",5122,"residential","330th Street",,"B",0,0,"F","F",1,341047.965151402,5051596.60395439
55,236900,"18255569",5122,"residential","Landmark Road",,"B",0,0,"F","F",1,338667.322653423,5047808.37349246
56,237990,"18256797",5122,"residential","373rd Avenue",,"B",0,0,"F","F",1,352639.949308737,5039745.61544035
57,237990,"18256797",5122,"residential","373rd Avenue",,"B",0,0,"F","F",1,352621.594329735,5038971.62538073
58,243488,"18262948",5115,"tertiary","County Road 32","CR 32","B",0,0,"F","F",1,351589.096484911,5038602.24220175
59,239846,"18258906",5122,"residential","383rd Avenue",,"B",0,0,"F","F",1,350991.624047105,5037666.6821991
60,239305,"18258295",5122,"residential","270th Street",,"B",0,0,"F","F",1,336496.155712689,5042105.89888928
61,242916,"18262325",5115,"tertiary","County Road 193",,"B",0,0,"F","F",1,338818.825820752,5055390.24448105
