cat,a_cat,b_cat,to_x,to_y
1,5408,1,360850.176147055,5033563.87603835
2,5408,1,361880.131437188,5033533.24697091
3,8929,1,363632.372633749,5031311.11408798
4,10264,1,363843.259526042,5030279.2207817
5,3569,1,362237.222792881,5015457.20147761
6,670,1,366053.159176856,5019006.15732216
7,4464,1,338732.845254511,5048485.52193153
8,2697,1,370646.520567864,5018908.43919138
9,669,1,369989.209055775,5018687.89679396
10,3114,1,358260.838004258,5032028.7924553
11,2213,1,332397.661560435,5054215.128148
12,5586,1,341697.801273894,5048071.13492465
13,2772,1,343137.726729742,5042277.81724191
14,3383,1,335971.179410167,5053327.59648646
15,2264,1,333417.275844879,5050570.82442329
16,3383,1,334465.152644067,5053354.42884956
17,4464,1,335788.560882914,5048534.30240448
18,1878,1,343995.648347339,5049922.57472872
19,1874,1,343336.036210702,5051553.60309572
20,4463,1,335085.832828561,5042140.10838775
21,3383,1,337685.840918431,5053296.15906157
22,1764,1,352650.740195522,5040144.76802075
23,5585,1,335540.847607648,5051400.23749967
24,4463,1,337759.110386567,5042068.14464414
25,9124,1,335507.348195359,5050521.18316246
26,1572,1,328332.955952094,5053545.51244338
27,667,1,329528.192284442,5052423.36421383
28,2772,1,343256.77046154,5046342.26713376
29,7740,1,344746.72553088,5045112.87486341
30,2768,1,338385.439620431,5037586.35144078
31,2768,1,336984.431267265,5038448.86794985
32,2768,1,338421.82634885,5037563.87951138
33,3388,1,342014.201308489,5051562.1466204
34,4464,1,341308.827371015,5048413.90236757
35,6339,1,337233.834418808,5044312.78565491
36,3308,1,339645.698241209,5046042.81993606
37,1875,1,342807.169956462,5054789.18012685
38,1139,1,331478.090282103,5048650.90442881
39,1774,1,331929.464176498,5050196.95525114
40,2080,1,328860.180774379,5049507.9137912
41,1774,1,329921.783185939,5050257.23254907
42,6341,1,346203.335098897,5038775.23403636
43,2772,1,343041.379981789,5038619.94337332
44,1754,1,338639.732571334,5037622.96185047
45,373,1,327409.871537581,5054764.76974
46,1896,1,330851.266717329,5056273.76704536
47,8907,1,345384.372435221,5048275.64029289
48,2772,1,346029.573541896,5046678.25282299
49,4264,1,345929.158331813,5044291.60206552
50,5392,1,345495.903271269,5042682.19145269
51,1874,1,341048.078531561,5051595.20388648
52,4465,1,338667.680902553,5047808.34790324
53,1764,1,352641.203348588,5039745.59847262
54,1764,1,352623.837015053,5038972.79298921
55,1762,1,351588.745149736,5038596.4015247
56,5186,1,350997.958425083,5037676.15937903
57,4463,1,336498.020462537,5042103.1018019
58,9195,1,338819.456453775,5055389.34556967
59,3383,1,338093.96895257,5053289.24561149
60,1895,1,331520.922679501,5051861.73609645
61,9126,1,339583.784123338,5045380.24463844
62,4465,1,338048.066517385,5046085.46776834
63,10298,1,339924.827986182,5050295.74618043
64,1874,1,342260.32878528,5051577.27967808
65,10295,1,337941.654947458,5051680.63752029
66,5586,1,341729.505481903,5048989.67013634
67,5018,1,335587.906224332,5052566.85048569
68,3383,1,335524.601763525,5053337.13989034
69,4464,1,337282.202653304,5048506.58264959
