from_cat,to_x,to_y,dist
1,337282.417461147,5048514.96809717,2.35036567612792
2,335493.690586367,5050533.45433332,2.53563969096567
3,332711.118790854,5051524.60101025,0.0826782215871563
4,331517.613319215,5051862.60881983,0.0695315029091191
5,330766.546068377,5052074.48481656,0.00668138601320189
6,337125.283023201,5050765.96870567,1.92177081335254
7,337161.875640248,5051142.33169077,0.114713456348493
8,337942.982166599,5051697.84904391,0.103320816143819
9,337938.742985406,5051852.67725733,0.0145740620664088
10,337626.654138124,5053029.8093603,0.0917438611231754
11,337677.858105002,5053008.88873954,1.42865780005993
12,338095.170015686,5053301.91226349,0.0125521324285423
13,338522.65963059,5053649.76187201,0.0914323680446687
14,338858.964503676,5054909.18368089,0.00855731782897861
15,338874.222376949,5055314.17972113,0.0288040777820414
16,338810.594863515,5055401.97232598,0.0204994983037469
17,337685.948404369,5053309.00430309,0.0144853045986174
18,337044.928377578,5053717.92377991,0.0716746136430242
19,336778.628317963,5053870.96380682,0.181089012835831
20,335943.486589576,5054948.40988298,0.0413011003038885
21,336584.50841574,5051714.78378826,0.00702333531295318
22,336207.812090584,5051720.25981233,0.0674412218496221
23,335575.778999217,5052574.06278704,0.300174494392212
24,335581.592159358,5052749.29407158,0.254527747085412
25,335972.046001676,5053338.24819574,0.0412235858668332
26,335520.204402315,5053348.72980891,0.728865910426365
27,334460.78161549,5053368.39066252,3.83256919553906
28,334254.088681567,5053372.00917811,0.313582871150718
29,335529.545816929,5051400.98334291,0.0380984845008527
30,334467.597613614,5050561.97407849,0.0815601372964093
31,334280.986937171,5050447.43396442,0.171337061269869
32,333410.365146243,5050570.56778206,0.249216377935457
33,333087.467132057,5050159.15219565,1.03047854275987
34,331926.754082467,5050186.66058473,0.450819124384502
35,331477.935837032,5048643.24151198,0.0311260475381092
36,330667.62519917,5050755.62087559,0.0837960126921328
37,329917.297591465,5050247.55149043,0.162581690663236
38,328856.017442013,5049508.26454746,0.173403529419808
40,335234.225224358,5048670.48749365,0.286242249342902
41,334354.515996487,5048560.06140602,0.203321216659058
42,333668.581384225,5048494.90307497,1.68904083127722
43,331338.041796678,5052637.4541237,0.683051621570604
44,350966.673353555,5037234.14265271,4.99551309382666e-05
45,350995.45462043,5037672.43130731,0.397179551973012
46,351588.863854858,5038598.31764853,4.13561615614331e-05
47,351588.632746726,5038594.2433484,4.94548187860801e-05
48,352622.446050748,5038972.08008606,1.25022250836495e-05
49,353004.640853999,5039761.31371156,4.77254516900393e-05
50,353011.126758991,5040126.90625991,4.45893299376161e-05
51,352641.414249847,5039745.60561995,1.18652043621801e-05
52,357170.412494829,5029640.19842003,0.295314367758844
53,357190.727304399,5030219.48146521,0.046611708450906
54,357438.95136823,5030441.33703928,5.8423708914034e-05
55,358038.560801601,5031873.80706578,2.35126603136409e-06
56,358260.893172211,5032029.81888331,3.72122689311041e-05
57,363843.251735221,5030278.98882082,3.35378387028143e-06
58,363843.230069545,5030281.26322148,3.76768475453416e-05
59,363661.69763171,5030690.80046482,0.091429002386776
60,363658.571695836,5031095.9649398,1.13898675764465e-05
61,363631.883403967,5031311.15957172,1.8740656537119e-06
62,363355.557367851,5031907.96037542,0.0171088645997222
63,362857.063996804,5033160.32123766,0
64,362861.929296632,5033160.20510127,3.63766424577938e-05
65,362477.186043884,5033088.48469982,0.00152835066768886
66,362468.628738294,5033087.86025848,3.04983148103846e-05
67,361153.285080435,5034559.12367368,0.1281377958628
68,361880.046393852,5033534.6209962,3.63860278887823e-05
69,361021.854625376,5033937.72805102,0.121057706429206
70,360850.893784414,5033566.25240329,0.0543314216851983
71,360472.95005353,5032621.2602193,4.62097056119387e-05
72,360270.97962468,5032312.22859071,0.0206436223252357
73,360175.008946676,5031977.57107149,3.72838703058979e-05
74,362237.738777483,5015460.44238461,1.14060187795409e-05
75,362446.55329672,5015884.44004873,1.68359328071903e-06
76,362898.758987783,5016382.6710907,3.64652130250331e-05
77,363207.935012676,5016651.00335067,6.63713454912828e-06
78,363336.165329849,5017200.71302714,8.23186936237406e-06
79,363514.9167148,5017455.55868504,4.24323602109623e-05
80,364216.994997086,5018244.00016385,4.38988273492749e-05
81,364975.592365128,5018655.00165191,1.07705450150763e-05
82,366052.050624373,5019006.16550367,1.37630735895593e-05
83,366423.85665547,5019007.38100972,3.02067248948101e-05
84,369765.918329478,5016346.34019845,2.40127816685925e-05
85,369773.442648545,5017318.43113062,1.08543170820801e-05
86,369989.112588056,5018687.84363916,4.55316167340644e-06
87,370585.556723607,5018764.96553416,4.820986127108e-05
88,370645.634583894,5018908.31547758,1.18056130409596e-05
