cat,lcat,along,x,y
1,1,0,337336.674589479,5048347.5273831
2,1,9892.61070070443,329093.491535485,5052794.71133839
3,1,19785.2214014089,332090.086462784,5054621.07499536
4,2,0,332130.331467547,5054327.30105334
5,2,365.721838351436,331814.673413,5054143.35827007
6,2,731.443676702872,331735.729709737,5053807.35438046
7,3,0,334729.038726152,5050894.69115515
8,3,1139.30816714267,333818.182326877,5050496.63175079
9,3,2278.61633428535,333074.586787975,5050070.97224283
10,4,0,331540.479473887,5051361.67803213
11,4,2071.08487339919,331757.110486965,5049487.11297917
12,4,4142.16974679838,331236.343218017,5047608.63239715
13,5,0,331914.6163284,5051749.25928622
14,5,2489.74416341754,329938.34335075,5050294.08440309
15,5,4979.48832683508,328275.029000447,5048809.70217881
16,6,0,331106.906514256,5051979.71042177
17,6,646.872269752422,331293.976008771,5052557.47828306
18,6,1293.74453950484,331625.921791831,5053111.53818156
19,7,0,330423.399930484,5056012.49469918
20,7,635.140267862296,330394.741350601,5056646.7421864
21,7,1270.28053572459,330558.08005364,5057231.24257241
22,8,0,331091.681926108,5056217.14082616
23,8,187.889986453044,331211.591555596,5056361.78692376
24,8,375.779972906089,331330.543960995,5056507.16856672
25,9,0,332130.331467547,5054327.30105334
26,9,181.946279272011,332297.74166997,5054256.03905319
27,9,363.892558544021,332467.678715065,5054191.51983288
28,10,0,336755.55761578,5051261.6041012
29,10,1226.06059168485,336310.610830864,5052389.22789946
30,10,2452.12118336971,335852.271794145,5053480.12172069
31,11,0,335570.9669513,5052576.91999267
32,11,545.967238355499,335595.480757937,5053121.65436768
33,11,1091.934476711,335432.946134805,5053578.15413598
34,12,0,337000.41254936,5050848.85864151
35,12,2313.63098310044,335628.418986121,5052539.6409988
36,12,4627.26196620087,333773.285798962,5053645.22595077
37,13,0,337970.922390447,5051800.71717448
38,13,57.9045092021478,338012.147246439,5051841.37973016
39,13,115.809018404296,338053.372102431,5051882.04228584
40,14,0,336812.157131881,5053864.83317263
41,14,255.694619687641,336830.271011277,5054114.29319521
42,14,511.389239375281,337001.613360138,5054292.85153314
43,15,0,337642.166547163,5052950.38793961
44,15,1756.81691243649,336597.529212117,5053900.4524845
45,15,3513.63382487298,336006.671921126,5055096.84435086
46,16,0,338764.629314434,5055474.9703965
47,16,191.998434044841,338869.356518496,5055635.02849243
48,16,383.996868089682,338974.678745254,5055795.33634158
49,17,0,338546.37608439,5055806.02654437
50,17,403.805664315225,338319.235827422,5056139.8592504
51,17,807.61132863045,338017.416710695,5056312.21111812
