cat,orig_cat
1,9
2,18
3,40
4,58
5,62
6,5
7,8
8,13
9,21
10,1
11,43
12,44
13,53
14,52
15,55
16,59
17,52
18,66
19,69
20,52
21,86
22,48
23,39
24,84
25,14
26,12
27,19
28,38
29,55
30,52
31,57
32,54
33,31
34,39
35,52
36,66
37,84
38,61
39,61
40,66
41,60
42,52
43,44
44,2
45,4
46,10
47,20
48,23
49,27
50,32
51,33
52,40
53,42
54,56
55,61
56,65
57,68
58,80
59,81
60,3
61,5
62,1
63,6
64,1
65,7
66,1
67,1
68,12
69,12
70,11
71,15
72,15
73,19
74,17
75,19
76,19
77,19
78,19
79,22
80,22
81,1
82,1
83,1
84,24
85,25
86,29
87,28
88,30
89,28
90,28
91,31
92,35
93,41
94,36
95,46
96,47
97,48
98,1
99,57
100,60
101,63
102,54
103,82
104,83
105,84
106,88
107,25
108,31
109,48
110,36
111,36
112,44
113,34
114,52
115,66
116,66
