root,chain
1,[1]
2,[2]
3,[3]
4,[4]
5,[5]
6,"[6, 61]"
7,[7]
8,[8]
9,[9]
10,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
11,[11]
12,"[43, 112, 12]"
13,[13]
14,"[17, 35, 114, 30, 14, 42, 20]"
15,"[15, 29]"
16,[16]
17,"[17, 35, 114, 30, 14, 42, 20]"
18,"[40, 115, 116, 36, 18]"
19,[19]
20,"[17, 35, 114, 30, 14, 42, 20]"
21,[21]
22,"[109, 22]"
23,"[34, 23]"
24,"[105, 24, 37]"
25,[25]
26,"[26, 68, 69]"
27,"[77, 78, 73, 27, 75, 76]"
28,[28]
29,"[15, 29]"
30,"[17, 35, 114, 30, 14, 42, 20]"
31,"[99, 31]"
32,"[32, 102]"
33,"[108, 33, 91]"
34,"[34, 23]"
35,"[17, 35, 114, 30, 14, 42, 20]"
36,"[40, 115, 116, 36, 18]"
37,"[105, 24, 37]"
38,"[55, 38, 39]"
39,"[55, 38, 39]"
40,"[40, 115, 116, 36, 18]"
41,"[100, 41]"
42,"[17, 35, 114, 30, 14, 42, 20]"
43,"[43, 112, 12]"
44,[44]
45,[45]
46,[46]
47,[47]
48,[48]
49,[49]
50,[50]
51,[51]
52,[52]
53,[53]
54,[54]
55,"[55, 38, 39]"
56,[56]
57,[57]
58,[58]
59,[59]
60,[60]
61,"[6, 61]"
62,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
63,[63]
64,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
65,[65]
66,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
67,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
68,"[26, 68, 69]"
69,"[26, 68, 69]"
70,[70]
71,"[71, 72]"
72,"[71, 72]"
73,"[77, 78, 73, 27, 75, 76]"
74,[74]
75,"[77, 78, 73, 27, 75, 76]"
76,"[77, 78, 73, 27, 75, 76]"
77,"[77, 78, 73, 27, 75, 76]"
78,"[77, 78, 73, 27, 75, 76]"
79,"[79, 80]"
80,"[79, 80]"
81,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
82,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
83,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
84,[84]
85,"[107, 85]"
86,[86]
87,"[89, 90, 87]"
88,[88]
89,"[89, 90, 87]"
90,"[89, 90, 87]"
91,"[108, 33, 91]"
92,[92]
93,[93]
94,[94]
95,[95]
96,[96]
97,[97]
98,"[98, 10, 81, 62, 64, 82, 83, 66, 67]"
99,"[99, 31]"
100,"[100, 41]"
101,[101]
102,"[32, 102]"
103,[103]
104,[104]
105,"[105, 24, 37]"
106,[106]
107,"[107, 85]"
108,"[108, 33, 91]"
109,"[109, 22]"
110,"[110, 111]"
111,"[110, 111]"
112,"[43, 112, 12]"
113,[113]
114,"[17, 35, 114, 30, 14, 42, 20]"
115,"[40, 115, 116, 36, 18]"
116,"[40, 115, 116, 36, 18]"
