lcat,along,x,y,across,x1,y1,cos,sin,angle,culvert,overwrite
1,0,335807.87976674084,5048697.668115625,13.0,335808.515369324,5048684.683663024,-0.048892506399587324,0.9988040462563046,182.80245155642294,0,0
1,10,335798.11483736895,5048693.18532254,9.0,335798.554869927,5048684.196086124,-0.048892506448043827,0.9988040462539326,182.8024515592026,0,0
1,20,335788.0076604526,5048695.694157788,12.0,335788.59437053,5048683.708509233,-0.04889250644519352,0.9988040462540722,182.80245155903913,0,0
1,30,335778.0471610552,5048695.206580897,12.0,335778.633871132,5048683.220932342,-0.04889250639673702,0.9988040462564441,182.80245155625943,0,0
1,40,335768.0377691518,5048695.717808044,13.0,335768.67337173497,5048682.733355442,-0.04889250639673702,0.9988040462564441,182.80245155625943,0,0
1,50,335758.223947274,5048692.233819015,10.0,335758.71287233796,5048682.245778553,-0.04889250639673702,0.9988040462564441,182.80245155625943,0,0
1,53,335755.3682983666,5048691.062339119,9.0,335756.414129863,5048682.123310286,-0.11620349960498727,0.993225425912745,186.67304592342543,0,1
1,60,335749.9296015697,5048687.5737882005,11.0,335758.50273395964,5048680.681662184,-0.779375671809469,0.6265569105767957,231.20344799342854,0,0
1,70,335742.90193348686,5048680.428078941,12.0,335752.2544415489,5048672.909396014,-0.7793756718379719,0.626556910541341,231.20344799603498,0,0
1,80,335736.6536410758,5048672.655812771,12.0,335746.00614913757,5048665.137129844,-0.779375671809469,0.6265569105767957,231.20344799342854,0,0
1,90,335731.18472433666,5048664.2569896905,11.0,335739.7578567266,5048657.364863674,-0.779375671809469,0.6265569105767957,231.20344799342854,0,0
1,100,335724.9364319257,5048656.48472352,11.0,335733.5095643159,5048649.592597504,-0.7793756718379719,0.626556910541341,231.20344799603498,0,0
1,102,335723.6867734473,5048654.93027029,11.0,335732.2599057969,5048648.038144223,-0.7793756681432334,0.6265569151372351,231.20344765816796,0,1
1,110,335717.05649551353,5048651.6620889,10.0,335719.94200502866,5048642.087443484,-0.28855095151378946,0.9574645415786878,196.77122347728584,0,0
1,120,335707.7968022453,5048647.827071306,9.0,335710.3937609014,5048639.20989046,-0.28855096178746753,0.9574645384825108,196.77122409207453,0,0
1,130,335697.96000705345,5048645.906982785,10.0,335700.8455166713,5048636.3323374,-0.28855096178746753,0.9574645384825108,196.77122409207453,0,0
1,131,335697.0103067505,5048645.658333074,10.0,335699.1760486762,5048635.895671454,-0.2165741925728781,0.9762661620231472,192.50789812267686,0,1
1,140,335688.80068374675,5048649.15713604,9.0,335684.07124778815,5048641.499954083,0.5254928842896011,0.850797995155722,148.2985700902336,0,0
1,150,335680.31616371375,5048654.39757488,9.0,335675.58672775514,5048646.740392923,0.5254928842896011,0.850797995155722,148.2985700902336,0,0
1,160,335672.88262944255,5048661.339609719,11.0,335667.1022077897,5048651.980831726,0.5254928775295149,0.8507979993310694,148.298570545482,0,0
1,161,335671.5086845615,5048661.012855605,10.0,335666.2537557144,5048652.504875656,0.5254928847071357,0.8507979948978329,148.29857006211532,0,0
2,0,337627.7813529125,5053023.964518,10.0,337628.92829610215,5053033.898526321,-0.11469431896676462,-0.9934008320898217,-6.585994155020728,1,0
