cat,lcat,along,x,y
1,1,0,335808.52446923,5048694.69608233
2,1,0.997242595700558,335807.52841929,5048694.64732464
3,1,1.99448519140112,335806.53236935,5048694.59856695
4,1,2.99172778710167,335805.53631941,5048694.54980926
5,1,3.98897038280223,335804.540269471,5048694.50105157
6,1,4.98621297850279,335803.544219531,5048694.45229388
7,1,5.98345557420335,335802.548169591,5048694.40353619
8,1,6.98069816990391,335801.552119652,5048694.3547785
9,1,7.97794076560447,335800.556069712,5048694.30602081
10,1,8.97518336130502,335799.560019772,5048694.25726312
11,1,9.97242595700558,335798.563969832,5048694.20850543
12,1,10.9696685527061,335797.567919893,5048694.15974774
13,1,11.9669111484067,335796.571869953,5048694.11099005
14,1,12.9641537441073,335795.575820013,5048694.06223237
15,1,13.9613963398078,335794.579770074,5048694.01347468
16,1,14.9586389355084,335793.583720134,5048693.96471699
17,1,15.9558815312089,335792.587670194,5048693.9159593
18,1,16.9531241269095,335791.591620254,5048693.86720161
19,1,17.95036672261,335790.595570315,5048693.81844392
20,1,18.9476093183106,335789.599520375,5048693.76968623
21,1,19.9448519140112,335788.603470435,5048693.72092854
22,1,20.9420945097117,335787.607420496,5048693.67217085
23,1,21.9393371054123,335786.611370556,5048693.62341316
24,1,22.9365797011128,335785.615320616,5048693.57465547
25,1,23.9338222968134,335784.619270676,5048693.52589778
26,1,24.931064892514,335783.623220737,5048693.47714009
27,1,25.9283074882145,335782.627170797,5048693.4283824
28,1,26.9255500839151,335781.631120857,5048693.37962472
29,1,27.9227926796156,335780.635070918,5048693.33086703
30,1,28.9200352753162,335779.639020978,5048693.28210934
31,1,29.9172778710167,335778.642971038,5048693.23335165
32,1,30.9145204667173,335777.646921098,5048693.18459396
33,1,31.9117630624179,335776.650871159,5048693.13583627
34,1,32.9090056581184,335775.654821219,5048693.08707858
35,1,33.906248253819,335774.658771279,5048693.03832089
36,1,34.9034908495195,335773.66272134,5048692.9895632
37,1,35.9007334452201,335772.6666714,5048692.94080551
38,1,36.8979760409207,335771.67062146,5048692.89204782
39,1,37.8952186366212,335770.67457152,5048692.84329013
40,1,38.8924612323218,335769.678521581,5048692.79453244
41,1,39.8897038280223,335768.682471641,5048692.74577475
42,1,40.8869464237229,335767.686421701,5048692.69701706
43,1,41.8841890194234,335766.690371762,5048692.64825937
44,1,42.881431615124,335765.694321822,5048692.59950169
45,1,43.8786742108246,335764.698271882,5048692.550744
46,1,44.8759168065251,335763.702221942,5048692.50198631
47,1,45.8731594022257,335762.706172003,5048692.45322862
48,1,46.8704019979262,335761.710122063,5048692.40447093
49,1,47.8676445936268,335760.714072123,5048692.35571324
50,1,48.8648871893274,335759.718022184,5048692.30695555
51,1,49.8621297850279,335758.721972244,5048692.25819786
52,1,50.8593723807285,335757.725922304,5048692.20944017
53,1,51.856614976429,335756.729872364,5048692.16068248
54,1,52.8538575721296,335755.733822425,5048692.11192479
55,1,53.8511001678301,335754.770367309,5048691.9992043
56,1,54.8483427635307,335754.145538068,5048691.22197768
57,1,55.8455853592313,335753.520708827,5048690.44475106
58,1,56.8428279549318,335752.895879586,5048689.66752445
59,1,57.8400705506324,335752.271050345,5048688.89029783
60,1,58.8373131463329,335751.646221104,5048688.11307121
61,1,59.8345557420335,335751.021391862,5048687.3358446
62,1,60.8317983377341,335750.396562621,5048686.55861798
63,1,61.8290409334346,335749.77173338,5048685.78139136
64,1,62.8262835291352,335749.146904139,5048685.00416475
65,1,63.8235261248357,335748.522074898,5048684.22693813
66,1,64.8207687205363,335747.897245657,5048683.44971151
67,1,65.8180113162368,335747.272416416,5048682.6724849
68,1,66.8152539119374,335746.647587175,5048681.89525828
69,1,67.812496507638,335746.022757934,5048681.11803166
70,1,68.8097391033385,335745.397928693,5048680.34080504
71,1,69.8069816990391,335744.773099451,5048679.56357843
72,1,70.8042242947396,335744.14827021,5048678.78635181
73,1,71.8014668904402,335743.523440969,5048678.00912519
74,1,72.7987094861408,335742.898611728,5048677.23189858
75,1,73.7959520818413,335742.273782487,5048676.45467196
76,1,74.7931946775419,335741.648953246,5048675.67744534
77,1,75.7904372732424,335741.024124005,5048674.90021873
78,1,76.787679868943,335740.399294764,5048674.12299211
79,1,77.7849224646435,335739.774465523,5048673.34576549
80,1,78.7821650603441,335739.149636281,5048672.56853887
81,1,79.7794076560447,335738.52480704,5048671.79131226
82,1,80.7766502517452,335737.899977799,5048671.01408564
83,1,81.7738928474458,335737.275148558,5048670.23685902
84,1,82.7711354431463,335736.650319317,5048669.45963241
85,1,83.7683780388469,335736.025490076,5048668.68240579
86,1,84.7656206345475,335735.400660835,5048667.90517917
