from_cat,cat
6,30
7,39
8,177
9,145
10,63
10,65
13,123
16,4
16,34
18,30
20,19
20,36
21,179
22,183
23,24
24,25
31,40
32,182
34,161
34,168
38,143
39,6
41,42
41,44
42,94
43,42
43,44
44,94
45,103
46,103
47,91
48,91
49,50
49,53
50,54
51,56
51,57
52,50
52,53
53,54
54,51
54,55
55,56
55,57
56,92
57,92
58,61
59,10
60,61
61,59
61,62
62,10
63,66
64,96
65,66
66,64
66,67
67,96
69,32
70,74
71,76
72,104
73,74
74,71
74,75
75,76
76,72
76,77
77,104
78,95
79,95
80,100
81,100
82,28
82,33
83,85
84,85
85,86
85,88
86,105
87,106
88,105
89,106
90,155
90,156
91,49
91,52
92,58
92,60
93,12
93,151
94,70
94,73
95,45
95,46
97,2
97,111
100,47
100,48
101,107
102,107
103,80
103,81
104,83
104,84
105,87
105,89
106,101
106,102
107,78
107,79
108,41
108,43
110,113
110,158
113,109
113,159
116,14
116,27
117,1
117,11
119,117
119,118
121,93
121,152
124,123
127,6
128,39
129,130
129,131
129,171
131,172
131,174
135,177
136,178
137,180
141,143
142,141
143,40
144,182
145,25
146,145
148,98
148,99
154,90
160,90
163,164
163,165
165,29
165,166
166,3
166,167
167,16
167,162
168,17
168,35
169,140
169,170
170,68
170,114
171,132
171,133
172,20
172,134
174,173
174,175
176,179
177,178
178,180
179,138
180,138
181,141
183,32
184,183
185,24
