from_cat,to_x,to_y,dist
7221,454273.73483147,4906163.17237156,0.640054893232556
7236,456019.257450102,4926027.53894368,4.20588733493104
7237,452461.815069094,4905894.15282599,2.67127269808513
7241,454979.204689562,4913601.97159609,1.07242074413256
11549,451966.920604684,4905990.37676527,1.1105549562741
12041,487648.820163708,4913623.90655475,1.12361670038363
12051,461353.598254592,4923570.27051174,4.58599160762267
12061,492708.492056441,4901007.70455395,1.06602259379148
12077,480619.284965685,4896209.78578751,1.92822283781048
12082,491897.808087004,4900750.43020382,3.00443044011404
12140,489980.958053387,4914226.64519183,1.16459428413786
12145,469569.762452936,4931457.39935026,1.5414493446141
12151,462523.699718697,4925991.71862524,2.38684587706148
12163,488965.36331909,4896124.85535316,12.9122183365493
12168,461554.769751784,4903409.60427813,2.63517514922515
12169,476308.380664418,4895346.40606662,0.100388778688646
12173,463261.299618481,4928402.60165242,1.40513047973786
12182,487076.313639301,4901650.88454933,2.46357317966805
12183,495182.227639294,4908784.43584683,22.3272784195491
12199,476576.067207873,4895686.41010224,0.928460554716421
12554,493237.24625617,4914381.01421281,0.533693976591655
14258,474938.003109448,4890558.47170836,9.49886326997852
16417,461328.013528651,4902967.25056177,2.01370372486628
17720,488761.31243283,4914157.21413749,0.346487211971362
19675,485322.801084411,4899760.93283876,2.32939923906016
19882,474889.320433453,4892154.61646094,8.70449423219152
20997,473533.26503887,4925153.34577893,2.20340328193567
20998,473952.403911121,4925151.76180572,2.02859911770602
21097,454807.388351857,4910563.69011256,0.0948307962081804
21134,475013.027234128,4924334.71932871,0.360610250813503
21947,478902.864696734,4895102.45665649,0.337834901779603
22039,456451.092572711,4929245.56429227,2.55412667860112
22619,493769.823917403,4915040.30078238,0.524895273200305
22622,461589.297377676,4924363.18214514,4.59461935798715
