cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,213620,"18226618",5115,"tertiary","Lamb Avenue","CR 26","B",0,0,"F","F",1,495160.573536301,4908616.0944195
2,214030,"18227127",5122,"residential","Elmore Avenue",,"B",0,0,"F","F",1,470149.997535864,4898169.83599043
3,215918,"18229410",5121,"unclassified","Gary Trail","CR 271","B",0,0,"F","F",1,467447.959300685,4908694.5365693
4,215312,"18228677",5115,"tertiary","Hunt Lake Trail","CR 37","B",0,0,"F","F",1,464909.668654027,4909360.95118524
5,216601,"18230320",5115,"tertiary","West 185th Street","CR 37","B",0,0,"F","F",1,471623.560878095,4907216.40316578
6,216601,"18230320",5115,"tertiary","West 185th Street","CR 37","B",0,0,"F","F",1,469824.220167033,4907448.71165239
7,694557,"907948646",5141,"service",,,"B",0,0,"F","F",1,471731.375786249,4905053.95096243
8,216572,"18230275",5122,"residential","Jenkins Avenue",,"B",0,0,"F","F",1,492709.229103628,4901007.82135301
9,138025,"18137324",5115,"tertiary","151st Avenue","CR 3","B",88,0,"F","F",1,454916.615619017,4910935.22030704
10,138042,"18137344",5115,"tertiary","County Road 135","CR 135","B",0,0,"F","F",1,455982.194503408,4911512.61289686
11,350937,"160544910",5115,"tertiary","Le Sueur Avenue","CR 137","B",0,0,"F","F",1,458193.233857223,4911993.68329504
12,210924,"18223122",5141,"service",,,"B",0,0,"F","F",1,461928.747561365,4904777.94767979
13,216652,"18230394",5115,"tertiary","Kanabec Avenue","CR 16","B",0,0,"F","F",1,461327.913210815,4902967.23326667
14,789004,"1072762878",5141,"service",,,"B",0,0,"F","F",1,484362.041134849,4909293.95943853
15,213641,"18226648",5121,"unclassified","Gibson Trail",,"B",0,0,"F","F",1,487649.210462289,4913624.14531946
16,214179,"18227299",5122,"residential","Hall Avenue",,"B",0,0,"F","F",1,488762.521699941,4914157.05436447
17,390117,"249207147",5115,"tertiary","Ibson Avenue","CR 30","B",0,0,"F","F",1,489982.580711131,4914227.06443972
18,293911,"60433931",5114,"secondary","Kane Avenue","MN 246","B",96,0,"F","F",1,493237.863584569,4914381.15297346
19,215894,"18229382",5122,"residential","55th Street West",,"B",0,0,"F","F",1,463261.553040844,4928401.36220204
20,216605,"18230326",5122,"residential","Hatch Trail",,"B",0,0,"F","F",1,461820.315092461,4929167.18953447
21,384121,"235757920",5122,"residential","Base Line Road","CR 76","B",0,0,"F","F",1,477548.133078298,4917426.66372058
22,383359,"234944252",5115,"tertiary","Bagley Avenue","CR 46;I 35 ALT","B",88,0,"F","F",1,475975.028087316,4916909.97972666
23,368822,"188080274",5122,"residential","Sand Creek Lane",,"B",0,0,"F","F",1,456558.418118142,4929944.8242832
24,137146,"18136205",5115,"tertiary","300th Street","CR 145","B",0,0,"F","F",1,456450.562134036,4929244.46920979
25,215193,"18228530",5122,"residential","Falk Avenue",,"B",0,0,"F","F",1,485440.179298519,4898471.8220347
26,369322,"188355881",5114,"secondary","Hiawatha Pioneer Trail","MN 99","B",88,0,"F","F",1,456505.924612092,4914763.45360378
27,137093,"18136146",5122,"residential","400th Street","CR 138","B",0,0,"F","F",1,454783.882175189,4913166.59334345
28,138025,"18137324",5115,"tertiary","151st Avenue","CR 3","B",88,0,"F","F",1,454977.788036841,4913601.89984878
29,213652,"18226665",5122,"residential","Cates Avenue",,"B",0,0,"F","F",1,481589.108100379,4920867.94758385
30,216730,"18230499",5142,"track",,,"B",0,0,"F","F",1,458737.663419433,4930837.62998113
31,215785,"18229255",5115,"tertiary","45th Street West","CR 6","B",0,0,"F","F",1,459782.087027198,4930006.88000793
32,238687,"18257596",5115,"tertiary","County Highway 23","CR 23;I 35 ALT","B",0,0,"F","F",1,474889.201069176,4892153.07896556
33,213719,"18226749",5115,"tertiary","Cabot Avenue","CR 21","B",0,0,"F","F",1,480620.29550471,4896209.57914735
34,216827,"18230636",5122,"residential","50th Street West",,"B",0,0,"F","F",1,461687.832629732,4929186.9174378
35,402514,"291963021",5141,"service",,,"B",0,0,"F","F",1,469051.23293483,4916936.66181871
36,390228,"249662630",5122,"residential","Union Lake Trail",,"B",0,0,"F","F",1,461353.667454383,4923571.3612013
37,213200,"18226098",5122,"residential","Dalton Avenue",,"B",0,0,"F","F",1,472753.086233848,4924604.94891549
38,212718,"18225509",5122,"residential","Kent Avenue",,"B",0,0,"F","F",1,460753.701876769,4927988.60674868
39,215221,"18228562",5115,"tertiary","230th Street West","CR 14","B",0,0,"F","F",1,460425.224186045,4900234.68894416
40,211392,"18223765",5141,"service",,,"B",0,0,"F","F",1,469013.073254556,4917303.7715381
41,213386,"18226332",5121,"unclassified","Fairbanks Avenue","CR 61","B",0,0,"F","F",1,469527.160861738,4916809.14629699
42,138134,"18137445",5122,"residential","141st Avenue",,"B",0,0,"F","F",1,456630.405640803,4918038.28315493
43,136983,"18136015",5141,"service",,,"B",0,0,"F","F",1,456109.980858045,4918226.3275189
44,215973,"18229472",5122,"residential","Falls Trail",,"B",0,0,"F","F",1,468180.463725211,4916957.01073207
45,216543,"18230235",5141,"service","Gilbert Trail",,"B",0,0,"F","F",1,467628.740115446,4918320.80822291
46,138449,"18137829",5122,"residential","458th Street",,"B",0,0,"F","F",1,454930.377969964,4903507.55181343
47,369322,"188355881",5114,"secondary","Hiawatha Pioneer Trail","MN 99","B",88,0,"F","F",1,457398.55631436,4914751.62823511
48,138369,"18137740",5114,"secondary","State Highway 21","MN 21","B",96,0,"F","F",1,457308.965912931,4919581.19328179
49,214201,"18227328",5122,"residential","Bachrach Avenue",,"B",0,0,"F","F",1,479578.813856434,4919453.99918941
50,214201,"18227328",5122,"residential","Bachrach Avenue",,"B",0,0,"F","F",1,479578.767631607,4919451.99300423
51,212752,"18225552",5122,"residential","100th Street East",,"B",0,0,"F","F",1,481694.749720323,4921075.86088709
52,870751,"1230662274",5142,"track",,,"B",0,0,"F","F",1,480753.013272445,4919063.92518109
53,212493,"18225236",5122,"residential","Kanabec Trail",,"B",0,0,"F","F",1,461892.697314736,4919457.50595371
54,215533,"18228938",5115,"tertiary","Halstad Avenue","CR 62","B",0,0,"F","F",1,466350.919702507,4919528.71755228
55,213405,"18226351",5142,"track",,,"B",0,0,"F","F",1,489489.595270642,4901176.79524107
56,213414,"18226363",5115,"tertiary","Gates Avenue","CR 23","B",0,0,"F","F",1,487076.861752795,4901650.85799293
57,214553,"18227741",5122,"residential","Judge Avenue",,"B",0,0,"F","F",1,461680.327274025,4925579.95737327
58,138564,"18137960",5122,"residential","139th Lane",,"B",0,0,"F","F",1,456887.282322538,4905049.03655935
59,583818,"766160562",5115,"tertiary","Kilkenny Road","CR 3","B",88,1,"T","F",1,454272.760795168,4906163.28993423
60,213365,"18226310",5115,"tertiary","Fairbanks Avenue","CR 3","B",0,0,"F","F",1,469570.155047334,4931457.3160006
61,537052,"722812408",5113,"primary","State Highway 13","MN 13;MN 21","B",88,0,"F","F",1,453372.086739066,4923529.49842827
62,136222,"18135017",5141,"service",,,"B",0,0,"F","F",1,455534.148544932,4923931.77048823
63,138560,"18137955",5115,"tertiary","151st Avenue","CR 3","B",88,0,"F","F",1,455065.891517857,4923328.93156674
64,217530,"18231636",5114,"secondary","State Highway 21","MN 21","B",96,0,"F","F",1,461818.099525632,4919544.63042765
65,215470,"18228863",5114,"secondary","Lonsdale Boulevard West","MN 19","B",96,0,"F","F",1,473952.44656137,4925151.32709435
66,216562,"18230259",5122,"residential","80th Street West",,"B",0,0,"F","F",1,475013.034224123,4924334.57148578
67,215470,"18228863",5114,"secondary","Lonsdale Boulevard West","MN 19","B",96,0,"F","F",1,473533.524918548,4925154.39005111
68,137613,"18136823",5122,"residential","141st Avenue",,"B",0,0,"F","F",1,456595.590134821,4914362.10095321
69,137001,"18136036",5141,"service",,,"B",0,0,"F","F",1,457252.674669964,4914508.26840244
70,390259,"249839410",5115,"tertiary","Northwest 66th Street","CR 112","B",88,0,"F","F",1,473935.910217892,4890547.4060872
71,214553,"18227741",5122,"residential","Judge Avenue",,"B",0,0,"F","F",1,461844.658817344,4925513.69375529
72,138023,"18137321",5115,"tertiary","151st Avenue","CR 3","B",88,0,"F","F",1,454577.294940872,4905307.38926137
73,138023,"18137321",5115,"tertiary","151st Avenue","CR 3","B",88,0,"F","F",1,454867.738451479,4904049.45256005
74,537048,"722812404",5115,"tertiary","320th Street","CR 28","B",88,0,"F","F",1,456019.357633953,4926023.32509515
75,350948,"160564846",5141,"service",,,"B",0,0,"F","F",1,455406.688348369,4924513.74661036
76,212752,"18225552",5122,"residential","100th Street East",,"B",0,0,"F","F",1,481695.942051481,4921075.84997205
77,217186,"18231126",5114,"secondary","Millersburg Boulevard East","CR 1","B",88,0,"F","F",1,480761.083757687,4919536.32820771
78,870751,"1230662274",5142,"track",,,"B",0,0,"F","F",1,480751.580036177,4919064.46882133
79,217186,"18231126",5114,"secondary","Millersburg Boulevard East","CR 1","B",88,0,"F","F",1,480756.326823757,4919539.5732415
80,213652,"18226665",5122,"residential","Cates Avenue",,"B",0,0,"F","F",1,481589.106630583,4920866.58339325
81,543936,"731615522",5141,"service",,,"B",0,0,"F","F",1,465315.11077037,4909174.82769257
82,890716,"1276117523",5122,"residential","Douglas Avenue",,"B",0,0,"F","F",1,471417.808712626,4905274.23887186
83,890720,"1276117527",5115,"tertiary","Jacobs Avenue","CR 80","B",0,0,"F","F",1,491901.627164612,4900751.28140538
84,810595,"1112093713",5115,"tertiary","Kilkenny Road","CR 3","B",88,0,"F","F",1,454805.513056365,4910566.70271017
85,214954,"18228234",5115,"tertiary","210th Street West","CR 12","B",0,0,"F","F",1,461554.772518922,4903409.35379674
86,216198,"18229740",5122,"residential","Davis Avenue",,"B",0,0,"F","F",1,482681.466664504,4907100.69184165
87,215083,"18228388",5115,"tertiary","Cannon City Boulevard","CR 20","B",0,0,"F","F",1,481927.192304711,4907187.66863153
88,210700,"18222818",5122,"residential","Eiler Avenue",,"B",0,0,"F","F",1,483459.544533616,4908236.83588245
89,384122,"235757922",5141,"service",,,"B",0,1,"T","F",1,477230.03797467,4917564.9482142
90,293040,"58693607",5111,"motorway",,"I 35","F",112,0,"F","F",1,476690.213748503,4917262.29190963
91,390114,"249205530",5115,"tertiary","70th Street West","CR 2","B",88,0,"F","F",1,462524.36195213,4925992.25910699
92,216358,"18229974",5122,"residential","60th Street West",,"B",0,0,"F","F",1,462774.91855407,4927603.75348523
