cat,a_cat,b_cat,to_x,to_y
1,3330,1,470150.005437731,4898169.83632121
2,2664,1,467447.959300685,4908694.5365693
3,3088,1,464909.668654027,4909360.95118524
4,845,1,471623.581084934,4907216.40329087
5,845,1,469824.247658208,4907448.71146469
6,2156,1,471417.808712626,4905274.23887186
7,1007,1,491901.627164612,4900751.28140538
8,1799,1,454806.390650768,4910565.28398925
9,1807,1,455982.167765263,4911511.98553431
10,3264,1,461928.747561365,4904777.94767979
11,2940,1,461327.913210815,4902967.23326667
12,952,1,483459.544533205,4908236.83588098
13,1564,1,487649.210462289,4913624.14531946
14,2813,1,488762.521699941,4914157.05436447
15,986,1,489981.848561087,4914226.87060581
16,2750,1,493237.863584569,4914381.15297346
17,295,1,463261.553040844,4928401.36220204
18,2692,1,461820.315092461,4929167.18953447
19,3156,1,477548.428836952,4917426.66475416
20,2804,1,476716.75682218,4917262.60088743
21,2157,1,475975.029307118,4916909.9797133
22,2229,1,456556.65203504,4929942.41094754
23,697,1,456449.445254394,4929242.21090435
24,3292,1,485440.179298519,4898471.8220347
25,2511,1,485456.34761878,4898572.68403506
26,3307,1,471982.756874212,4930719.54397527
27,1836,1,456505.926601052,4914763.53944024
28,675,1,454783.713518418,4913162.9403898
29,3369,1,454978.90374018,4913601.94847185
30,254,1,462524.330774051,4925992.25911357
31,3280,1,460068.92961685,4931258.04318561
32,2097,1,481589.108100379,4920867.94758385
33,360,1,459782.087027198,4930006.88000793
34,1572,1,474889.201069176,4892153.07896556
35,2388,1,476577.21508284,4895686.43199803
36,2359,1,480619.012046688,4896209.82865688
37,414,1,461687.832629732,4929186.9174378
38,1443,1,461353.667454383,4923571.3612013
39,1172,1,472753.767963148,4924605.37673742
40,1155,1,460753.701876769,4927988.60674868
41,1702,1,460425.224186045,4900234.68894416
42,1564,1,456111.074227716,4918223.23027976
43,2225,1,468180.647394208,4916956.90273452
44,2770,1,467628.740115446,4918320.80822291
45,3365,1,454928.619924439,4903505.74074246
46,1836,1,457398.555548897,4914752.20713217
47,696,1,457308.969612741,4919582.42027003
48,1206,1,479578.813856434,4919453.99918941
49,1206,1,479578.767631607,4919451.99300423
50,224,1,481694.790856955,4921075.96701415
51,1548,1,461892.697314736,4919457.50595371
52,3068,1,466350.919686228,4919528.71756228
53,2113,1,487076.861752795,4901650.85799293
54,2128,1,469804.521089998,4932759.5546205
55,3375,1,456894.061466998,4905056.99617904
56,1799,1,454275.738520003,4906162.89971322
57,3315,1,469571.956940112,4931456.98013772
58,2722,1,471581.05578234,4930953.37001784
59,696,1,453372.616097816,4923529.30496023
60,2224,1,455066.743993391,4923329.08519403
61,1540,1,461818.099276472,4919544.6709266
62,350,1,473952.456915158,4925151.18912331
63,329,1,475013.034223352,4924334.57149247
64,350,1,473533.563528797,4925154.5515893
65,2685,1,457253.52176317,4914508.40075003
66,2681,1,461844.658817344,4925513.69375529
67,1081,1,454472.993865562,4905264.24712774
68,2480,1,456019.428332891,4926020.62077894
69,224,1,481695.952147483,4921075.95906248
70,2097,1,481589.106630583,4920866.58339325
71,3126,1,495160.53068643,4908616.09306093
72,2190,1,495160.53068643,4908616.09306093
73,1432,1,467447.959300685,4908694.5365693
74,2336,1,464909.668654027,4909360.95118524
75,3088,1,471623.581084934,4907216.40329087
76,3088,1,469824.247658208,4907448.71146469
77,3125,1,492709.229103628,4901007.82135301
78,1008,1,491901.627164612,4900751.28140538
79,1799,1,454917.407279031,4910935.31715784
80,1082,1,455982.167765263,4911511.98553431
81,3367,1,455982.167765263,4911511.98553431
82,1717,1,458193.233857079,4911993.68329504
83,1447,1,458193.233857079,4911993.68329504
84,1804,1,458193.233857079,4911993.68329504
85,2092,1,458193.233857079,4911993.68329504
86,247,1,461554.772458415,4903409.35498263
87,2310,1,461327.913210815,4902967.23326667
88,1524,1,482681.466664504,4907100.69184165
89,1218,1,481927.192304711,4907187.66863153
90,1230,1,483459.544533205,4908236.83588098
91,1822,1,484328.561314789,4908430.63356286
92,2473,1,489981.848561087,4914226.87060581
93,1869,1,493237.863584569,4914381.15297346
94,1573,1,473935.910217892,4890547.4060872
95,3159,1,469527.110774081,4916809.16588545
96,1875,1,476690.213748503,4917262.29190963
97,1569,1,475975.029307118,4916909.9797133
98,3386,1,456449.445254394,4929242.21090435
99,1147,1,463190.254206116,4928794.75180019
