cat,lcat,along,x,y
1,1,0,469322.486343527,4908750.8471824
2,1,803.115378017751,469276.261241558,4908014.90013585
3,1,1606.2307560355,469804.137138071,4907463.65747468
4,1,0,469808.976793957,4907465.11151488
5,1,439.388624487648,470142.616052081,4907270.49762325
6,1,878.777248975297,470092.572989351,4906857.78128384
7,1,0,470094.295656594,4906862.92136815
8,1,508.451135156348,470292.610797974,4906672.01032712
9,1,1016.9022703127,470736.780889726,4906623.59133891
10,1,0,471686.161675245,4907463.78936822
11,1,564.504373486954,471383.335343476,4907131.71923402
12,1,1129.00874697391,471072.934688387,4906713.90698359
13,1,0,471071.22588241,4906717.33835747
14,1,234.282621710114,470931.753940309,4906552.1651888
15,1,468.565243420228,470731.651796727,4906632.17131019
16,2,0,467434.579098226,4908697.07800015
17,2,69.7851923237347,467502.71304951,4908686.78239279
18,2,139.570384647469,467569.452314065,4908670.51904613
19,2,0,465583.542326386,4908785.64614164
20,2,593.114877386657,466129.535713298,4908677.00140734
21,2,1186.22975477331,466652.804193328,4908915.87829641
22,2,0,466649.46073824,4908914.213421
23,2,468.29165284651,467106.964780028,4908974.1284643
24,2,936.583305693019,467434.579098226,4908697.07800015
25,2,0,464879.523533009,4909334.67340074
26,2,615.836880382043,465291.305669607,4909178.20558296
27,2,1231.67376076409,465590.221240442,4908783.96486301
28,3,0,480216.345207868,4918971.0890048
29,3,613.921012436965,480756.707169313,4919095.60224889
30,3,1227.84202487393,480750.863662991,4919709.13434522
31,3,0,480216.345207868,4918971.0890048
32,3,625.51570550364,480754.737627005,4919111.976769
33,3,1251.03141100728,480747.587721733,4919737.27580477
34,3,0,480203.217927776,4918974.28018585
35,3,6.81548595078519,480209.625908478,4918972.22999755
36,3,13.6309719015704,480216.345207868,4918971.0890048
37,3,0,480203.217927776,4918974.28018585
38,3,6.75479679766546,480209.781567822,4918972.68459533
39,3,13.5095935953309,480216.345207868,4918971.0890048
40,3,0,480198.769645155,4918976.66188957
41,3,2.55455367318501,480200.892907043,4918975.24150109
42,3,5.10910734637001,480203.217927776,4918974.28018585
43,3,0,480198.769645155,4918976.66188957
44,3,2.52288182667912,480200.993786465,4918975.47103771
45,3,5.04576365335825,480203.217927776,4918974.28018585
46,3,0,480187.129799402,4918984.44924477
47,3,7.08329667572302,480192.525134097,4918980.00541666
48,3,14.166593351446,480198.769645155,4918976.66188957
49,3,0,480187.129799402,4918984.44924477
50,3,7.00230159000172,480192.949722279,4918980.55556717
51,3,14.0046031800034,480198.769645155,4918976.66188957
52,3,0,480179.08393101,4918993.12386178
53,3,5.94413729937789,480182.94495027,4918988.60442614
54,3,11.8882745987558,480187.129799402,4918984.44924477
55,3,0,480179.08393101,4918993.12386178
56,3,5.91576238790852,480183.106865206,4918988.78655328
57,3,11.831524775817,480187.129799402,4918984.44924477
58,3,0,480153.140546912,4919021.07251398
59,3,19.0669217412774,480166.117667538,4919007.10325792
60,3,38.1338434825549,480179.08393101,4918993.12386178
61,3,0,480153.140546912,4919021.07251398
62,3,19.1070990572861,480166.672803916,4919007.65125517
63,3,38.2141981145722,480179.08393101,4918993.12386178
64,3,0,480129.066452431,4919042.20649472
65,3,16.0172342120344,480141.103499672,4919031.63950435
66,3,32.0344684240689,480153.140546912,4919021.07251398
67,3,0,480002.708019892,4919180.14148963
68,3,93.9817786075893,480066.61231615,4919111.28181696
69,3,187.963557215179,480131.767364652,4919043.55151086
70,3,0,480002.708019892,4919180.14148963
71,3,109.481175149808,480077.826640313,4919100.52810871
72,3,218.962350299616,480153.140546912,4919021.07251398
73,3,0,480000.246623281,4919183.04683069
74,3,1.91113836723417,480001.428628701,4919181.56121074
75,3,3.82227673446835,480002.708019892,4919180.14148963
76,3,0,480000.246623281,4919183.04683069
77,3,1.90390913598166,480001.477321586,4919181.59416016
78,3,3.80781827196332,480002.708019892,4919180.14148963
79,3,0,479986.656267041,4919335.86454365
80,3,78.4536259344405,479984.183060999,4919257.49265108
81,3,156.907251868881,480000.246623281,4919183.04683069
82,3,0,479986.656267041,4919335.86454365
83,3,77.8022000292549,479986.358735882,4919258.06291254
84,3,155.60440005851,480000.246623281,4919183.04683069
85,3,0,479986.684964515,4919362.9548884
86,3,13.5478244256112,479986.70802568,4919349.41226921
87,3,27.0956488512223,479986.656267041,4919335.86454365
88,3,0,479986.684964515,4919362.9548884
89,3,13.6660527699336,479987.372398805,4919349.51182007
90,3,27.3321055398673,479986.656267041,4919335.86454365
91,3,0,479766.48373019,4919477.92063068
92,3,132.184021994687,479893.492042853,4919441.56869152
93,3,264.368043989375,479986.684964515,4919362.9548884
94,3,0,479766.48373019,4919477.92063068
95,3,133.197658224169,479895.36732416,4919444.52971811
96,3,266.395316448337,479986.684964515,4919362.9548884
97,3,0,479718.416144207,4919492.3336179
98,3,25.0909696044904,479742.449937198,4919485.12712429
99,3,50.1819392089809,479766.48373019,4919477.92063068
100,3,0,479718.416144207,4919492.3336179
101,3,25.1018327909175,479742.472529857,4919485.23939205
102,3,50.2036655818351,479766.48373019,4919477.92063068
103,3,0,479677.709142591,4919495.81038546
104,3,2.7880097744466,479680.49675465,4919495.85747592
105,3,5.57601954889321,479683.284366709,4919495.90456639
106,3,0,479677.709142591,4919495.81038546
107,3,2.84456094883012,479680.45438515,4919496.192197
108,3,5.68912189766025,479683.284366709,4919495.90456639
109,3,0,479683.284366709,4919495.90456639
110,3,17.6563973057563,479700.850255458,4919494.11909214
111,3,35.3127946115127,479718.416144207,4919492.3336179
112,3,0,479683.284366709,4919495.90456639
113,3,17.8566227023847,479701.138442598,4919496.20614305
114,3,35.7132454047693,479718.416144207,4919492.3336179
115,3,0,479313.777095827,4919508.40967133
116,3,218.67030059468,479472.453604349,4919425.13277057
