cat,orig_cat
1,6
2,19
3,37
4,40
5,69
6,99
7,100
8,131
9,167
10,3
11,6
12,11
13,14
14,4
15,22
16,39
17,44
18,87
19,104
20,104
21,134
22,162
23,169
24,171
25,172
26,17
27,4
28,30
29,43
30,83
31,154
32,161/158
33,29
34,39
35,39
36,104
37,130
38,149
39,99
40,155
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,102
69,158
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,30
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,15
91,3
92,3
93,11
94,3
95,3
96,3
97,19
98,5
99,5
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,16
110,16
111,19
112,2
113,16
114,102
115,1
116,4
117,6
118,6
119,6
120,10
121,11
122,13
123,14
124,14
125,16
126,18
127,82
128,85
129,104
130,104
131,104
132,104
133,104
134,105
135,132
136,136
137,138
138,141
139,143
140,103
141,148
142,150
143,151
144,165
145,170
146,174
147,1
148,5
149,7
150,9
151,11
152,11
153,8
154,15
155,15
156,15
157,16
158,16
159,16
160,15
161,38
162,41
163,41
164,42
165,41
166,41
167,41
168,39
169,102
170,102
171,104
172,104
173,106
174,104
175,104
176,133
177,135
178,137
179,139
180,140
181,147
182,159
183,161
184,166
185,168
