from_cat,to_x,to_y,dist
7558,386074.406682649,4946886.38393743,1.10295767861783
7560,383650.38902468,4946712.95374652,1.65548665282834
7591,381211.122052893,4944111.97702231,0.177399952716308
7592,382803.709436715,4944717.12301047,0.0170197964619887
8857,395942.617350173,4923430.69243328,0.357499204218923
8860,396459.110105174,4922981.84455343,3.59729772809681
8862,406876.119463744,4921340.99690757,0.677227722395214
8864,403637.713072014,4919231.99357488,14.3342889068816
8865,400412.365442376,4918266.04881811,1.0659451141242
8867,409064.731555845,4920904.50735846,0.613636967135626
8868,410859.527125648,4921721.42640437,2.32632903442114
8869,402030.97647376,4919264.13830598,3.07692013672988
8887,377328.393975916,4922099.32775387,3.85308987614688
8905,397296.382910774,4923407.59563728,1.36832934705802
8909,404676.59025644,4919377.81707307,4.24667698281733
11850,367728.665740289,4932452.47649182,1.41533969696732
11868,370883.584385338,4949551.77404031,0.501454838276765
11944,366882.292090418,4933467.90120253,0.799115202164659
13721,403709.547345286,4927667.42094863,3.10784273277507
13750,399048.467081714,4931954.18190922,0.423184760713222
13751,419918.807085623,4947204.81462336,1.95054903551942
13752,426370.666075983,4949655.24178401,2.05892743137834
13753,416471.812213441,4934868.12309347,2.32198153406911
13754,374633.211797481,4933611.17871592,1.73572254550153
13755,378834.602601352,4946254.72375348,4.24825581378306
13758,410947.486808876,4941335.52731191,1.26178905178948
13760,376468.6431752,4924090.39626251,15.5280059083701
13762,410195.33324526,4929928.51018281,12.3811687675193
13764,406541.036401465,4923922.73778115,0.620042973870299
13765,373235.016541368,4948062.1647817,12.6540757525984
13767,407287.407473097,4932873.79823419,1.23176393776546
13769,414929.872709722,4928405.29963019,0.138993145420571
13770,416540.353359325,4924169.25992604,1.262477181279
13774,414086.731000178,4923529.05245447,5.70059446641257
13775,408593.525509259,4931698.51797438,1.69061424108756
13798,420844.887585575,4933500.71823618,0.671312678265195
13799,421286.388474244,4933474.43118795,14.1850498636076
13800,407324.673220789,4941287.16372087,33.74922510327
13801,405296.713939382,4940019.61915597,3.68169606557809
13802,401985.616446665,4935793.95414066,11.1837298693247
13803,410145.568147685,4925967.23755284,3.35909399988542
13804,413305.764522077,4927896.43813166,1.82549703720202
13805,398980.54130311,4928951.4775585,1.21466791293695
