cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,232901,"18250702",5113,"primary","State Highway 22","MN 22","B",96,0,"F","F",1,402259.490963335,4949090.81238249
2,59007,"18039195",5115,"tertiary","County Road 33","CR 33","B",0,0,"F","F",1,429598.830588779,4950654.30353531
3,232112,"18249820",5141,"service",,,"B",0,0,"F","F",1,417326.103278153,4940119.00913449
4,233717,"18251616",5122,"residential","383rd Avenue",,"B",0,0,"F","F",1,417815.1747122,4941309.72833428
5,411607,"318324347",5115,"tertiary","371st Avenue","CR 11","B",0,0,"F","F",1,419837.571125955,4943015.34517011
6,450722,"483505557",5122,"residential","340th Street",,"B",0,0,"F","F",1,400092.197972959,4923356.6264699
7,233332,"18251189",5122,"residential","200th Street",,"B",0,0,"F","F",1,438466.391124767,4945964.95921658
8,233631,"18251524",5122,"residential","341st Avenue",,"B",0,0,"F","F",1,424673.491498396,4944243.7908555
9,293310,"59173827",5113,"primary","State Highway 25","MN 25","B",96,0,"F","F",1,429625.089311666,4944870.32436779
10,232485,"18250239",5122,"residential","301st Avenue",,"B",0,0,"F","F",1,431029.862367459,4944848.32800606
11,232933,"18250742",5113,"primary","State Highway 25","MN 25","B",96,0,"F","F",1,425487.642933089,4946313.02448981
12,411609,"318324349",5121,"unclassified","371st Avenue",,"B",0,0,"F","F",1,419919.445779152,4947204.78493466
13,915433,"1302209180",5122,"residential","180th Street",,"B",0,0,"F","F",1,428786.456685374,4948663.67086519
14,232499,"18250255",5122,"residential","316th Street",,"B",0,0,"F","F",1,398149.288972562,4927446.54349409
15,232808,"18250601",5122,"residential","511th Avenue",,"B",0,0,"F","F",1,397328.757723469,4926652.82340047
16,233000,"18250816",5122,"residential","226th Street",,"B",0,0,"F","F",1,383766.26834263,4942092.34804329
17,233465,"18251334",5115,"tertiary","361st Avenue",,"B",0,0,"F","F",1,421406.003696339,4938480.06753747
18,231396,"18249019",5122,"residential","224th Street",,"B",0,0,"F","F",1,427849.477480476,4941489.86971257
19,232799,"18250591",5115,"tertiary","331st Avenue","CR 16","B",0,0,"F","F",1,426239.493516431,4941261.48770851
20,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,391844.5674909,4942811.90136185
21,411629,"318326542",5122,"residential","491st Avenue",,"B",0,0,"F","F",1,400444.862819364,4941036.6101533
22,232761,"18250549",5115,"tertiary","190th Street","CR 15","B",0,0,"F","F",1,419597.274677458,4947197.89447295
23,232906,"18250713",5115,"tertiary","County Highway 9","CR 9","B",0,0,"F","F",1,413297.830691623,4925060.61737373
24,169474,"18172964",5115,"tertiary","County Road 4","CR 4","B",0,0,"F","F",1,400407.390500843,4918264.91634129
25,232341,"18250067",5113,"primary","State Highway 22","MN 22","B",96,0,"F","F",1,404678.750382359,4919380.42064447
26,168415,"18171775",5122,"residential","451st Avenue",,"B",0,0,"F","F",1,406881.540203098,4921340.87853556
27,410908,"316619794",5122,"residential","County Road 52",,"B",0,0,"F","F",1,409067.256954749,4920904.20298154
28,169614,"18173126",5115,"tertiary","425th Avenue","CR 3","B",0,0,"F","F",1,410862.266925916,4921722.99434796
29,233279,"18251131",5115,"tertiary","411th Avenue","CR 9","B",0,0,"F","F",1,413285.17434418,4937185.05325519
30,232370,"18250103",5122,"residential","520 Street",,"B",0,0,"F","F",1,370825.529542123,4925835.06372667
31,233180,"18251019",5122,"residential","583rd Avenue",,"B",0,0,"F","F",1,385637.525959444,4942575.58615374
32,230793,"18248236",5115,"tertiary","236th Street","CR 26","B",0,0,"F","F",1,402397.34229543,4940197.44428356
33,233402,"18251265",5122,"residential","591st Avenue",,"B",0,0,"F","F",1,384463.203432885,4923712.2549456
34,232404,"18250139",5122,"residential","280th Street",,"B",0,0,"F","F",1,372634.45270738,4933373.71979067
35,230768,"18248197",5113,"primary",,"MN 19","B",96,0,"F","F",1,374198.207561413,4932279.67521255
36,233137,"18250968",5122,"residential","661st Avenue",,"B",0,0,"F","F",1,373038.672640712,4935380.86384555
37,539773,"728894191",5122,"residential","291st Avenue",,"B",0,0,"F","F",1,432657.171658495,4946811.63118899
38,233488,"18251361",5122,"residential","571st Avenue",,"B",0,0,"F","F",1,387508.412137641,4934652.23959031
39,232667,"18250451",5122,"residential","565 Avenue",,"B",0,0,"F","F",1,388556.497678034,4929187.46864933
40,232601,"18250373",5122,"residential","300th Street",,"B",0,0,"F","F",1,405330.616578185,4929710.15501224
41,232721,"18250508",5115,"tertiary","County Highway 10","CR 10","B",0,0,"F","F",1,387842.790631158,4937995.73328546
42,232980,"18250796",5122,"residential","561st Avenue",,"B",0,0,"F","F",1,389164.391445485,4937155.68314513
43,230778,"18248213",5122,"residential","401st Avenue",,"B",0,0,"F","F",1,414926.590500758,4928407.9067276
44,232337,"18250063",5122,"residential","391st Avenue",,"B",0,0,"F","F",1,416737.604748919,4949400.93530893
45,577999,"759879757",5122,"residential","180th Street",,"B",0,0,"F","F",1,418040.004614977,4948800.48037429
46,932070,"1324055188",5122,"residential","321st Avenue",,"B",0,0,"T","F",1,427996.624287562,4951540.72574194
47,233700,"18251596",5122,"residential","170th Street",,"B",0,0,"F","F",1,426798.694812021,4950313.62349656
48,233037,"18250858",5115,"tertiary","331st Avenue","CR 16","B",0,0,"F","F",1,426372.369081666,4949655.32956299
49,233201,"18251045",5122,"residential","180th Street",,"B",0,0,"F","F",1,426065.91191148,4948711.06540585
50,231157,"18248733",5141,"service",,,"B",0,0,"F","F",1,382695.657035015,4941655.45756419
51,934795,"1332464405",5141,"service",,,"B",0,0,"F","F",1,378050.966236611,4934245.86874579
52,232793,"18250584",5114,"secondary","625th Avenue","CR 2","B",0,0,"F","F",1,378681.20521049,4935105.77881549
53,233174,"18251010",5122,"residential","621st Avenue",,"B",0,0,"F","F",1,379503.92259209,4936739.89951968
54,169719,"18173243",5122,"residential","340th Street",,"B",0,0,"F","F",1,386448.043403565,4923558.03554659
55,233301,"18251156",5122,"residential","541st Avenue",,"B",0,0,"F","F",1,392306.036432709,4934564.22843447
56,233426,"18251292",5122,"residential","276th Street",,"B",0,0,"F","F",1,390667.949720975,4933709.39542907
