cat,a_cat,b_cat,to_x,to_y
1,2675,1,402262.520176063,4949091.14459693
2,1549,1,419837.809225469,4943015.28864094
3,2693,1,438465.215046943,4945962.55612264
4,2694,1,436660.745980644,4945057.19829647
5,1942,1,429622.337279475,4944868.4856064
6,2691,1,431028.847223473,4944848.3684778
7,1942,1,425485.780706184,4946308.6476216
8,2577,1,398149.142262885,4927439.20805995
9,260,1,384064.943116654,4942876.69200977
10,1725,1,421405.377778122,4938480.03123762
11,2411,1,427847.342250427,4941489.88852244
12,2506,1,391844.54687454,4942811.90151317
13,1486,1,400447.559327535,4941036.58668806
14,2738,1,419597.058174007,4947196.71733314
15,512,1,399925.983627938,4917540.63799645
16,2062,1,402030.797725357,4919264.13187591
17,1316,1,404679.090420095,4919380.86439606
18,223,1,413285.363622225,4937185.05464911
19,830,1,370827.496271289,4925834.16969063
20,1243,1,385638.952118485,4942574.61479204
21,1274,1,402397.342204933,4940197.43868912
22,937,1,384467.974240593,4923712.21148986
23,1419,1,372120.136000234,4933568.42089831
24,2226,1,374198.262775662,4932279.27698775
25,1643,1,373037.879392792,4935381.3408972
26,1906,1,387507.264312343,4934652.54749298
27,945,1,388556.069096591,4929187.5181336
28,1080,1,405330.698146796,4929712.0855225
29,1248,1,387842.747544841,4937993.88672344
30,2640,1,389163.834150664,4937155.68337528
31,1729,1,414929.330413411,4928405.71970153
32,338,1,416731.64719109,4949399.08132188
33,1659,1,418037.653246061,4948791.2096015
34,671,1,426796.947842311,4950306.90005807
35,1659,1,426064.368285701,4948717.70980151
36,2634,1,382695.656859278,4941655.54781077
37,441,1,378089.654973697,4934288.3437626
38,2459,1,379504.423858821,4936739.89400476
39,1907,1,390667.471096362,4933708.69494706
40,1171,1,392757.969289502,4938527.14586278
41,276,1,397777.783808801,4934551.50772923
42,482,1,402935.208561506,4928305.96217069
43,671,1,424621.640607167,4950360.83604506
44,1026,1,417579.340416253,4950035.20484037
45,1976,1,377802.413928418,4947799.59689821
46,324,1,374314.948040069,4946232.13661554
47,1011,1,371103.661031643,4943057.19011918
48,2673,1,370732.835375247,4941452.57175282
49,1123,1,370214.941284625,4938245.30134463
50,2126,1,372062.260199721,4925375.42504361
