cat,lcat,along,x,y
1,1,0,415884.97606009,4923143.50630673
2,1,551.490885250457,416435.608042113,4923141.93417321
3,1,1102.98177050091,416567.880157718,4922711.29680158
4,1,0,415884.97606009,4923143.50630673
5,1,408.783274243214,415697.282165764,4923376.97983128
6,1,817.566548486428,415700.100859408,4923785.527824
7,2,0,390904.929819613,4924530.78454421
8,2,7501.24680022744,385784.878511537,4925667.14410565
9,2,15002.4936004549,379726.699909864,4923862.06859699
10,3,0,405436.852999285,4923280.07678291
11,3,2293.64681264603,403533.25094916,4923198.82234211
12,3,4587.29362529205,401574.487795408,4923011.56440036
13,4,0,392877.744357087,4924625.22076731
14,4,3275.57721700546,395650.489480614,4923691.10600048
15,4,6551.15443401091,397715.590924191,4924079.12948274
16,5,0,400528.705986333,4925122.05912376
17,5,1845.92659860946,402066.211501197,4925750.09102503
18,5,3691.85319721891,403448.175373976,4925105.45236107
19,6,0,422485.869842681,4923888.56787713
20,6,1035.93596350943,421532.463785043,4924033.72068166
21,6,2071.87192701887,421114.82172112,4923373.64291653
22,7,0,420040.910023543,4923914.05836193
23,7,1731.18297289881,418685.563056427,4924313.87778825
24,7,3462.36594579763,417119.23606092,4924518.14226576
25,8,0,399216.025917401,4923057.40091019
26,8,1591.36941748759,400074.928841631,4923777.3217321
27,8,3182.73883497519,400553.499736271,4924156.32533547
28,9,0,375007.272556672,4923911.92798543
29,9,121.888975039377,375011.432731029,4924033.74594464
30,9,243.777950078754,375015.501203962,4924155.52999876
31,10,0,373062.026803335,4926785.65337497
32,10,76.181217335238,372992.264588812,4926816.26074826
33,10,152.362434670476,372922.502374289,4926846.86812155
34,11,0,375885.023101387,4926004.16474704
35,11,3583.19793340617,375403.674754233,4929046.61165342
36,11,7166.39586681233,374525.007682089,4931758.0111931
37,12,0,413413.269446535,4923457.82178908
38,12,1209.17098989973,413408.267437621,4924664.22750705
39,12,2418.34197979945,413703.931548509,4925586.9574191
40,13,0,415618.282315673,4926177.31638308
41,13,271.066211594935,415778.790479273,4926355.56011783
42,13,542.13242318987,416049.854602374,4926354.52028343
43,14,0,406182.393017537,4926412.00987435
44,14,3503.99773643112,408940.412494619,4925329.48112235
