cat,orig_cat
1,260
2,283
3,333
4,336
5,472
6,503
7,526
8,549
9,556
10,564
11,568
12,611
13,633
14,694
15,717
16,769
17,58
18,916
19,1056
20,81
21,1226
22,1034
23,1035
24,90
25,1125
26,1125
27,141
28,34
29,158
30,168
31,167
32,11
33,24
34,875
35,328
36,368
37,393
38,404
39,1070
40,436
41,52
42,475
43,485
44,492
45,498
46,510
47,21
48,531
49,534
50,540
51,540
52,545
53,549
54,555
55,562
56,565
57,569
58,898
59,12
60,1024
61,604
62,58
63,58
64,613
65,616
66,80
67,1128
68,622
69,630
70,75
71,655
72,656
73,653
74,48
75,248
76,7
77,7
78,711
79,55
80,773
81,346
82,255
83,25
84,496
85,31
86,474
87,763
88,263
89,42
90,5
91,724
92,75
93,357
94,1141
95,1160
96,11
97,225
98,1199
99,11
100,27
101,69
102,553
103,161
104,579
105,713
106,86
107,1033
108,1033
109,1162
110,15
111,244
112,280
113,289
114,297
115,313
116,17
117,1140
118,36
119,30
120,913
121,513
122,531
123,553
124,737
125,629
126,75
127,629
128,644
129,657
130,686
131,632
132,17
133,37
134,855
135,875
136,18
137,737
138,20
139,390
140,933
141,46
142,26
143,710
144,1070
145,1140
146,769
147,74
148,35
149,691
150,582
151,35
152,143
153,497
154,167
155,1197
156,1163
157,375
158,470
159,914
160,20
161,496
162,809
163,606
164,786
165,205
166,900
167,38
168,17
169,34
170,778
171,489
172,809
173,41
174,634
175,308
176,919
177,505
178,507
179,896
180,142
181,473
182,471
183,1022
184,471
185,141
186,52
187,366
188,1
189,1
190,8
191,49
192,51
193,59
194,61
195,70
196,809
197,76
198,76
199,84
200,116
201,127
202,145
203,152
204,154
205,157
206,171
207,191
208,227
209,236
210,261
211,262
212,267
213,268
214,269
215,271
216,272
217,274
218,287
219,293
220,298
221,303
222,316
223,326
224,337
225,342
226,351
227,359
228,362
229,378
230,379
231,383
232,408
233,485
234,511
235,532
236,542
237,554
238,563
239,581
240,590
241,605
242,610
243,612
244,625
245,688
246,728
247,738
248,772
249,837
250,41
251,2
252,1196
253,1023
254,237
255,899
256,786
257,35
258,641
259,49
260,49
261,49
262,49
263,49
264,49
265,57
266,65
267,71
268,77
269,78
270,83
271,811
272,88
273,89
274,1035
275,92
276,87
277,88
278,60
279,60
280,141
281,141
282,144
283,35
284,35
285,151
286,151
287,153
288,34
289,155
290,155
291,160
292,155
293,155
294,166
295,166
296,38
297,170
298,38
299,38
300,186
301,211
302,711
303,710
304,240
305,15
306,15
307,15
308,22
309,22
310,259
311,2
312,2
313,2
314,263
315,263
316,270
317,28
318,55
319,273
320,273
321,858
322,280
323,858
324,858
325,288
326,24
327,24
328,297
329,302
330,301
331,301
332,33
333,312
334,308
335,1072
336,324
337,325
338,17
339,17
340,17
341,331
342,332
343,332
344,334
345,334
346,334
347,778
348,23
349,341
350,23
351,23
352,4
353,358
354,366
355,373
356,1139
357,1139
358,783
359,37
360,381
361,385
362,385
363,30
364,1068
365,392
366,1070
367,1070
368,394
369,404
370,416
371,42
372,418
373,418
374,983
375,428
376,431
377,434
378,26
379,26
380,46
381,470
382,471
383,46
384,46
385,486
386,495
387,916
388,918
389,504
390,506
391,505
392,505
393,508
394,873
395,21
396,21
397,1110
398,527
399,1138
400,531
401,540
402,539
403,541
404,538
405,543
406,538
407,544
408,538
409,538
410,546
411,809
412,547
413,31
414,31
415,549
416,549
417,549
418,553
419,25
420,561
421,25
422,566
423,737
424,737
425,570
426,570
427,571
428,898
429,12
430,1024
431,58
432,54
433,54
434,53
435,53
436,69
437,69
438,59
439,59
440,613
441,1127
442,622
443,623
444,622
445,622
446,75
447,75
448,635
449,44
450,44
451,56
452,56
453,644
454,646
455,642/643
456,56
457,654
458,41
459,41
460,41
461,676
462,3
463,42
464,420
465,417
466,622
467,622
468,725
469,632
470,768
471,769
472,43
473,2
474,857
475,288
476,913
477,20
478,30
479,91
480,91
481,68
482,3
483,357
484,74
485,1023
486,2
487,2
488,35
489,786
490,49
491,49
492,49
493,1121
494,1121
495,811
496,50
497,50
498,85
499,85
500,141
501,553
502,24
503,24
504,853
505,34
506,500
507,933
