root,chain
1,[1]
2,[2]
3,[3]
4,[4]
5,[5]
6,[6]
7,[7]
8,[8]
9,[9]
10,[10]
11,[11]
12,[12]
13,[13]
14,[14]
15,[15]
16,[16]
17,"[63, 431, 62, 17]"
18,"[387, 18]"
19,[19]
20,[20]
21,[21]
22,[22]
23,"[274, 23]"
24,[24]
25,"[25, 26]"
26,"[25, 26]"
27,"[280, 281, 185, 500, 27]"
28,"[505, 28, 288, 169]"
29,[29]
30,[30]
31,"[31, 154]"
32,"[32, 99, 96]"
33,"[326, 327, 33, 502, 503]"
34,"[135, 34]"
35,[35]
36,[36]
37,[37]
38,"[369, 38]"
39,"[366, 367, 144, 39]"
40,[40]
41,"[41, 186]"
42,[42]
43,"[233, 43]"
44,[44]
45,[45]
46,[46]
47,"[396, 395, 47]"
48,"[400, 122, 48]"
49,[49]
50,"[401, 50, 51]"
51,"[401, 50, 51]"
52,[52]
53,[53]
54,[54]
55,[55]
56,[56]
57,[57]
58,"[428, 58]"
59,"[429, 59]"
60,"[430, 60]"
61,[61]
62,"[63, 431, 62, 17]"
63,"[63, 431, 62, 17]"
64,"[440, 64]"
65,[65]
66,[66]
67,[67]
68,[68]
69,[69]
70,"[126, 70, 447, 446, 92]"
71,[71]
72,[72]
73,[73]
74,[74]
75,[75]
76,"[77, 76]"
77,"[77, 76]"
78,"[78, 302]"
79,"[318, 79]"
80,[80]
81,[81]
82,[82]
83,"[419, 421, 83]"
84,"[161, 84]"
85,"[413, 414, 85]"
86,[86]
87,[87]
88,"[314, 315, 88]"
89,"[371, 463, 89]"
90,[90]
91,[91]
92,"[126, 70, 447, 446, 92]"
93,"[483, 93]"
94,[94]
95,[95]
96,"[32, 99, 96]"
97,[97]
98,[98]
99,"[32, 99, 96]"
100,[100]
101,"[436, 437, 101]"
102,"[418, 501, 102, 123]"
103,[103]
104,[104]
105,[105]
106,[106]
107,"[108, 107]"
108,"[108, 107]"
109,[109]
110,"[110, 305, 306, 307]"
111,[111]
112,"[322, 112]"
113,[113]
114,"[328, 114]"
115,[115]
116,"[116, 132, 340, 339, 168, 338]"
117,"[145, 117]"
118,[118]
119,"[363, 478, 119]"
120,"[476, 120]"
121,[121]
122,"[400, 122, 48]"
123,"[418, 501, 102, 123]"
124,"[423, 424, 124, 137]"
125,"[125, 127]"
126,"[126, 70, 447, 446, 92]"
127,"[125, 127]"
128,"[453, 128]"
129,[129]
130,[130]
131,"[469, 131]"
132,"[116, 132, 340, 339, 168, 338]"
133,"[359, 133]"
134,[134]
135,"[135, 34]"
136,[136]
137,"[423, 424, 124, 137]"
138,"[477, 138, 160]"
139,[139]
140,"[507, 140]"
141,"[383, 384, 141, 380]"
142,"[378, 379, 142]"
143,"[143, 303]"
144,"[366, 367, 144, 39]"
145,"[145, 117]"
146,[146]
147,"[484, 147]"
148,"[284, 283, 148, 488]"
149,[149]
150,[150]
151,[151]
152,[152]
153,[153]
154,"[31, 154]"
155,[155]
156,[156]
157,[157]
158,"[381, 158]"
159,[159]
160,"[477, 138, 160]"
161,"[161, 84]"
162,"[162, 411, 172, 196]"
163,[163]
164,"[489, 164]"
165,[165]
166,[166]
167,"[298, 299, 296, 167]"
168,"[116, 132, 340, 339, 168, 338]"
169,"[505, 28, 288, 169]"
170,"[347, 170]"
171,[171]
172,"[162, 411, 172, 196]"
173,"[459, 173, 458, 460, 250]"
174,[174]
175,"[175, 334]"
176,[176]
177,"[391, 177, 392]"
178,[178]
179,[179]
180,[180]
181,[181]
182,"[382, 182, 184]"
183,[183]
184,"[382, 182, 184]"
185,"[280, 281, 185, 500, 27]"
186,"[41, 186]"
187,"[187, 354]"
188,[188]
189,[189]
190,[190]
191,[191]
192,[192]
193,[193]
194,[194]
195,[195]
196,"[162, 411, 172, 196]"
197,"[197, 198]"
198,"[197, 198]"
199,[199]
200,[200]
201,[201]
202,[202]
203,[203]
204,[204]
205,[205]
206,[206]
207,[207]
208,[208]
209,[209]
210,[210]
211,[211]
212,[212]
213,[213]
214,[214]
215,[215]
216,[216]
217,[217]
218,[218]
219,[219]
220,[220]
221,[221]
222,[222]
223,[223]
224,[224]
225,[225]
226,[226]
227,[227]
228,[228]
229,[229]
230,[230]
231,[231]
232,[232]
233,"[233, 43]"
234,[234]
235,[235]
236,[236]
237,[237]
238,[238]
239,[239]
240,[240]
241,[241]
242,[242]
243,[243]
244,[244]
245,[245]
246,[246]
247,[247]
248,[248]
249,[249]
250,"[459, 173, 458, 460, 250]"
251,[251]
