from_cat,cat
1,43
2,105
3,105
4,77
5,102
9,41
11,40
12,40
15,17
16,62
18,99
20,100
21,67
22,37
24,79
25,24
26,79
28,27
29,37
30,11
36,100
40,41
42,114
43,111
44,32
46,115
47,50
49,42
51,75
52,114
53,111
54,112
58,7
59,7
62,17
63,62
64,63
65,67
67,66
68,63
69,66
70,72
71,72
74,57
75,57
76,77
77,102
78,24
79,83
80,82
81,82
82,83
83,85
84,85
86,115
87,27
88,87
89,87
90,89
91,104
92,39
95,32
96,91
97,104
100,99
101,11
102,75
103,106
104,89
105,91
107,50
108,109
109,42
110,43
111,112
113,106
115,27
116,39
117,109
