cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,251528,"18272373",5141,"service",,,"B",0,0,"F","F",1,452579.594935306,4873574.27701094
2,254943,"18276166",5122,"residential","310th Avenue",,"B",0,0,"F","F",1,453607.121264838,4872892.78070098
3,255879,"18277296",5114,"secondary","295th Avenue","CR 15","B",0,0,"F","F",1,462264.926979083,4870471.73779981
4,255597,"18276951",5115,"tertiary","290th Street","CR 15","B",88,0,"F","F",1,460312.9928678,4869625.21311356
5,255004,"18276247",5122,"residential","205th Avenue",,"B",0,0,"F","F",1,455571.752650468,4855958.59608525
6,255336,"18276634",5122,"residential","315th Avenue",,"B",0,0,"F","F",1,463171.386962554,4873233.28092374
7,255693,"18277071",5122,"residential","168th Street",,"B",0,0,"F","F",1,465411.217896665,4873450.01488351
8,255078,"18276331",5122,"residential","100th Street",,"B",0,0,"F","F",1,454546.767674993,4870869.01817172
9,254906,"18276119",5115,"tertiary","Wilton Bridge Road","CR 4","B",88,0,"F","F",1,453626.654467783,4871696.87594186
10,254943,"18276166",5122,"residential","310th Avenue",,"B",0,0,"F","F",1,447598.352289502,4872931.85002954
11,255646,"18277009",5122,"residential","220th Avenue",,"B",0,0,"F","F",1,460241.906366728,4858352.01156412
12,254408,"18275559",5122,"residential","128th Street","CR 51","B",88,0,"F","F",1,459119.701871337,4871294.3772567
13,255700,"18277080",5115,"tertiary","143rd Street",,"B",0,0,"F","F",1,461308.894398397,4883826.60105661
14,255542,"18276893",5115,"tertiary","4th Street Northeast",,"B",48,0,"F","F",1,459731.20402116,4882717.26693229
15,384147,"235768854",5115,"tertiary","Snake Trail","CR 4","B",88,0,"F","F",1,464850.496093713,4885709.35953094
16,308566,"118665742",5114,"secondary","30th Street","CR 3","B",88,0,"F","F",1,443328.202677197,4881816.12254577
17,251481,"18272318",5141,"service",,,"B",0,0,"F","F",1,444352.548301823,4881022.08114343
18,255207,"18276485",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,461143.897372706,4864783.57766645
19,255938,"18277370",5122,"residential","250th Avenue",,"B",0,0,"F","F",1,460950.308563276,4863174.69428647
20,408270,"306632977",5122,"residential","95th Street",,"B",0,0,"F","F",1,453787.937661758,4882847.47908889
21,255490,"18276808",5122,"residential","240th Avenue",,"B",0,0,"F","F",1,439578.542981359,4861695.69896485
22,254886,"18276097",5122,"residential","25th Street",,"B",0,0,"F","F",1,442541.50346532,4883399.50004378
23,308566,"118665742",5114,"secondary","30th Street","CR 3","B",88,0,"F","F",1,443343.960421547,4882721.35946872
24,255950,"18277387",5122,"residential","370th Avenue","CR 53","B",0,0,"F","F",1,444899.401637047,4882980.19404917
25,254891,"18276102",5122,"residential","85th Street",,"B",0,0,"F","F",1,452180.34352612,4881307.77439184
26,313536,"132793201",5122,"residential","350th Avenue",,"B",72,0,"F","F",1,452826.388468009,4879343.51316753
27,255032,"18276276",5115,"tertiary","360th Avenue","CR 2","B",80,0,"F","F",1,440638.252022296,4881014.329929
28,287013,"44447463",5114,"secondary","Old Highway 14","CR 14","B",0,0,"F","F",1,441664.42963692,4885032.32015137
29,251467,"18272302",5141,"service",,,"B",0,0,"F","F",1,447878.223422127,4887843.73088321
30,255032,"18276276",5115,"tertiary","360th Avenue","CR 2","B",80,0,"F","F",1,445476.522191902,4881012.53441589
31,390149,"249223182",5122,"residential","20th Street",,"B",0,0,"F","F",1,441563.19804766,4861996.78091604
32,255646,"18277009",5122,"residential","220th Avenue",,"B",0,0,"F","F",1,461550.817175613,4858343.49851626
33,255470,"18276783",5122,"residential","150th Street",,"B",0,0,"F","F",1,462486.653505263,4857216.98129895
34,255647,"18277010",5122,"residential","220th Avenue",,"B",0,0,"F","F",1,444176.480323959,4858439.05129376
35,255454,"18276765",5115,"tertiary","390th Avenue","CR 19","B",55,0,"F","F",1,447251.834981664,4885832.40486448
36,255777,"18277166",5115,"tertiary","73rd Street","CR 17","B",0,0,"F","F",1,450158.731506343,4885051.08044577
37,255879,"18277296",5114,"secondary","295th Avenue","CR 15","B",0,0,"F","F",1,465240.170783532,4870797.55179698
38,255490,"18276808",5122,"residential","240th Avenue",,"B",0,0,"F","F",1,440050.283266613,4861689.50141643
39,810718,"1112362372",5113,"primary","State Highway 13","MN 13","B",80,0,"F","F",1,460927.495098103,4860250.83251578
