cat,a_cat,a_LINEARID,a_FULLNAME,a_RTTYP,a_MTFCC,b_cat,to_x,to_y
1,533,"110376911876",,,"S1740",1,452579.594935306,4873574.27701094
2,1916,"110376911824",,,"S1740",1,453158.199447227,4873160.11192585
3,1840,"110376908352","Co Rd 15","C","S1400",1,462264.907904428,4870471.73178335
4,2122,"110376909338","290th St","M","S1400",1,460312.9928678,4869625.21311356
5,1493,"110376909246","205th Ave","M","S1400",1,455571.752650468,4855958.59608525
6,2117,"110376909363","315th Ave","M","S1400",1,463171.386962554,4873233.28092374
7,738,"110376909211","168th St","M","S1400",1,465411.217896665,4873450.01488351
8,1599,"110376909110","100th St","M","S1400",1,454546.767674993,4870869.01817172
9,733,"110376909945","Wilton Bridge Rd","M","S1400",1,453627.801879706,4871694.72994533
10,1233,"110376910977",,,"S1400",1,447314.145774124,4872780.44789833
11,2303,"110376909265","220th Ave","M","S1400",1,460242.01524662,4858349.70386356
12,1102,"110376909446","375th Ave","M","S1400",1,461014.229178945,4883338.27710605
13,59,"1106061149615","4th St NE","M","S1400",1,459732.226208574,4882717.23600943
14,1182,"110376912073",,,"S1740",1,444352.548301823,4881022.08114343
15,1304,"110376909298","260th Ave","M","S1400",1,461143.897372706,4864783.57766645
16,1019,"110376909288","250th Ave","M","S1400",1,460950.328563832,4863174.69447025
17,889,"110376908457","Co Rd 54","C","S1400",1,442541.50346532,4883399.50004378
18,1183,"1106061148492","Co Rd 3","C","S1400",1,443345.976717421,4882720.07954456
19,467,"1105576419734","85th St","M","S1400",1,452181.9844996,4881307.75368205
20,2257,"1105575088979","350th Ave","M","S1400",1,452826.370528141,4879344.08037404
21,5,"1105576056886","Old US Hwy 14","U","S1400",1,441664.385259182,4885032.89392968
22,1061,"1105575088985","350th Ave","M","S1400",1,455126.988536251,4879332.50819214
23,998,"110376913264",,,"S1740",1,447878.223422127,4887843.73088321
24,881,"110376908254","Co Rd 2","C","S1400",1,445476.522191902,4881012.53441589
25,493,"110376909278","240th Ave","M","S1400",1,441118.286959166,4861685.61583796
26,711,"110376909188","150th St","M","S1400",1,462486.653505263,4857216.98129895
27,2051,"110376909466","390th Ave","M","S1400",1,447251.796466372,4885833.46888459
28,372,"110376908360","Co Rd 17","C","S1400",1,450158.731746087,4885051.06012139
29,493,"110376909278","240th Ave","M","S1400",1,440050.296700637,4861690.53893022
30,324,"1105575090983","State Hwy 13","S","S1200",1,460927.495098103,4860250.83251578
31,632,"110376908999","60th St","M","S1400",1,448002.631699502,4859190.42130981
32,1740,"110376909038","80th St","M","S1400",1,451195.083704277,4857896.13910797
33,1306,"110376908472","Co Rd 58","C","S1400",1,463500.91226814,4858332.40510279
34,777,"1106061149623","45th St","M","S1400",1,445586.542585226,4860521.34793625
35,2373,"110376909508","415th Ave","M","S1400",1,440801.912742513,4889875.56959938
