cat,lcat,along,x,y
1,1,0,441270.0272,4874140.0275
2,1,984.509217035155,442028.69643524,4874383.26187664
3,1,1969.01843407031,442298.7492,4875129.3787
4,2,0,440847.3034,4873701.7801
5,2,59.4806740297342,440892.5271,4873740.41645
6,2,118.961348059468,440937.7508,4873779.0528
7,3,0,440993.0785,4874611.9445
8,3,290.417575607326,441055.936516088,4874336.26090002
9,3,580.835151214653,441270.0272,4874140.0275
10,4,0,440848.1475,4874298.3625
11,4,98.089293214257,440942.151,4874326.3777
12,4,196.178586428514,441036.1545,4874354.3929
13,5,0,441365.596,4874678.9347
14,5,264.280130859241,441352.058981488,4874416.15307599
15,5,528.560261718481,441215.334,4874190.1587
16,6,0,441684.4509,4873824.5342
17,6,337.991025712182,441433.433827143,4873773.47106189
18,6,675.982051424365,441503.4239,4874086.2811
19,7,0,442273.2459,4873362.0112
20,7,429.70719553789,441991.840537852,4873685.8220657
21,7,859.41439107578,441873.2469,4874077.9628
22,8,0,441921.7117,4873359.5516
23,8,145.898669072034,441998.665556087,4873483.50532391
24,8,291.797338144069,442075.8277,4873605.8285
25,9,0,442499.3234,4874224.9322
26,9,147.985856420523,442401.2027,4874335.7119
27,9,295.971712841046,442303.082,4874446.4916
28,10,0,442499.6039,4874556.3137
29,10,83.4773466592053,442416.12685,4874556.53625
30,10,166.954693318411,442332.6498,4874556.7588
31,11,0,446259.3433,4880718.4895
32,11,282.792033618772,446014.579005306,4880858.20658976
33,11,565.584067237544,445760.0022,4880981.3406
34,12,0,446222.0257,4880666.0076
35,12,32.1984203698436,446240.6845,4880692.24855
36,12,64.3968407396872,446259.3433,4880718.4895
37,13,0,445218.8919,4882233.1352
38,13,207.637671670533,445219.49355,4882025.4984
39,13,415.275343341067,445220.0952,4881817.8616
40,14,0,445354.364,4879791.1173
41,14,1095.68006667511,444442.190945183,4880216.20943126
42,14,2191.36013335023,444103.6481,4881016.0371
43,15,0,444946.2066,4879664.1806
44,15,283.515855500846,444914.071741745,4879930.43230142
45,15,567.031711001692,444915.4307,4880213.9449
46,16,0,444773.4174,4880182.2461
47,16,16.1869860075413,444773.495,4880198.4329
48,16,32.3739720150827,444773.5726,4880214.6197
49,17,0,444543.4968,4880177.4455
50,17,19.1420199662822,444543.588522522,4880196.58730021
51,17,38.2840399325643,444543.6803,4880215.7291
52,18,0,444250.1064,4880177.1431
53,18,19.9963799622857,444250.2023,4880197.13925
54,18,39.9927599245715,444250.2982,4880217.1354
55,19,0,444410.0992,4881021.6172
56,19,46.2846384182907,444363.83405,4881020.2742
57,19,92.5692768365813,444317.5689,4881018.9312
58,20,0,446705.0697,4882968.6649
59,20,2887.55700083083,444522.43901948,4882710.41492625
60,20,5775.11400166167,442538.4252,4883399.7049
