cat,orig_cat
1,43
2,130
3,131
4,132
5,133
6,137
7,159
8,614
9,212
10,281
11,270
12,309
13,296
14,347
15,392
16,412
17,423
18,460
19,634
20,499
21,553
22,518
23,571
24,125
25,126
26,128
27,135
28,136
29,478
30,591
31,604
32,55
33,74
34,75
35,102
36,487
37,478
38,496
39,637
40,246
41,602
42,35
43,41
44,55
45,256
46,625
47,21
48,567
49,38
50,20
51,85
52,36
53,42
54,45
55,70
56,121
57,141
58,158
59,159
60,164
61,353
62,425
63,442
64,454
65,455
66,456
67,457
68,461
69,479
70,484
71,485
72,491
73,533
74,607
75,610
76,612
77,613
78,616
79,617
80,618
81,619
82,620
83,621
84,622
85,623
86,624
87,626
88,627
89,628
90,629
91,632
92,636
93,638
94,54
95,56
96,122
97,631
98,398
99,463
100,486
101,590
102,611
103,615
104,630
105,633
106,635
107,20
108,35
109,35
110,41
111,41
112,41
113,47
114,35
115,625
116,637
117,37
