cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,144201,"18144417",5141,"service",,,"B",0,0,"F","F",1,276005.515450145,5232714.96501558
2,453923,"502910376",5122,"residential","210th Avenue",,"B",0,0,"F","F",1,247708.344996881,5245092.43724544
3,506112,"677691949",5115,"tertiary","230th Avenue",,"B",0,0,"F","F",1,219929.524733191,5249529.83100686
4,692422,"902943460",5141,"service",,,"B",0,0,"F","F",1,216347.237203085,5244825.5382138
5,590011,"772233084",5115,"tertiary","10th Street Northwest","CR 100","B",0,0,"F","F",1,211915.736293396,5224095.44395295
6,780993,"1051913083",5142,"track","160th Street",,"B",0,0,"F","F",1,219024.163549021,5265715.41451269
7,173531,"18177332",5113,"primary","250th Street","MN 9","B",0,0,"F","F",1,233257.620291909,5259443.06228682
8,506110,"677691934",5115,"tertiary","210th Street",,"B",0,0,"F","F",1,226591.097628543,5255691.43472163
9,170253,"18173830",5122,"residential","170th Street",,"B",0,0,"F","F",1,220166.89087852,5255698.6736348
10,173848,"18177752",5122,"residential","320th Street",,"B",0,0,"F","F",1,244406.213175344,5254023.14068394
11,174477,"18178851",5122,"residential","300th Street",,"B",0,0,"F","F",1,241173.727310781,5253668.0372438
12,173422,"18177214",5122,"residential","290th Street",,"B",0,0,"F","F",1,239486.183329255,5254163.05907279
13,174357,"18178628",5115,"tertiary","County Road 20",,"B",0,0,"F","F",1,232031.205398937,5241743.20765471
14,173918,"18177880",5122,"residential","195th Avenue",,"B",0,0,"F","F",1,245256.440788081,5242782.10285318
15,514700,"699765438",5115,"tertiary","140th Avenue North","CR 108","B",0,0,"F","F",1,237388.547839796,5216475.70305781
16,174197,"18178367",5142,"track","320th Avenue",,"B",0,0,"F","F",1,247157.446444742,5262944.14254198
17,173531,"18177332",5113,"primary","250th Street","MN 9","B",0,0,"F","F",1,233619.674634778,5266684.62248418
18,346519,"158444081",5122,"residential","280th Avenue",,"B",0,0,"F","F",1,242331.147027882,5256652.24081888
19,172075,"18175772",5141,"service",,,"B",0,0,"F","F",1,251895.28475954,5263969.84413054
20,493649,"640377052",5115,"tertiary","140th Avenue North","CR 108","B",0,0,"F","F",1,231595.650347973,5216730.68471961
21,69173,"18051189",5115,"tertiary","County Highway 35","CR 35","B",0,0,"F","F",1,315026.650456494,5251475.49185597
22,67991,"18049561",5122,"residential","280th Street",,"B",0,0,"F","F",1,316579.889591002,5253817.98391414
23,173531,"18177332",5113,"primary","250th Street","MN 9","B",0,0,"F","F",1,233372.115162665,5261843.30811265
24,346528,"158448360",5142,"track","Agassiz Central Trail",,"B",0,0,"F","F",1,232433.74712846,5260293.57069289
25,145722,"18146100",5114,"secondary","State Highway 113","MN 113","B",0,0,"F","F",1,274850.560827951,5229519.77762266
26,174021,"18178055",5114,"secondary","Veterans Memorial Highway","MN 200","B",0,0,"F","F",1,224154.693721975,5244504.41689258
27,303051,"99182883",5121,"unclassified","170th Avenue North",,"B",0,0,"F","F",1,217573.457592261,5222252.5298996
