cat,a_cat,b_cat,to_x,to_y
1,839,1,276044.948234841,5232713.44513161
2,1516,1,247708.364982272,5245092.43646611
3,431,1,219959.09435947,5250339.3377071
4,1021,1,217824.017115903,5244771.30564105
5,1467,1,211919.196838344,5224095.71111132
6,995,1,214202.61688628,5265945.60223608
7,1761,1,233257.620291909,5259443.06228682
8,1802,1,214989.821136662,5259440.07659545
9,1184,1,221138.104281444,5255935.64995289
10,1249,1,220166.89087852,5255698.6736348
11,978,1,244406.213175344,5254023.14068394
12,976,1,241173.727310781,5253668.0372438
13,2046,1,239486.183329255,5254163.05907279
14,306,1,232031.204591464,5241743.18767094
15,1280,1,245256.440788081,5242782.10285318
16,1280,1,247218.058400671,5242709.89433701
17,2494,1,210561.630386595,5227323.52824089
18,14,1,234182.805524169,5218214.07263334
19,1388,1,252855.505909464,5243652.18558549
20,353,1,247162.789914823,5263051.20473245
21,421,1,233620.205715091,5266684.59688526
22,1127,1,251895.28475954,5263969.84413054
23,1950,1,216269.805463764,5257769.98276024
24,310,1,315026.440208084,5251474.1174039
25,2758,1,316566.964544982,5253803.50787306
26,2020,1,234987.676028826,5261792.84241563
27,348,1,274850.379817393,5229518.03669783
28,923,1,224226.877895498,5246073.65008247
29,201,1,216968.626086356,5227117.13128107
30,201,1,216890.117367128,5225505.33210893
31,1196,1,320229.409572684,5257778.46164713
32,745,1,224046.87697198,5242907.97816204
33,1716,1,224078.261356947,5243696.73381627
34,759,1,213124.941055829,5247390.25940034
35,1296,1,220218.084265573,5230204.61787212
36,371,1,240012.788334559,5221191.44659826
37,351,1,226470.092534589,5225106.46415181
38,1104,1,215836.846538814,5267492.47618247
39,1776,1,225283.478560357,5234855.94239044
40,558,1,226837.033638165,5233621.19161043
41,815,1,227936.084180363,5233411.87448171
42,1080,1,228831.402297384,5233041.04164857
43,375,1,253323.025252012,5211772.0058002
44,260,1,252858.281160102,5212602.42835362
45,204,1,254791.417119545,5214129.1512731
46,258,1,253989.592506622,5209329.698968
47,426,1,241277.968507602,5256697.40076888
48,597,1,247937.254409797,5262516.21313496
49,1200,1,240130.68966509,5230887.01511954
50,1863,1,231684.042465572,5233697.21599994
51,1780,1,230008.319612922,5232458.30742462
52,1749,1,229419.79097485,5231396.3320057
53,1780,1,229924.830901203,5230563.84365429
54,3275,1,221766.757130342,5226894.59668263
55,218,1,223415.209620418,5228433.16092484
56,1296,1,217225.707237317,5230338.93205088
57,1303,1,217405.218651652,5229387.21884908
58,3275,1,217564.419626526,5227105.8896025
59,2242,1,217709.843662635,5225480.3819549
60,1692,1,220644.199421577,5265648.64082181
61,1883,1,223950.57717076,5267116.03750418
62,3275,1,241203.729645668,5225982.68856534
63,2240,1,318773.895333354,5257258.79296818
64,351,1,226318.007012451,5221868.70878484
65,78,1,231093.270622961,5221613.53429911
66,218,1,223283.63131969,5225220.34565601
67,1297,1,225075.885468505,5229984.29796522
68,1776,1,225182.417494386,5232744.48625596
69,774,1,247708.364982272,5245092.43646611
70,667,1,220773.545886938,5251907.91677787
71,516,1,216214.41548919,5244830.38707265
72,1505,1,219430.576927415,5244700.59126304
73,1960,1,211919.196838344,5224095.71111132
74,1688,1,212042.419533479,5224092.80933698
75,1238,1,212584.428983405,5266025.4490069
76,2020,1,234875.60962349,5259374.78598743
77,421,1,233257.620291909,5259443.06228682
78,995,1,213963.169350978,5261114.57372771
79,1810,1,216312.906313981,5259382.28275775
80,1886,1,221764.228219467,5255910.47343082
81,1003,1,220166.89087852,5255698.6736348
82,1712,1,220166.89087852,5255698.6736348
83,977,1,244406.213175344,5254023.14068394
84,2016,1,239486.183329255,5254163.05907279
85,711,1,238280.118498124,5253586.46299815
86,421,1,234500.428436675,5251261.73026186
87,1307,1,231308.895904754,5252265.36734346
88,1314,1,232031.204591464,5241743.18767094
89,1745,1,245256.440788081,5242782.10285318
90,1288,1,247218.057627657,5242709.87432651
91,1519,1,230431.982221552,5237795.19090812
92,908,1,231823.193338849,5236934.76896291
93,421,1,235043.575904382,5236782.90345257
94,3007,1,210928.14458929,5222527.00355667
95,3275,1,210347.021840562,5227342.97701163
96,1688,1,212013.659513871,5227309.48392481
97,2235,1,234198.235666552,5218212.98350809
98,199,1,237388.714609121,5216478.03201799
99,2770,1,237388.714609121,5216478.03201799
100,264,1,225603.217936696,5241240.72230601
101,926,1,222491.184855829,5243966.90812873
102,1863,1,231423.516155342,5228894.36964577
103,5,1,221282.072165377,5228545.10711454
104,2484,1,230937.189058342,5217328.85343888
105,1761,1,233620.205715091,5266684.59688526
106,1175,1,242331.175583717,5256652.23955235
107,426,1,242331.175583717,5256652.23955235
