cat,lcat,along,x,y
1,1,0,277644.321647757,5233793.52399955
2,1,1398.80890500661,276508.234965962,5233142.27329722
3,1,2797.61781001322,275350.973536576,5232740.203466
4,2,0,274852.724358111,5229540.68273735
5,2,69.0871308013212,274826.62413815,5229499.12275698
6,2,138.174261602642,274758.113645285,5229506.60563311
7,2,0,274852.724758109,5229540.68273735
8,2,943.871033489285,275446.809038598,5230106.29558032
9,2,1887.74206697857,276203.034541988,5230280.061032
10,3,0,232844.806096183,5241708.02435585
11,3,1019.04048177121,231826.8351135,5241754.40972892
12,3,2038.08096354242,230809.431325657,5241812.14218055
13,4,0,230015.659115872,5241060.08648434
14,4,11001.1846327729,220653.558256944,5245578.89564006
15,4,22002.3692655458,210432.544048521,5247303.43882984
16,5,0,225049.166486846,5229186.31712285
17,5,2639.31863679487,225156.227926158,5231823.41199045
18,5,5278.63727358974,224278.66721062,5233819.89734794
19,6,0,247338.593636256,5243476.02632047
20,6,1449.20100442924,246635.724532785,5242718.56512466
21,6,2898.40200885848,245215.115049711,5242735.78333143
22,7,0,247745.796303714,5246320.23899869
23,7,710.345639541109,247724.594519566,5245610.20996841
24,7,1420.69127908222,247570.027374023,5244963.78371826
25,8,0,238239.719874211,5214743.11440824
26,8,15979.9560874724,226480.079127994,5221691.11536773
27,8,31959.9121749448,218231.392700911,5233317.66571602
28,9,0,241571.596672428,5224471.70830061
29,9,13385.4774648058,231201.340078568,5229036.97686322
30,9,26770.9549296117,224609.010160174,5234776.15037403
31,10,0,219859.120003617,5247933.08795771
32,10,2506.25859875046,219962.673337523,5250437.17133606
33,10,5012.51719750092,221014.446579638,5251895.36667862
34,11,0,243568.679183514,5233170.37205856
35,11,7770.85692890068,235810.146484394,5233516.05835222
36,11,15541.7138578014,229273.786970186,5232539.43274846
37,12,0,242579.199633567,5229636.66358936
38,12,3096.7114309765,240157.463249933,5230734.58564964
39,12,6193.422861953,237214.619023314,5231064.39650823
40,13,0,237214.619023314,5231064.39650823
41,13,4094.2614851793,234741.552858371,5232751.84244405
42,13,8188.52297035861,231176.876329354,5233454.30226059
43,14,0,221023.488739235,5244623.77220997
44,14,2993.68662118395,218033.030403167,5244762.50906073
45,14,5987.37324236789,215042.157645881,5244890.32038049
46,15,0,241694.145449454,5236473.0535104
47,15,5224.52133632757,236475.632905211,5236710.81718497
48,15,10449.0426726551,231256.985959087,5236955.90092892
49,16,0,231256.985959087,5236955.90092892
50,16,2466.80284555499,229821.368876588,5237836.24832595
51,16,4933.60569110997,228645.732221877,5238958.84661095
52,17,0,224029.342627531,5242612.88172465
53,17,2637.66298127579,224189.20621985,5245244.20896089
54,17,5275.32596255159,224466.752614804,5247794.10291321
55,18,0,230500.439993261,5243437.65959929
56,18,3877.95864257185,226626.470568985,5243609.99198421
57,18,7755.9172851437,222750.687763828,5243739.54808221
58,19,0,224172.231661719,5245304.92008301
59,19,1692.69782490328,222481.169504914,5245379.18819625
60,19,3385.39564980657,220790.336513049,5245458.59322262
61,20,0,243324.830930857,5229137.1482186
62,20,6447.47111439928,236883.32831029,5229412.3113624
63,20,12894.9422287986,230487.216617381,5229844.17838055
64,21,0,238656.427098736,5227719.59985192
65,21,8695.11414760395,229971.406376828,5228137.68890397
66,21,17390.2282952079,221285.432480092,5228535.47245746
67,22,0,240622.247728182,5221187.64096375
68,22,10353.1814878454,233626.857681019,5224724.93952431
69,22,20706.3629756909,223287.186528134,5225216.78370061
70,23,0,240620.908727869,5221162.52736038
71,23,7148.06519451617,233481.713330569,5221495.07012056
72,23,14296.1303890323,226342.838517501,5221841.33792959
73,24,0,237523.410504596,5219704.51008037
74,24,803.305692381797,237556.635445159,5220507.11428065
75,24,1606.61138476359,237592.972622497,5221309.52799598
76,25,0,223289.075728377,5225214.88340034
77,25,6830.26568505885,216477.224954682,5225519.7762656
78,25,13660.5313701177,209718.686716225,5225566.79323068
79,26,0,260722.431780803,5210705.92455326
80,26,750.96885596438,259972.050524936,5210735.6255535
81,26,1501.93771192876,259221.518378701,5210760.88456739
82,27,0,241203.178230788,5225980.06420521
83,27,9727.64732510276,231489.472343495,5226456.17764744
84,27,19455.2946502055,221771.516035276,5226884.03853318
85,28,0,224720.589700755,5221936.63585179
86,28,7290.18258778216,217437.074884499,5222243.41080214
87,28,14580.3651755643,210390.759089628,5223018.59508466
88,29,0,214226.744129047,5227227.34722482
89,29,1671.53447677557,215896.892742862,5227159.30204052
90,29,3343.06895355114,217567.085874533,5227092.46668625
91,30,0,213947.566791832,5227240.34502829
92,30,2187.60641807769,211761.305237379,5227314.5960196
93,30,4375.21283615539,209760.314435049,5227627.11550648
94,31,0,214081.19088942,5224005.94299378
95,31,1645.43027011724,212437.251703229,5224075.39243274
96,31,3290.86054023448,210806.740952672,5224172.78663682
97,32,0,233474.675353401,5218251.24700663
98,32,2024.26190903477,231453.25948601,5218357.90755257
99,32,4048.52381806954,229431.818412179,5218464.20695784
100,33,0,237338.100958073,5215674.82813865
101,33,3181.82616026614,236663.158575012,5218098.34844846
102,33,6363.65232053229,233485.228954816,5218250.6939065
103,34,0,274565.792220019,5229653.71665361
104,34,188.117357901687,274699.382868842,5229598.37268518
105,34,376.234715803375,274852.724758109,5229540.68273735
106,35,0,217573.338345696,5222250.5136366
107,35,8909.56370569781,217244.147944349,5228635.02126265
108,35,17819.1274113956,217812.977144814,5233269.21261204
109,36,0,316588.245311776,5253827.32729014
110,36,1080.64652989245,315545.486452532,5253891.83916896
111,36,2161.29305978491,315329.576045364,5254900.09133595
112,37,0,320433.482133211,5258995.66897671
113,37,1381.17169308741,319189.394715566,5258395.78177176
114,37,2762.34338617482,318783.836110456,5257258.62844649
115,38,0,320433.482133211,5258995.66897671
116,38,6984.50463114228,317516.263724331,5255003.07224522
117,38,13969.0092622846,313132.422843508,5250228.50741341
118,39,0,318783.836110453,5257258.62854649
119,39,3612.24273030743,321937.001286869,5257633.61520055
120,39,7224.48546061485,324935.947033903,5258674.60752789
121,40,0,246795.485238673,5259745.24339244
122,40,5926.37495603081,249820.209339754,5263185.68437044
123,40,11852.7499120616,253721.027981914,5265632.86804526
124,41,0,247237.508818719,5264548.47922884
125,41,1144.01360922541,247180.482123269,5263405.88783464
126,41,2288.02721845082,247129.721894272,5262263.01282569
127,42,0,250529.857050765,5263632.93049294
128,42,150.406679199332,250615.038265134,5263756.86817513
129,42,300.813358398664,250697.986074111,5263882.33462536
130,43,0,251882.264831386,5263971.94933225
131,43,404.614369871168,252173.268641419,5263806.16949818
132,43,809.228739742336,252219.018673615,5263409.17025605
133,44,0,235203.707736376,5266608.27955802
134,44,12528.6753316763,222687.309710439,5267146.74196556
135,44,25057.3506633526,210174.667638678,5267775.69964784
136,45,0,220349.995169016,5265654.93970894
137,45,5279.31251667498,215076.720682286,5265906.56072489
138,45,10558.62503335,209807.665980836,5266195.56004099
139,46,0,220598.942592934,5264042.04849388
140,46,1654.41914775989,220645.152408484,5265695.81724646
141,46,3308.83829551978,220532.567202006,5267257.53312017
142,47,0,236677.252815237,5263341.91971754
143,47,4044.55082141164,232645.740945718,5263485.16530836
144,47,8089.10164282328,231899.095500363,5266751.37839336
145,48,0,231873.396380609,5263528.76906615
146,48,4444.52777981468,234586.179654014,5261795.8948756
147,48,8889.05555962936,239020.305817139,5261636.21867975
148,49,0,233271.312149011,5260260.92452528
149,49,1580.69691897034,231699.477482599,5260335.76765954
150,49,3161.39383794068,231766.240458195,5261915.04245253
