root,chain
1,[1]
2,[2]
3,[3]
4,[4]
5,[5]
6,[6]
7,"[7, 15]"
8,[8]
9,[9]
10,[10]
11,[11]
12,[12]
13,[13]
14,[14]
15,"[7, 15]"
16,"[16, 17]"
17,"[16, 17]"
18,[18]
19,[19]
20,[20]
21,[21]
22,[22]
23,[23]
24,"[24, 25, 26]"
25,"[24, 25, 26]"
26,"[24, 25, 26]"
27,[27]
28,[28]
29,[29]
30,[30]
31,[31]
32,[32]
33,[33]
34,[34]
35,[35]
36,[36]
37,[37]
38,[38]
39,[39]
40,[40]
41,"[41, 63, 64, 65]"
42,[42]
43,[43]
44,"[44, 45]"
45,"[44, 45]"
46,[46]
47,"[47, 48, 66, 84, 85]"
48,"[47, 48, 66, 84, 85]"
49,[49]
50,[50]
51,[51]
52,[52]
53,"[56, 53]"
54,[54]
55,[55]
56,"[56, 53]"
57,"[75, 76, 57]"
58,"[58, 59]"
59,"[58, 59]"
60,[60]
61,"[61, 62]"
62,"[61, 62]"
63,"[41, 63, 64, 65]"
64,"[41, 63, 64, 65]"
65,"[41, 63, 64, 65]"
66,"[47, 48, 66, 84, 85]"
67,"[73, 74, 68, 71, 72, 67]"
68,"[73, 74, 68, 71, 72, 67]"
69,"[69, 70]"
70,"[69, 70]"
71,"[73, 74, 68, 71, 72, 67]"
72,"[73, 74, 68, 71, 72, 67]"
73,"[73, 74, 68, 71, 72, 67]"
74,"[73, 74, 68, 71, 72, 67]"
75,"[75, 76, 57]"
76,"[75, 76, 57]"
77,"[78, 79, 77]"
78,"[78, 79, 77]"
79,"[78, 79, 77]"
80,"[80, 81]"
81,"[80, 81]"
82,"[82, 83]"
83,"[82, 83]"
84,"[47, 48, 66, 84, 85]"
85,"[47, 48, 66, 84, 85]"
