cat,lcat,along,elev
1,1,0,
2,1,49.7616078301298,
3,2,0,
4,2,49.6616710021853,
5,3,0,
6,3,23.3098575003464,
7,4,0,
8,4,33.123499623649,
9,5,0,
10,5,49.6691821383446,
11,6,0,
12,6,49.6590016193596,
13,7,0,
14,7,56.3529908115271,
15,8,0,
16,8,49.9253251093436,
17,9,0,
18,9,49.6793734207331,
19,10,0,
20,10,49.6539454202464,
21,11,0,
22,11,49.7062192024876,
23,12,0,
24,12,50.8483760791258,
25,13,0,
26,13,49.670361844324,
27,14,0,
28,14,50.2116415389397,
29,15,0,
30,15,49.6684993382056,
31,16,0,
32,16,49.6401443637389,
33,17,0,
34,17,49.6647386523653,
35,18,0,
36,18,49.6546369453533,
37,19,0,
38,19,49.6940516132715,
39,20,0,
40,20,49.6552024024374,
41,21,0,
42,21,49.6523519067902,
43,22,0,
44,22,49.6575724519094,
45,23,0,
46,23,49.6751010038963,
47,24,0,
48,24,49.6507810704504,
49,25,0,
50,25,49.6357615590254,
51,26,0,
52,26,49.6467929113986,
53,27,0,
54,27,49.6555799040185,
55,28,0,
56,28,49.6231751978308,
57,29,0,
58,29,49.7580893479086,
59,30,0,
60,30,27.2143266845796,
61,31,0,
62,31,49.8672044640657,
63,32,0,
64,32,49.7515473448776,
65,33,0,
66,33,49.7696157373603,
67,34,0,
68,34,50.0977001759874,
69,35,0,
70,35,49.7229329701017,
71,36,0,
72,36,49.6540436319046,
73,37,0,
74,37,49.8152523443313,
75,38,0,
76,38,49.6662948077551,
77,39,0,
78,39,49.6621778532939,
79,40,0,
80,40,49.6618582804086,
81,41,0,
82,41,49.7000457991315,
83,42,0,
84,42,49.6819720079709,
85,43,0,
86,43,49.6809317322007,
87,44,0,
88,44,49.6683419852134,
89,45,0,
90,45,56.1437036045545,
91,46,0,278.1373
92,46,49.7160373945733,278.4135
93,47,0,
94,47,49.9029620726153,
95,48,0,
96,48,49.7355128183621,
97,49,0,
98,49,55.6931587901013,
99,50,0,
100,50,49.6849065791168,
101,51,0,
102,51,49.701723033777,
103,52,0,
104,52,49.6581433032254,
105,53,0,
106,53,49.6774939935497,
107,54,0,
108,54,49.6629470123477,
109,55,0,
110,55,49.7495593390902,
111,56,0,
112,56,49.6602207857569,
113,57,0,
114,57,49.6731950023246,
115,58,0,
116,58,49.6575781821088,
117,59,0,
118,59,49.6775243167891,
119,60,0,
120,60,49.6668921567351,
121,61,0,
122,61,52.3891884789973,
123,62,0,
124,62,49.7212751621321,
125,63,0,
126,63,49.6702532400145,
127,64,0,
128,64,49.7726871033632,
129,65,0,
130,65,50.7273034355133,
131,66,0,
