cat,lcat,along,elev
1,1,0,
2,1,0.995232156602596,
3,1,1.99046431320519,
4,1,2.98569646980779,
5,1,3.98092862641038,
6,1,4.97616078301298,
7,1,5.97139293961558,
8,1,6.96662509621817,
9,1,7.96185725282077,
10,1,8.95708940942336,
11,1,9.95232156602596,
12,1,10.9475537226286,
13,1,11.9427858792312,
14,1,12.9380180358337,
15,1,13.9332501924363,
16,1,14.9284823490389,
17,1,15.9237145056415,
18,1,16.9189466622441,
19,1,17.9141788188467,
20,1,18.9094109754493,
21,1,19.9046431320519,
22,1,20.8998752886545,
23,1,21.8951074452571,
24,1,22.8903396018597,
25,1,23.8855717584623,
26,1,24.8808039150649,
27,1,25.8760360716675,
28,1,26.8712682282701,
29,1,27.8665003848727,
30,1,28.8617325414753,
31,1,29.8569646980779,
32,1,30.8521968546805,
33,1,31.8474290112831,
34,1,32.8426611678857,
35,1,33.8378933244883,
36,1,34.8331254810909,
37,1,35.8283576376935,
38,1,36.823589794296,
39,1,37.8188219508986,
40,1,38.8140541075012,
41,1,39.8092862641038,
42,1,40.8045184207064,
43,1,41.799750577309,
44,1,42.7949827339116,
45,1,43.7902148905142,
46,1,44.7854470471168,
47,1,45.7806792037194,
48,1,46.775911360322,
49,1,47.7711435169246,
50,1,48.7663756735272,
51,1,49.7616078301298,
52,2,0,
53,2,0.993233420043707,
54,2,1.98646684008741,
55,2,2.97970026013112,
56,2,3.97293368017483,
57,2,4.96616710021853,
58,2,5.95940052026224,
59,2,6.95263394030595,
60,2,7.94586736034965,
61,2,8.93910078039336,
62,2,9.93233420043707,
63,2,10.9255676204808,
64,2,11.9188010405245,
65,2,12.9120344605682,
66,2,13.9052678806119,
67,2,14.8985013006556,
68,2,15.8917347206993,
69,2,16.884968140743,
70,2,17.8782015607867,
71,2,18.8714349808304,
72,2,19.8646684008741,
73,2,20.8579018209178,
74,2,21.8511352409616,
75,2,22.8443686610053,
76,2,23.837602081049,
77,2,24.8308355010927,
78,2,25.8240689211364,
79,2,26.8173023411801,
80,2,27.8105357612238,
81,2,28.8037691812675,
82,2,29.7970026013112,
83,2,30.7902360213549,
84,2,31.7834694413986,
85,2,32.7767028614423,
86,2,33.769936281486,
87,2,34.7631697015297,
88,2,35.7564031215734,
89,2,36.7496365416171,
90,2,37.7428699616609,
91,2,38.7361033817046,
92,2,39.7293368017483,
93,2,40.722570221792,
94,2,41.7158036418357,
95,2,42.7090370618794,
96,2,43.7022704819231,
97,2,44.6955039019668,
98,2,45.6887373220105,
99,2,46.6819707420542,
100,2,47.6752041620979,
101,2,48.6684375821416,
102,2,49.6616710021853,
103,3,0,
104,3,0.971244062514434,
105,3,1.94248812502887,
106,3,2.9137321875433,
107,3,3.88497625005773,
108,3,4.85622031257217,
109,3,5.8274643750866,
110,3,6.79870843760103,
111,3,7.76995250011547,
112,3,8.7411965626299,
113,3,9.71244062514434,
114,3,10.6836846876588,
115,3,11.6549287501732,
116,3,12.6261728126876,
117,3,13.5974168752021,
118,3,14.5686609377165,
119,3,15.5399050002309,
120,3,16.5111490627454,
121,3,17.4823931252598,
122,3,18.4536371877742,
123,3,19.4248812502887,
124,3,20.3961253128031,
125,3,21.3673693753175,
126,3,22.338613437832,
127,3,23.3098575003464,
128,4,0,
