from_cat,dist,cat
4,0.004228778248031,12
6,0.00485366351725564,125
7,0.000677519517423195,10
9,0.000979784037435531,6
10,0.001801945748803,243
11,0.911259087999873,11
11,0.00515474251023123,154
11,0.910741965329397,167
11,0.00697185783194692,210
13,0.00204250623753655,161
13,0,162
26,0.185169497300668,104
29,0.00247810591864232,300
30,0.0031570801940938,130
33,9.13795965035925e-005,285
36,0.00259204832547362,37
37,0.000882849988154414,288
38,0.00182353577059366,183
39,0.00474119558707829,40
41,0.000149400195918742,44
42,0.000863514513294773,126
43,0.00486813537546447,176
44,0.00156454715666433,200
46,0.0036833692753569,134
47,0.00052045549880895,48
48,0.00105639363898362,49
49,0.00116545017276338,235
50,0.00535586462030834,35
52,0,109
64,0.00473118510299051,252
66,0,113
66,0.15989190597459,171
66,0.546822983967616,172
68,0.00286306392303029,69
69,9.03245001695203e-005,170
72,0.00369044954778152,97
74,0.0242352066190596,111
74,0,112
78,0.211713249661991,157
82,0.00368342977113286,81
82,0,83
84,0.00230483781574704,149
87,0,88
87,7.60715068813679e-006,91
88,0.00139654520563442,74
88,0,89
88,0,90
88,0,92
89,0.0242352066190596,111
89,0,112
90,7.60715068813679e-006,88
90,0,91
91,0.00139654520563442,74
91,0,89
91,0,90
91,0,92
92,0.0242352066190596,111
92,0,112
93,0.883011304504723,240
94,5.16084184656653e-005,24
94,0,198
95,0.00091679616447105,104
100,0.383360136720106,141
100,0.0432769422867207,142
100,0,143
100,0.0428685238178253,144
102,0.763120049659433,109
103,0,17
106,0.403578868135714,278
106,0.000770256263044821,279
108,0.00111846061424441,57
108,0,80
109,0.666703223669192,102
110,0.0090800134833123,111
110,0.0241300796550474,112
112,0.00139654520563442,74
112,0,89
112,0,90
112,0,92
113,0.519123117869144,113
113,0.543389278723045,171
113,0.13509458366752,172
114,0.120374282776276,114
114,0.119933662035831,115
114,0.00227217088960755,150
115,0.124615263658084,114
115,0.101440238551796,115
115,0.038792037991,150
116,0.00275917893619828,186
120,0.00201632107381546,208
120,0,209
121,0.969426667233075,120
121,0,207
123,0.00241990398365053,191
125,0.00211615552309033,239
126,0.00172604643830378,43
128,0.00130297489433573,184
129,0,130
131,0.0053831238914404,196
131,0,201
131,0.0053831238914404,277
134,0.0026517864715693,253
137,0.00297509769900658,136
137,0,138
138,0.00419815808636415,274
140,0.997689367060222,202
140,0.997733977683315,255
141,0.385874722535245,141
141,0,142
141,0.0432769422867207,143
141,0.000463378949523981,144
143,0.385611854343201,141
143,0.000463378949523981,142
143,0.0428685238178253,143
143,0,144
145,0.00474544214214165,54
145,0,182
148,0,149
150,0,151
150,0.000127993200112134,153
151,0.0102146969050058,93
152,0.000127993200112134,151
152,0,153
153,0.00438072414559182,93
154,0.907809181653237,154
154,0.911491580242715,210
157,0.00314317640784151,169
157,0.225731375796607,222
158,0.0026637355666716,51
158,0,159
160,0.590211651597485,13
160,0,185
161,0,240
162,0.882483657080829,240
163,0,85
163,0.00430938175877732,86
164,0.002575723752975,163
164,0,165
166,0.0799180133640248,128
166,0.0799180133640248,248
166,0.0799109295090182,249
167,0.91487770969873,11
167,0.00660146401590051,154
167,0.907809181769522,167
167,0.00445350408645381,210
168,0.000515483780934221,135
168,0,145
171,0.542511340325409,113
171,0.526283726241401,171
171,0.00450986205181013,172
174,0.00072270693245523,234
175,0.00250779970532962,251
178,0.000906432560336803,7
179,0.00356443096680526,273
182,0.00194136996947626,55
182,0,146
183,0.457888618704539,179
183,0.0031977694905462,241
184,0.00406916553200212,238
185,0,161
185,0.00204250623753655,162
186,0.000209444204609825,38
189,0.00463364693927971,259
190,0,191
191,0,123
191,0.00478610471901194,124
194,0.00162915807426841,280
195,0.00364627050143743,190
196,0.00170684425137514,27
196,0,197
198,0.00250879633611382,23
198,0,283
199,0.00256965696282025,166
200,0.00118598584077211,42
201,0.000407680143237901,28
202,0.000407680143237901,28
203,0,163
203,0.002575723752975,165
206,0.00191828750158165,15
207,0,208
207,0.00201632107381546,209
210,0.914239347586103,154
210,0.910873700533689,210
213,0.00440124083521268,212
213,0,214
218,0.00095535266103829,63
218,0,268
222,0.0013717705182884,221
222,0,223
224,0.00459563863825833,99
224,0,100
228,0.00280167700016736,121
228,0,229
229,0.00397581141164658,246
230,0,117
230,0.0050798618786141,118
234,0.00374898773510698,36
235,0.48461261648269,45
235,0.00413714123270419,236
236,0.00277882019675031,46
238,0.00241418260170122,173
239,0.00408719438233181,178
240,0.00956164530549633,93
241,0.00366987740982523,41
244,0.000861011564506985,224
244,0.608255348738844,225
246,0,192
246,0.00215296572847754,193
247,0.0050798618786141,117
247,0,118
248,0.0766691954581512,128
248,0.0766691954581512,248
248,0.0766621855176669,249
249,0.0799180133640248,128
249,0.0799180133640248,248
249,0.0799109295090182,249
250,0,251
253,0.0708536237566806,114
253,0,115
253,0.121817518655601,150
258,0.00994901078616713,276
261,0.00356057029694924,260
261,0,262
264,0.00131197265244526,102
268,0.00496037139714812,267
268,0,269
269,0.00515798859625876,61
269,0,237
270,0.00358762532334891,64
270,0,281
271,0.00250199928373849,78
271,0,272
273,0.000685117152461318,39
275,0.393675164088133,156
276,0.00884936204937127,292
279,0.00112846923495734,156
280,0.00445745448808324,4
281,0,282
281,0.00401385335218489,284
283,0.00401385335218489,282
283,0,284
284,0,264
284,0.00213475723030856,265
286,0,285
288,0.00452426397015839,116
292,0.00283839393751622,174
295,0,296
295,0.00376476630072457,297
299,0,300
