cat,lcat,along
1,1,10301.4021665796
2,2,2131.30943022387
3,3,4991.73324434362
4,4,851.20565093953
5,5,317.873050383737
6,6,1570.01966432528
7,7,507.124875334207
8,10,2152.75067288021
9,12,30.4378281140323
10,15,2337.74274024895
11,17,0.911259087999873
12,18,121.709858514451
13,19,1.34149460556776
14,20,13862.4078631919
15,21,3666.71944259262
16,22,1612.59085927517
17,26,1275.0601220629
18,27,7600.24707230443
19,28,3469.39088147631
20,29,3445.15152645948
21,30,4377.86405288122
22,31,4312.22601521512
23,32,6382.63440182483
24,33,8049.44499360408
25,34,1867.46688579009
26,35,2968.70936653857
27,36,5923.32242190595
28,37,2496.73285611098
29,38,978.51318987154
30,39,4722.16647900019
31,40,2353.9053376764
32,41,11.4618473591535
33,42,9098.64562871281
34,43,12098.0335937283
35,45,819.261596477952
36,47,2556.89850052779
37,48,355.457433252273
38,49,646.447671554106
39,51,1966.69495068117
40,52,425.658284739966
41,53,1549.40648744253
42,54,1224.99107987111
43,55,2416.21407961012
44,57,23.8810157454358
45,58,1594.02948656908
46,59,1372.44838320102
47,61,1591.06098404192
48,62,1614.656785849
49,63,1570.3857519517
50,64,15193.9568602842
51,65,1439.82946214129
52,66,4012.5496707194
53,67,1804.65614776444
54,68,379.91138316622
55,69,684.617654115992
56,70,1411.47655114332
57,71,4948.53092490464
58,72,258.476825351929
59,73,1047.93942379096
60,74,2025.77590810067
61,75,542.121240831321
62,76,1925.09775288958
63,77,2275.84837992757
64,78,3283.26195928419
65,80,8082.63996550704
66,81,4228.28513048492
67,82,9948.69083521595
68,83,1335.10660170703
69,84,1548.2708259835
70,85,6801.34082529339
71,86,144.452992082788
72,87,246.313881730206
73,88,900.289470491248
74,89,15093.0297840516
75,90,10901.6650304564
76,91,8182.87662231884
77,92,13894.862627496
78,93,4137.02808239252
79,98,4507.12546632418
80,101,1031.77340917212
81,105,1782.32041831058
82,106,4335.46208079184
83,107,1514.87052777466
84,109,5993.26445376896
85,110,8490.78725775849
86,112,2522.09831928885
87,113,803.947294776429
88,115,3.49572336426127
89,116,15093.1303187517
90,117,3.49573086012669
91,118,7.620000262113
92,119,15093.0232412689
93,120,2.45458236818435
94,123,2461.21194850361
95,126,5687.60690034021
96,129,3648.49576106297
97,133,2451.02799075567
98,138,3055.93467064721
99,140,45.3901893405006
100,141,1477.81685046394
101,143,5239.03433411728
102,145,13.3625527162535
103,146,410.30145995066
104,148,1181.58681839834
105,154,13.3447742340442
106,156,4763.63368713744
107,159,4581.26318596867
108,167,7011.75636259169
109,169,13.3631280889026
110,172,6122.07046531307
111,173,803.696404708746
112,175,15093.028707512
113,182,0.519123117869144
114,185,0.120374282776276
115,186,0.101440238551796
116,189,978.882902503416
117,191,4603.12104196278
118,192,1493.91558478505
119,197,4782.12236888887
120,198,1.40929060030398
121,199,683.615955947465
122,201,10549.3421850709
123,202,58.8218951363256
124,204,7001.92704557939
125,214,822.795391385714
126,215,39.5819478061461
127,223,3635.14285617183
128,229,2024.64092148874
129,247,8023.25709820909
130,248,1782.67175276728
131,251,7618.7744439153
132,255,986.437578757904
133,258,6221.23194236791
134,260,237.391993090469
135,263,1562.47540864769
136,266,2046.88752217061
137,267,3662.1504146557
138,268,3108.2522299846
139,271,175.201936281024
140,274,3635.11033868084
141,275,0.385874722535245
142,276,44.0435438320168
143,277,0.0428685238178253
144,278,9474.50419305682
145,281,3546.771898969
146,282,194.363268196376
147,284,10205.6262097698
148,285,9174.07166270948
149,286,3237.0632369081
150,291,693.76137033143
151,292,70.4748555973909
152,293,6427.78016907311
153,294,71.4023257854318
154,297,0.907809181653237
155,299,1121.28651752347
156,300,2901.18116113062
157,302,9.99719099912385
158,305,2564.13840737614
159,306,1527.97831227435
160,309,308.863984852738
161,310,5.95175197048565
162,311,5.96886748386442
163,312,4990.27942666106
164,313,1.00800056741145
165,314,1966.90428608057
166,317,592.146951543092
167,319,0.907809181769522
