from_cat,to_x,to_y,cat
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,214068.280103642,5195067.58486805,1
1,214068.280103643,5195067.58486805,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,214068.280103643,5195067.58486805,1
1,214068.280103643,5195067.58486805,1
1,214068.280103642,5195067.58486805,1
1,214068.280103642,5195067.58486805,1
1,214068.280103643,5195067.58486805,1
1,214068.2833,5195067.5848,1
1,214068.280103642,5195067.58486805,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
1,212771.962948643,5195519.9698991,1
2,235624.199812284,5213322.915877,2
2,235624.199812284,5213322.915877,2
2,235624.199812284,5213322.915877,2
2,235624.199812284,5213322.915877,2
2,235624.199812284,5213322.915877,2
2,235624.2037,5213322.9157,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,235624.199812284,5213322.915877,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,235624.199812284,5213322.915877,2
2,235624.199812284,5213322.915877,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
2,215207.5108,5215892.7807,2
