cat,len
1,10301.402167
2,2131.30943
3,4991.733244
4,851.205651
5,317.87305
6,1570.019664
7,507.124875
10,2152.750673
12,30.437828
15,2337.74274
17,0.911259
18,121.709859
19,1.341495
20,13862.407863
21,3666.719443
22,1612.590859
26,1275.060122
27,7600.247072
28,3469.390881
29,3445.151526
30,4377.864053
31,4312.226015
32,6382.634402
33,8049.444994
34,1867.466886
35,2968.709367
36,5923.322422
37,2496.732856
38,978.51319
39,4722.166479
40,2353.905338
41,11.461847
42,9098.645629
43,12098.033594
45,819.261596
47,2556.898501
48,355.457433
49,646.447672
51,1966.694951
52,425.658285
53,1549.406487
54,1224.99108
55,2416.21408
57,23.881016
58,1594.029487
59,1372.448383
61,1591.060984
62,1614.656786
63,1570.385752
64,15193.95686
65,1439.829462
66,4012.549671
67,1804.656148
68,379.911383
69,684.617654
70,1411.476551
71,4948.530925
72,258.476825
73,1047.939424
74,2025.775908
75,542.121241
76,1925.097753
77,2275.84838
78,3283.261959
80,8082.639966
81,4228.28513
82,9948.690835
83,1335.106602
84,1548.270826
85,6801.340825
86,144.452992
87,246.313882
88,900.28947
89,15093.029784
90,10901.66503
91,8182.876622
92,13894.862627
93,4137.028082
98,4507.125466
101,1031.773409
105,1782.320418
106,4335.462081
107,1514.870528
109,5993.264454
110,8490.787258
112,2522.098319
113,803.947295
115,3.495723
116,15093.130319
117,3.495731
118,7.62
119,15093.023241
120,2.454582
123,2461.211949
126,5687.6069
129,3648.495761
133,2451.027991
138,3055.934671
140,45.390189
141,1477.81685
143,5239.034334
145,13.362553
146,410.30146
148,1181.586818
154,13.344774
156,4763.633687
159,4581.263186
167,7011.756363
169,13.363128
172,6122.070465
173,803.696405
175,15093.028708
182,0.519123
185,0.120374
186,0.10144
189,978.882903
191,4603.121042
192,1493.915585
197,4782.122369
198,1.409291
199,683.615956
201,10549.342185
202,58.821895
204,7001.927046
214,822.795391
215,39.581948
223,3635.142856
229,2024.640921
247,8023.257098
248,1782.671753
251,7618.774444
255,986.437579
258,6221.231942
260,237.391993
263,1562.475409
266,2046.887522
267,3662.150415
268,3108.25223
271,175.201936
274,3635.110339
275,0.385875
276,44.043544
277,0.042869
278,9474.504193
281,3546.771899
282,194.363268
284,10205.62621
285,9174.071663
286,3237.063237
291,693.76137
292,70.474856
293,6427.780169
294,71.402326
297,0.907809
299,1121.286518
300,2901.181161
302,9.997191
305,2564.138407
306,1527.978312
309,308.863985
310,5.951752
311,5.968867
312,4990.279427
313,1.008001
314,1966.904286
317,592.146952
319,0.907809
324,497.267735
328,1606.189702
339,301.109802
340,0.526284
341,2678.561984
344,702.226981
347,307.010023
349,3047.282573
351,821.485502
356,98.402266
358,23.302774
361,1574.568193
365,423.487408
367,4546.819159
369,45.624823
377,2164.887016
383,121.871434
384,1.204032
387,612.235239
393,8026.45165
398,4557.575708
400,5703.205025
403,97.601269
404,58.824315
406,3134.433837
408,5287.49893
410,606.068996
412,830.831816
414,1999.241407
415,730.906059
416,2313.346183
417,293.320778
419,1565.225968
420,4924.620747
421,611.612384
426,5270.666647
428,1579.548615
432,7225.195433
434,1157.984277
436,1.020994
437,2667.739976
438,688.379813
444,0.910874
451,2289.766703
454,1464.485038
455,3837.875749
456,4772.184051
458,2133.301139
464,1713.646276
467,10135.413488
469,2375.678976
471,10964.839911
473,2680.771542
475,3708.156633
476,30.323489
477,2023.130288
483,8037.149032
485,5092.66454
489,7102.890849
493,2196.865588
497,4178.825579
498,5636.993605
503,20844.735994
507,617.375072
509,2127.449742
510,664.673825
514,305.86942
516,1.260634
517,1601.987796
519,2553.169935
525,231.466566
527,787.35767
532,2.292181
534,73.678982
538,414.484752
539,305.949403
542,1648.642394
545,5852.588562
547,1.941777
549,1756.521896
550,0.076669
551,0.079911
553,1603.106741
554,4805.997559
557,1511.786018
559,1609.69185
562,3683.668348
564,4622.235418
566,512.507764
567,1018.377895
571,792.214204
574,785.561676
577,7674.827718
578,9306.454316
579,6252.388851
581,22084.895249
583,4107.370619
585,1517.685613
587,1614.057961
591,2089.027292
592,931.39907
593,3133.901893
594,4920.686197
596,4937.944699
597,2705.693501
600,3192.85003
602,1616.962353
605,1199.994663
607,29.154907
611,1.110699
614,8136.351725
616,1005.510356
622,160.815354
624,7870.238882
625,10300.320608
626,2225.015288
627,12246.679063
631,1659.522338
632,6413.19049
637,11622.17537
639,608.896732
643,2360.330341
648,4330.16195
652,936.825296
656,39.883709
660,13976.714558
662,60.391843
663,610.521939
664,1702.882181
666,9348.240996
668,3662.500215
672,113.97805
673,4109.799643
