cat,lcat,along,x,y
1,3,0,224260.2108,5193246.565
2,3,10301.4021665796,234309.05972344,5192545.19557351
3,6,0,210968.1306,5212830.2126
4,6,2131.30943022387,213095.520178732,5212747.50325606
5,7,0,211764.5807,5185401.9348
6,7,4991.73324434362,216748.6859,5185260.3868
7,10,0,216570.9156,5219061.7016
8,10,851.20565093953,215731.120251247,5219174.59129395
9,10,0,219804.8852,5218910.6658
10,10,317.873050383737,219487.3216,5218924.6885
11,10,0,221388.261,5218848.3682
12,10,1570.01966432528,222956.8153,5218780.5934
13,10,0,224588.611,5218706.7621
14,10,507.124875334207,225095.100123425,5218681.40233575
15,10,0,227430.2383,5218571.2618
16,10,0.001801945748803,227430.240098887,5218571.26169506
17,10,0,216731.6216,5219055.6092
18,10,0.00162915807426841,216731.619972012,5219055.60926172
19,10,0,217336.8917,5219024.5413
20,10,2152.75067288018,219487.319929067,5218924.68858369
21,10,0,219804.8852,5218910.6658
22,10,0.00463836731292598,219804.889835075,5218910.66562526
23,10,0,221357.8241,5218848.0274
24,10,30.4378281140323,221388.260020277,5218848.36818903
25,10,0,222956.8153,5218780.5934
26,10,0.00485366328467906,222956.820148367,5218780.59317332
27,10,0,224565.3259,5218707.7898
28,10,0.00408719438233181,224565.329983219,5218707.78961978
29,10,0,225095.1008,5218681.4023
30,10,2337.74274024895,227430.2383,5218571.2618
31,10,0,225390.2259,5218678.6799
32,10,0.00409068857647513,225390.229986115,5218678.67970662
33,10,0,225391.0965,5218677.7228
34,10,0.908242102102557,225391.139389349,5218678.63002887
35,10,0,215731.1161,5219174.5921
36,10,121.709858514451,215621.9812,5219218.5691
37,12,0,223828.6045,5189805.761
38,12,0.258470219647051,223828.740736148,5189805.54134899
39,13,0,231385.0752,5211894.2473
40,13,13862.4078631919,217551.2701,5212470.8243
41,17,0,224991.0219,5191370.8795
42,17,3666.71944259262,228654.6992,5191226.0586
43,19,0,239231.4677,5164932.0479
44,19,1612.59085927514,237622.809863938,5164979.71538044
45,19,0,237611.4111,5164980.7583
46,19,0.00115793170277446,237611.409942756,5164980.75833991
47,19,0,242180.8773,5164824.9325
48,19,0.00281493241112275,242180.880111798,5164824.9323672
49,19,0,242772.4476,5164796.9938
50,19,0.00256965696282025,242772.450167019,5164796.99368361
51,19,0,235991.8313,5164926.5626
52,19,1275.0601220629,237201.3522,5164994.8982
53,20,0,215313.2854,5197945.2672
54,20,7600.24707230418,218379.069156939,5191656.16924829
55,23,0,234496.2162,5196825.1874
56,23,3469.39088147631,234352.087585287,5193362.50005633
57,24,0,228399.3308,5172661.0405
58,24,3445.15152645939,231839.719179265,5172495.52291234
59,30,0,243495.8025,5127205.5871
60,30,4377.86405288113,243648.869607891,5123130.58137748
61,31,0,231720.8473,5139428.7709
62,31,4312.22601521512,227413.7932,5139623.4941
63,33,0,231589.0598,5134593.5164
64,33,6382.63440182483,237963.070053007,5134272.46160089
65,34,0,229879.8931,5133035.0064
66,34,8049.44499360408,237912.340083115,5132661.42112324
67,37,0,235249.5367,5166279.7497
68,37,1867.46688579009,234720.2622,5164488.9649
69,38,0,239293.4367,5167970.2613
70,38,2968.70936653857,237472.9315,5166596.3906
