cat,lcat,along
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,10,0
9,12,0
10,15,0
11,17,0
12,18,0
13,19,0
14,20,0
15,21,0
16,22,0
17,26,0
18,27,0
19,28,0
20,29,0
21,30,0
22,31,0
23,32,0
24,33,0
25,34,0
26,35,0
27,36,0
28,37,0
29,38,0
30,39,0
31,40,0
32,41,0
33,42,0
34,43,0
35,45,0
36,47,0
37,48,0
38,49,0
39,51,0
40,52,0
41,53,0
42,54,0
43,55,0
44,57,0
45,58,0
46,59,0
47,61,0
48,62,0
49,63,0
50,64,0
51,65,0
52,66,0
53,67,0
54,68,0
55,69,0
56,70,0
57,71,0
58,72,0
59,73,0
60,74,0
61,75,0
62,76,0
63,77,0
64,78,0
65,80,0
66,81,0
67,82,0
68,83,0
69,84,0
70,85,0
71,86,0
72,87,0
73,88,0
74,89,0
75,90,0
76,91,0
77,92,0
78,93,0
79,98,0
80,101,0
81,105,0
82,106,0
83,107,0
84,109,0
85,110,0
86,112,0
87,113,0
88,115,0
89,116,0
90,117,0
91,118,0
92,119,0
93,120,0
94,123,0
95,126,0
96,129,0
97,133,0
98,138,0
99,140,0
100,141,0
101,143,0
102,145,0
103,146,0
104,148,0
105,154,0
106,156,0
107,159,0
108,167,0
109,169,0
110,172,0
111,173,0
112,175,0
113,182,0
114,185,0
115,186,0
116,189,0
117,191,0
118,192,0
119,197,0
120,198,0
121,199,0
122,201,0
123,202,0
124,204,0
125,214,0
126,215,0
127,223,0
128,229,0
129,247,0
130,248,0
131,251,0
132,255,0
133,258,0
134,260,0
135,263,0
136,266,0
137,267,0
138,268,0
139,271,0
140,274,0
141,275,0
142,276,0
143,277,0
144,278,0
145,281,0
146,282,0
147,284,0
148,285,0
149,286,0
150,291,0
151,292,0
152,293,0
153,294,0
154,297,0
155,299,0
156,300,0
157,302,0
158,305,0
159,306,0
160,309,0
161,310,0
162,311,0
163,312,0
164,313,0
165,314,0
166,317,0
167,319,0
168,324,0
169,328,0
170,339,0
171,340,0
172,341,0
173,344,0
174,347,0
175,349,0
176,351,0
177,356,0
178,358,0
179,361,0
180,365,0
181,367,0
182,369,0
183,377,0
184,383,0
185,384,0
186,387,0
187,393,0
188,398,0
189,400,0
190,403,0
191,404,0
192,406,0
193,408,0
194,410,0
195,412,0
196,414,0
197,415,0
198,416,0
199,417,0
200,419,0
201,420,0
202,421,0
203,426,0
204,428,0
205,432,0
206,434,0
207,436,0
208,437,0
209,438,0
210,444,0
211,451,0
212,454,0
213,455,0
214,456,0
215,458,0
216,464,0
217,467,0
218,469,0
219,471,0
220,473,0
221,475,0
222,476,0
223,477,0
224,483,0
225,485,0
226,489,0
227,493,0
228,497,0
229,498,0
230,503,0
231,507,0
232,509,0
233,510,0
234,514,0
235,516,0
236,517,0
237,519,0
238,525,0
239,527,0
240,532,0
241,534,0
242,538,0
243,539,0
244,542,0
245,545,0
246,547,0
247,549,0
248,550,0
249,551,0
250,553,0
251,554,0
252,557,0
253,559,0
254,562,0
255,564,0
256,566,0
257,567,0
258,571,0
259,574,0
260,577,0
261,578,0
262,579,0
263,581,0
264,583,0
265,585,0
266,587,0
267,591,0
268,592,0
269,593,0
270,594,0
271,596,0
272,597,0
273,600,0
274,602,0
275,605,0
276,607,0
277,611,0
278,614,0
279,616,0
280,622,0
281,624,0
282,625,0
283,626,0
284,627,0
285,631,0
286,632,0
287,637,0
288,639,0
289,643,0
290,648,0
291,652,0
292,656,0
293,660,0
294,662,0
295,663,0
296,664,0
297,666,0
298,668,0
299,672,0
300,673,0
