cat,x,y
1,247628.004091162,5138764.4750811
2,247628.000408213,5138764.37514894
3,247626.832719935,5138714.98865786
4,247626.816731782,5138715.08737148
5,223984.068100898,5144723.77998291
6,223984.146377233,5144723.71775096
7,224014.779077494,5144685.06928372
8,224014.706234883,5144685.13779616
9,230251.565663149,5144328.71395791
10,230251.665538184,5144328.70896017
11,230301.16340745,5144326.2320914
12,230301.063532415,5144326.23708914
13,229340.542917082,5137901.40715931
14,229340.642817957,5137901.40270788
15,229390.158829904,5137900.21425204
16,229390.059001413,5137900.20839779
17,247632.184569924,5139082.64366715
18,247632.210584546,5139082.54711023
19,247641.858320408,5139034.37340223
20,247641.853215101,5139034.47327183
21,236955.948077876,5149694.1182001
22,236956.045859999,5149694.13914423
23,237004.909776384,5149702.40807581
24,237004.820960609,5149702.45402968
25,224341.841172599,5144602.38779534
26,224341.940760839,5144602.37872988
27,224390.789926274,5144598.1854882
28,224390.699866161,5144598.14202355
29,228423.943254577,5136314.59469715
30,228423.843346111,5136314.59897482
31,228374.306270548,5136313.23133384
32,228374.400620979,5136313.26446987
33,228283.452427909,5136317.60718517
34,228283.352519443,5136317.61146284
35,228234.300940295,5136324.25265325
36,228234.388386522,5136324.20414389
37,225185.836301893,5136454.91678655
38,225185.73640097,5136454.9212369
39,225136.211940372,5136456.8864122
40,225136.311753999,5136456.89251465
41,215283.119973832,5154673.1254877
42,215283.219911828,5154673.12196676
43,215382.615494959,5154671.3806289
44,215382.515540241,5154671.38363795
45,230689.668738004,5153995.23908903
46,230689.568879517,5153995.24440715
47,230665.400851349,5153996.53151551
48,230665.500709836,5153996.52619738
49,233503.290230722,5143736.13664045
50,233503.191698313,5143736.15370985
51,233479.267440286,5143738.84940093
52,233479.367437439,5143738.84864623
53,226586.599759898,5137465.63214463
54,226586.637899642,5137465.72458575
55,226597.09596309,5137491.43251317
56,226597.059442844,5137491.33942035
57,222269.176850605,5144739.37060681
58,222269.26497832,5144739.41786679
59,222290.523488222,5144749.79804538
60,222290.426926569,5144749.77204832
61,234885.438460103,5138452.63867045
62,234885.538350935,5138452.63399909
63,234924.082586872,5138478.6475286
64,234924.084875529,5138478.54755479
65,231168.819374731,5145842.93189095
66,231168.823831347,5145843.03179159
67,231170.545171459,5145894.03401154
68,231170.55168385,5145893.93422382
69,238867.792825241,5156868.66492505
70,238867.892743594,5156868.66088491
71,238918.409961858,5156866.0776734
72,238918.310830318,5156866.09082399
73,226726.507761602,5134780.46672438
74,226726.50795399,5134780.5667242
75,226727.017077808,5134816.74208463
76,226727.013187894,5134816.64216032
77,243033.491289021,5143789.37482466
78,243033.506741369,5143789.27602575
79,243038.449894961,5143737.4381795
80,243038.432177142,5143737.53659738
81,243120.334904547,5147010.52715525
82,243120.331744897,5147010.42720518
83,243109.891290202,5146955.31896708
84,243109.970294523,5146955.3802722
85,222574.630377306,5144664.25966029
86,222574.704788492,5144664.3264658
87,222607.418765114,5144701.73472197
88,222607.322549921,5144701.70747061
89,241075.807320165,5135781.96340222
90,241075.707321067,5135781.96382693
91,241034.932556596,5135783.4100104
92,241035.029336318,5135783.43518351
93,217747.362925296,5154585.92110797
94,217747.462845777,5154585.91712079
95,217803.689600605,5154584.40973908
96,217803.589779296,5154584.40376361
97,227059.898422294,5142857.07077724
98,227059.798508555,5142857.0749299
99,227008.284032847,5142858.82160983
100,227008.383032073,5142858.80749766
101,231761.204996498,5141015.2807596
102,231761.304893145,5141015.27621429
103,231812.16305271,5141013.86981501
104,231812.063283469,5141013.86302542
105,226402.664987032,5141275.34095967
106,226402.76484784,5141275.33568529
107,226456.950321217,5141271.69398562
108,226456.851455403,5141271.70900397
109,242732.741449289,5137332.52721667
110,242732.73835978,5137332.42726441
111,242731.047207416,5137281.52145865
112,242731.047405258,5137281.62134697
113,233252.549992017,5137740.92866039
114,233252.6498552,5137740.92343119
115,233274.318309656,5137785.0185423
116,233274.318781875,5137784.91854342
