from_cat,cat
1,1
2,2
3,3
4,4
5,5
6,6
7,7
7,204
8,8
8,173
9,9
10,10
11,11
14,14
14,223
15,15
16,16
17,17
18,18
18,279
18,285
19,19
19,279
19,285
20,20
20,250
21,21
22,22
23,23
24,24
25,25
27,27
28,28
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
41,473
42,42
43,43
43,303
44,44
45,45
46,46
47,47
47,412
48,48
49,49
50,50
52,52
53,53
54,54
55,55
56,56
57,57
58,58
58,59
59,58
59,59
60,60
61,61
62,62
63,63
65,65
66,66
66,545
67,67
67,348
68,68
69,69
70,70
71,71
72,72
72,194
73,73
73,207
74,74
75,75
76,76
77,77
77,585
78,78
78,571
79,79
79,612
80,80
80,611
81,81
82,82
83,83
83,582
84,84
85,85
85,107
86,86
87,87
88,88
89,89
90,90
90,323
91,91
91,355
91,359
92,92
93,93
93,506
94,94
95,95
95,189
96,96
96,202
98,98
101,101
101,103
103,101
103,103
107,85
107,107
109,109
113,113
115,115
118,118
121,121
128,128
130,130
130,132
130,134
132,130
132,132
132,134
134,130
134,132
134,134
138,138
140,140
142,142
144,144
146,146
150,150
154,154
157,157
158,158
160,160
163,163
166,166
168,168
173,8
173,173
176,176
182,182
188,188
189,95
189,189
194,72
194,194
195,195
196,196
196,201
201,196
201,201
202,96
202,202
204,7
204,204
206,206
207,73
207,207
208,208
209,209
210,210
210,215
212,212
215,210
215,215
216,216
223,14
223,223
225,225
233,233
236,236
241,241
242,242
248,248
249,249
249,251
250,20
250,250
251,249
251,251
253,253
255,255
257,257
258,258
258,259
259,258
259,259
264,264
270,270
272,272
272,317
276,276
279,18
279,19
279,279
279,285
281,281
285,18
285,19
285,279
285,285
294,294
294,356
298,298
298,300
299,299
300,298
300,300
302,302
303,43
303,303
309,309
317,272
317,317
319,319
319,354
323,90
323,323
325,325
325,326
325,327
326,325
326,326
326,327
327,325
327,326
327,327
330,330
331,331
331,333
333,331
333,333
339,339
342,342
342,344
344,342
344,344
346,346
348,67
348,348
353,353
353,387
354,319
354,354
355,91
355,355
355,359
356,294
356,356
357,357
358,358
358,360
359,91
359,355
359,359
360,358
360,360
363,363
369,369
370,370
372,372
376,376
378,378
381,381
384,384
386,386
386,402
387,353
387,387
389,389
391,391
395,395
400,400
402,386
402,402
403,403
403,505
407,407
410,410
411,411
412,47
412,412
417,417
422,422
424,424
427,427
431,431
435,435
438,438
440,440
443,443
448,448
450,450
451,451
452,452
452,454
454,452
454,454
459,459
467,467
468,468
472,472
473,41
473,473
475,475
479,479
482,482
483,483
486,486
486,488
487,487
488,486
488,488
492,492
493,493
493,495
494,494
495,493
495,495
498,498
502,502
505,403
505,505
506,93
506,506
512,512
514,514
518,518
520,520
525,525
530,530
531,531
531,532
531,536
532,531
532,532
532,536
535,535
535,537
536,531
536,532
536,536
537,535
537,537
543,543
545,66
545,545
546,546
547,547
550,550
552,552
552,557
555,555
557,552
557,557
558,558
562,562
570,570
571,78
571,571
575,575
575,588
576,576
577,577
579,579
579,599
581,581
581,583
582,83
582,582
583,581
583,583
584,584
585,77
585,585
587,587
587,589
588,575
588,588
589,587
589,589
590,590
590,592
592,590
592,592
594,594
595,595
595,597
597,595
597,597
599,579
599,599
602,602
607,607
607,609
608,608
609,607
609,609
611,80
611,611
612,79
612,612
618,618
623,623
624,624
624,626
626,624
626,626
631,631
634,634
637,637
