cat,lcat,along,to_lcat
1,1,1579.55331408192,
2,2,10301.403345434,
3,3,3662.4651743582,
4,4,2131.28946028753,
5,5,10135.3768319363,
6,6,4782.0945735934,
7,7,317.873050383737,
8,8,606.070622645623,168
9,9,787.333445899201,16
10,10,507.124875334207,17
11,11,305.954219136747,
12,14,30.4388078980698,225
13,15,822.780962431603,9
14,16,23.2951075924956,10
15,17,2337.70288314495,11
16,18,0.876899926050876,279
17,19,0.876386674909711,285
18,20,1.3532199753293,249
19,21,13862.406139222,
20,22,3055.94213276688,
21,23,3666.71862097094,
22,24,7102.88158683056,
23,25,1612.59152350062,
24,27,702.221254499527,32
25,28,2024.6635314746,502
26,30,293.328051573404,
27,31,1275.0601220629,
28,32,231.468980394119,479
29,33,7600.24464596831,
30,34,3635.10786273196,
31,35,3469.39064828144,
32,36,3445.12685131979,
33,37,11622.1646249585,
34,38,3635.14521830846,
35,39,4377.8677876893,
36,40,10549.343697762,
37,41,7674.79221852621,
38,42,4581.22576007846,
39,43,9348.22844018253,
40,44,2680.77715916379,
41,45,4722.1375985395,242
42,46,4507.13325870599,
43,47,1782.28339729617,
44,48,11.4648100061867,
45,49,12098.035119863,
46,50,2196.85870060357,
47,52,819.24607273842,
48,53,1616.94711909984,
49,54,307.012861175882,424
50,55,978.881119556064,56
51,56,612.238207587992,339
52,57,2164.86872072436,58
53,58,73.6499154995245,61
54,59,1574.53306467384,60
55,60,3192.85428000914,395
56,61,1549.37788483217,65
57,62,1224.99107987111,236
58,63,2416.21407961012,212
59,65,23.8810157454358,281
60,66,7001.91981487945,
61,67,1594.01950946646,
62,68,1372.44318832816,69
63,69,237.389101260955,70
64,70,1609.71444676113,264
65,71,1591.06150449742,400
66,72,15193.9568602842,52
67,73,1439.79342925011,
68,74,6221.23314623281,
69,75,1411.47655114332,
70,76,60.3937520098186,
71,77,1047.91687799073,
72,78,2025.7707822903,
73,79,542.111700112102,
74,80,2089.03555269256,
75,81,1511.76076386629,
76,82,3047.24576323349,483
77,83,1.46211106962747,581
78,84,9948.6695513245,
79,85,98.403197574096,
80,86,6801.33853158014,
81,87,2451.03168120521,
82,88,900.289470491248,
83,89,2289.76198318344,
84,90,45.3977253019357,
85,91,15093.0338099297,356
86,92,10901.6651289893,
87,93,1517.68893870167,
88,94,13894.8656358881,
89,95,4136.98856084217,195
90,96,3708.15927505703,
91,98,2360.291969429,
92,101,144.430991189742,
93,103,246.29317138792,87
94,107,1335.0789615519,118
95,109,10964.8330608994,
96,113,8082.60415418542,
97,115,10205.6011242039,
98,118,1548.26272795592,128
99,121,4991.70950034394,
100,128,301.05844872177,
101,130,0.492502186636289,132
102,132,2678.59435899465,
103,134,0.498916163736827,132
104,138,1121.24450796207,
105,140,5703.20109948597,182
106,142,5923.28513869194,216
107,144,978.503783516216,146
108,146,4109.74854005776,
109,150,113.990314776903,146
110,154,4622.21377857027,
111,157,2496.66672108545,
112,158,611.630598196112,154
113,160,7225.18970327179,
114,163,121.692434267738,
115,166,851.194351128385,163
116,168,160.800204681826,166
117,173,2152.72008335364,
118,176,4228.23827866093,134
119,182,785.543904793826,
120,188,4937.93184594603,189
121,189,2705.64378493394,
122,194,423.484045365051,
123,195,9.95751874195032,196
124,196,1606.18237155823,
125,201,30.2373609725873,202
126,202,2023.18073596632,
127,204,936.817919291129,
128,206,2564.1102568137,207
129,207,1527.98981051993,
130,208,1.12876546250432,215
131,209,7618.74317161583,210
132,210,4924.62618586315,158
133,212,821.444950725759,
134,215,1999.22690708972,216
135,216,730.885785051132,
136,223,617.309265287779,
137,225,1569.96645172271,15
138,233,2353.86875470056,
139,236,39.5323890104235,63
140,241,8023.2530340272,242
141,242,1782.63915581159,
142,248,308.824176996652,250
143,249,5.95981203942404,253
144,250,1.26276466211203,251
145,251,5.99666115287101,253
146,253,2.22928191625208,257
147,255,1157.95229345969,23
148,257,2.41573972580037,253
149,258,70.4723601971416,257
150,259,71.3996695254594,257
151,264,693.742240146234,258
152,270,1648.62135191307,317
153,272,5092.65368191203,
154,276,5852.53405187088,
155,279,0.895866167402655,279
156,281,1565.18776396307,62
157,285,0.900231965788583,285
158,294,803.699216263331,
159,298,1464.45505721355,
160,299,3837.86418623256,300
161,300,4772.20043478592,
162,302,610.481806173631,303
163,303,1702.87264189509,
164,309,6122.07377347391,294
165,317,8037.16603919896,323
166,319,3648.44252955465,
167,323,1477.81866638952,327
168,325,9474.4334622952,
169,326,0.360185167521866,327
170,327,44.0394470069537,
171,330,3662.15037741241,331
172,331,3108.17744585929,53
173,333,2046.84976831125,
174,339,646.392055383557,57
175,342,4330.14439226641,
176,344,6427.76663318634,259
177,346,1.27725183532958,348
178,348,1601.923306714,68
179,353,8049.39776077445,
180,354,2461.21288317287,387
181,355,15093.1605272878,356
182,356,15093.0589160481,355
183,357,803.913160256792,358
184,358,3.50367522591765,355
185,359,3.50372250365087,360
186,360,15100.6130931076,356
187,363,13.2952779079207,
188,369,9174.09560218876,370
189,370,3237.0223043653,
190,372,1570.35095771074,346
191,376,8182.83632127767,
192,378,608.832078150203,55
193,381,4557.56584083742,
194,384,5239.03104137824,
195,386,6382.59491759701,
196,387,2313.36238594593,402
197,389,4312.17143071123,
198,391,355.449704321038,378
199,395,1966.65863140049,410
200,400,1614.60837914384,372
201,402,2224.99903519792,505
202,403,10300.3295097075,
203,407,5993.21453060325,370
204,410,425.627290826945,
205,411,4335.44103326102,412
206,412,1514.85301820862,
207,417,2556.88419584712,391
208,422,175.196204966149,
209,424,305.833322736472,417
210,427,1713.57200524104,
211,431,792.197444540294,435
212,435,29.1303445685334,438
213,438,39.8616584838302,54
214,440,8026.41528444151,
215,443,1867.36530562137,
216,448,13976.7133655587,
217,450,22084.8961584104,
218,451,1659.5567605777,452
219,452,6413.162251129,
220,454,9098.59813691436,
221,459,4546.82142029852,
222,467,1181.54912730585,
