cat,len,orig_cat
1,1579.553314,1
2,10301.403345,3
3,3662.465174,4
4,2131.28946,6
5,10135.376832,8
6,4782.094574,9
7,317.87305,10
8,606.070623,10
9,787.333446,10
10,507.124875,10
11,305.954219,10
14,30.438808,10
15,822.780962,10
16,23.295108,10
17,2337.702883,10
18,0.8769,10
19,0.876387,10
20,1.35322,72
21,13862.406139,13
22,3055.942133,14
23,3666.718621,17
24,7102.881587,18
25,1612.591524,19
27,702.221254,19
28,2024.663531,19
30,293.328052,19
31,1275.060122,19
32,231.46898,19
33,7600.244646,20
34,3635.107863,22
35,3469.390648,23
36,3445.126851,24
37,11622.164625,28
38,3635.145218,29
39,4377.867788,30
40,10549.343698,32
41,7674.792219,35
42,4581.22576,36
43,9348.22844,51
44,2680.777159,53
45,4722.137599,55
46,4507.133259,56
47,1782.283397,58
48,11.46481,59
49,12098.03512,62
50,2196.858701,63
52,819.246073,74
53,1616.947119,66
54,307.012861,68
55,978.88112,68
56,612.238208,68
57,2164.868721,68
58,73.649915,68
59,1574.533065,69
60,3192.85428,69
61,1549.377885,69
62,1224.99108,69
63,2416.21408,69
65,23.881016,69
66,7001.919815,70
67,1594.019509,71
68,1372.443188,72
69,237.389101,72
70,1609.714447,72
71,1591.061504,72
72,15193.95686,74
73,1439.793429,75
74,6221.233146,82
75,1411.476551,88
76,60.393752,90
77,1047.916878,92
78,2025.770782,94
79,542.1117,96
80,2089.035553,98
81,1511.760764,100
82,3047.245763,102
83,1.462111,106
84,9948.669551,109
85,98.403198,110
86,6801.338532,111
87,2451.031681,112
88,900.28947,114
89,2289.761983,114
90,45.397725,120
91,15093.03381,121
92,10901.665129,122
93,1517.688939,124
94,13894.865636,127
95,4136.988561,129
96,3708.159275,129
98,2360.291969,64
101,144.430991,112
103,246.293171,112
107,1335.078962,110
109,10964.833061,26
113,8082.604154,107
115,10205.601124,128
118,1548.262728,110
121,4991.7095,7
128,301.058449,110
130,0.492502,108
132,2678.594359,108
134,0.498916,108
138,1121.244508,25
140,5703.201099,11
142,5923.285139,42
144,978.503784,45
146,4109.74854,45
150,113.990315,45
154,4622.213779,132
157,2496.666721,43
158,611.630598,132
160,7225.189703,21
163,121.692434,10
166,851.194351,10
168,160.800205,10
173,2152.720083,10
176,4228.238279,108
182,785.543905,11
188,4937.931846,129
189,2705.643785,130
194,423.484045,74
195,9.957519,46
196,1606.182372,46
201,30.237361,47
202,2023.180736,47
204,936.817919,10
206,2564.110257,75
207,1527.989811,75
208,1.128765,42
209,7618.743172,132
210,4924.626186,42
212,821.444951,69
215,1999.226907,42
216,730.885785,42
223,617.309265,10
225,1569.966452,10
233,2353.868755,57
236,39.532389,69
241,8023.253034,54
242,1782.639156,54
248,308.824177,72
249,5.959812,72
250,1.262765,12
251,5.996661,72
253,2.229282,72
255,1157.952293,17
257,2.41574,12
258,70.47236,72
259,71.39967,72
264,693.74224,72
270,1648.621352,120
272,5092.653682,120
276,5852.534052,16
279,0.895866,10
281,1565.187764,69
285,0.900232,10
294,803.699216,59
298,1464.455057,81
299,3837.864186,80
300,4772.200435,81
302,610.481806,51
303,1702.872642,51
309,6122.073773,59
317,8037.166039,120
319,3648.44253,125
323,1477.818666,120
325,9474.433462,120
326,0.360185,120
327,44.039447,120
330,3662.150377,67
331,3108.177446,66
333,2046.849768,67
339,646.392055,68
342,4330.144392,12
344,6427.766633,12
346,1.277252,72
348,1601.923307,72
353,8049.397761,34
354,2461.212883,34
355,15093.160527,121
356,15093.058916,121
357,803.91316,121
358,3.503675,121
359,3.503723,121
360,15100.613093,121
363,13.295278,59
369,9174.095602,105
370,3237.022304,105
372,1570.350958,72
376,8182.836321,126
378,608.832078,68
381,4557.565841,15
384,5239.031041,5
386,6382.594918,33
387,2313.362386,33
389,4312.171431,31
391,355.449704,68
395,1966.658631,69
400,1614.608379,72
402,2224.999035,99
403,10300.32951,99
407,5993.214531,104
410,425.627291,69
411,4335.441033,123
412,1514.853018,58
417,2556.884196,68
422,175.196205,63
424,305.833323,68
427,1713.572005,73
431,792.197445,68
435,29.130345,68
438,39.861658,68
440,8026.415284,41
443,1867.365306,37
448,13976.713366,113
450,22084.896158,2
451,1659.556761,60
452,6413.162251,60
454,9098.598137,61
459,4546.82142,27
467,1181.549127,39
468,410.242378,19
472,9306.479788,35
473,6252.363878,131
475,2968.671256,38
479,121.861199,19
482,1603.109361,102
483,4805.951773,102
486,3283.21023,100
487,4920.668303,99
488,7870.229246,100
492,20844.702525,77
493,4603.135299,78
494,1756.530599,78
495,1493.864515,78
498,1614.050542,40
502,592.057741,19
505,12246.628953,124
506,4107.438865,124
512,13.305981,124
514,13.305847,79
518,5687.60175,39
520,4012.523207,79
525,3683.629335,30
530,5270.70968,48
531,1,48
532,1966.904275,50
535,2522.059526,49
536,4990.208255,48
537,8490.76749,48
543,830.775281,70
545,58.77159,70
546,97.654402,70
547,58.778067,70
550,4763.644087,119
552,8136.320967,117
555,1925.07218,97
557,1005.468199,119
558,2901.176175,119
562,1199.953436,116
570,2127.439973,92
571,664.674769,94
575,1562.463921,87
576,497.258661,119
577,2375.710264,97
579,2275.840164,97
581,688.334955,106
582,1.06915,106
583,2667.688148,106
584,512.527989,92
585,1018.359828,92
587,379.896457,85
588,3546.783002,119
589,45.592314,119
590,194.383301,119
592,684.562409,86
594,4178.817399,106
595,5636.944712,106
597,683.544957,106
599,931.344849,95
602,1804.648794,83
607,5287.423123,84
608,1.959978,118
609,3134.419613,118
611,3133.92993,98
612,2553.135235,96
618,414.455327,90
623,7011.756211,115
624,1031.753901,115
626,4948.509968,89
631,986.362389,114
634,258.446413,91
637,2133.264322,45
