,cat,orig_cat
0,1,1
1,2,3
2,3,4
3,4,6
4,5,8
5,6,9
6,7,10
7,8,10
8,9,10
9,10,10
10,11,10
11,12,10
12,13,10
13,14,10
14,15,10
15,16,10
16,17,10
17,18,10
18,19,10
19,20,12
20,21,13
21,22,14
22,23,17
23,24,18
24,25,19
25,26,19
26,27,19
27,28,19
28,29,19
29,30,19
30,31,19
31,32,19
32,33,20
33,34,22
34,35,23
35,36,24
36,37,28
37,38,29
38,39,30
39,40,32
40,41,35
41,42,36
42,43,52
43,44,53
44,45,55
45,46,56
46,47,58
47,48,59
48,49,63
49,50,63
50,51,66
51,52,68
52,53,68
53,54,68
54,55,68
55,56,68
56,57,69
57,58,69
58,59,69
59,60,69
60,61,69
61,62,69
62,63,69
63,64,70
64,65,71
65,66,72
66,67,72
67,68,72
68,69,72
69,70,74
70,71,76
71,72,82
72,73,88
73,74,90
74,75,93
75,76,94
76,77,96
77,78,98
78,79,101
79,80,102
80,81,106
81,82,109
82,83,110
83,84,111
84,85,112
85,86,114
86,87,114
87,88,120
88,89,124
89,90,129
90,91,129
91,92,64
92,93,64
93,94,112
94,95,112
95,96,112
96,97,112
97,98,112
98,99,110
99,100,112
100,101,110
101,102,110
102,103,26
103,104,26
104,105,127
105,106,127
106,107,109
107,108,108
108,109,107
109,110,107
110,111,128
111,112,128
112,113,110
113,114,110
114,115,110
115,116,127
116,117,7
117,118,7
118,119,64
119,120,112
120,121,1
121,122,6
122,123,110
123,124,110
124,125,110
125,126,108
126,127,108
127,128,108
128,129,108
129,130,108
130,131,108
131,132,132
132,133,110
133,134,25
134,135,25
135,136,11
136,137,11
137,138,132
138,139,42
139,140,42
140,141,44
141,142,44
142,143,130
143,144,45
144,145,44
145,146,45
146,147,45
147,148,45
148,149,25
149,150,2
150,151,132
151,152,132
152,153,132
153,154,43
154,155,43
155,156,132
156,157,132
157,158,21
158,159,21
159,160,10
160,161,10
161,162,10
162,163,10
163,164,10
164,165,10
165,166,14
166,167,10
167,168,10
168,169,9
169,170,7
170,171,10
171,172,10
172,173,13
173,174,108
174,175,108
175,176,43
176,177,20
177,178,22
178,179,11
179,180,11
180,181,11
181,182,11
182,183,82
183,184,107
184,185,69
185,186,128
186,187,130
187,188,130
188,189,74
189,190,46
190,191,10
191,192,74
192,193,74
193,194,46
194,195,46
195,196,46
196,197,47
197,198,129
198,199,129
199,200,47
200,201,47
201,202,132
202,203,10
203,204,76
204,205,75
205,206,75
206,207,132
207,208,132
208,209,42
209,210,69
210,211,69
211,212,69
212,213,8
213,214,42
214,215,42
215,216,42
216,217,129
217,218,10
218,219,42
219,220,26
220,221,10
221,222,10
222,223,10
223,224,10
224,225,75
225,226,47
226,227,77
227,228,29
228,229,113
229,230,130
230,231,57
231,232,57
232,233,105
233,234,69
234,235,69
235,236,69
236,237,21
237,238,99
238,239,10
239,240,54
240,241,54
241,242,55
242,243,54
243,244,120
244,245,10
245,246,69
246,247,72
247,248,12
248,249,72
249,250,72
250,251,12
251,252,72
252,253,17
253,254,17
254,255,12
255,256,72
256,257,12
257,258,72
258,259,122
259,260,122
260,261,62
261,262,57
262,263,10
263,264,72
264,265,72
265,266,72
266,267,72
267,268,72
268,269,10
269,270,66
270,271,120
271,272,120
272,273,120
273,274,120
274,275,120
275,276,16
276,277,16
277,278,17
278,279,10
279,280,10
280,281,69
281,282,69
282,283,10
283,284,10
284,285,10
285,286,10
286,287,10
287,288,125
288,289,69
289,290,56
290,291,72
291,292,59
292,293,59
293,294,121
294,295,121
295,296,72
296,297,51
297,298,81
298,299,81
299,300,80
300,301,80
301,302,81
302,303,51
303,304,51
304,305,68
305,306,120
306,307,68
307,308,68
308,309,59
309,310,59
310,311,59
311,312,51
312,313,31
313,314,10
314,315,15
315,316,16
316,317,72
317,318,120
318,319,125
319,320,125
320,321,124
321,322,32
322,323,120
323,324,120
324,325,120
325,326,120
326,327,120
327,328,120
328,329,120
329,330,120
330,331,120
331,332,67
332,333,67
333,334,66
334,335,66
335,336,68
336,337,69
337,338,17
338,339,67
339,340,68
340,341,68
341,342,68
342,343,12
343,344,12
344,345,12
345,346,12
346,347,71
347,348,72
348,349,72
349,350,72
350,351,72
351,352,111
352,353,68
353,354,34
354,355,34
355,356,124
356,357,121
357,358,121
358,359,121
359,360,121
360,361,121
361,362,121
362,363,121
363,364,121
364,365,121
365,366,121
366,367,121
367,368,59
368,369,59
369,370,59
370,371,66
371,372,68
372,373,53
373,374,36
374,375,105
375,376,105
376,377,104
377,378,72
378,379,72
379,380,72
380,381,105
381,382,126
382,383,126
383,384,68
384,385,68
385,386,68
386,387,15
387,388,15
388,389,80
389,390,5
390,391,5
391,392,124
392,393,33
393,394,33
394,395,31
395,396,31
396,397,68
397,398,68
398,399,68
399,400,69
400,401,69
401,402,69
402,403,24
403,404,12
404,405,66
405,406,72
406,407,72
407,408,72
408,409,62
409,410,62
410,411,124
411,412,99
412,413,28
413,414,122
414,415,104
415,416,104
416,417,69
417,418,69
418,419,69
419,420,123
420,421,123
421,422,131
422,423,123
423,424,69
424,425,68
425,426,68
426,427,68
427,428,3
428,429,23
429,430,63
430,431,63
431,432,68
432,433,68
433,434,74
434,435,65
435,436,65
436,437,73
437,438,73
438,439,37
439,440,73
440,441,68
441,442,68
442,443,68
443,444,68
444,445,68
445,446,68
446,447,68
447,448,68
448,449,68
449,450,41
450,451,41
451,452,18
452,453,37
453,454,37
454,455,52
455,456,65
456,457,5
457,458,113
458,459,113
459,460,2
460,461,2
461,462,60
462,463,60
463,464,61
464,465,61
465,466,58
466,467,120
467,468,39
468,469,124
469,470,27
470,471,27
471,472,19
472,473,19
473,474,126
474,475,38
475,476,38
476,477,39
477,478,39
478,479,39
479,480,19
480,481,19
481,482,34
482,483,33
483,484,131
484,485,131
485,486,38
486,487,38
487,488,19
488,489,19
489,490,19
490,491,19
491,492,19
492,493,40
493,494,102
494,495,103
495,496,103
496,497,100
497,498,100
498,499,99
499,500,99
500,501,27
501,502,100
502,503,101
503,504,77
504,505,77
505,506,78
506,507,78
507,508,60
508,509,40
509,510,40
510,511,19
511,512,19
512,513,19
513,514,19
514,515,103
515,516,19
516,517,124
517,518,124
518,519,77
519,520,41
520,521,79
521,522,124
522,523,124
523,524,79
524,525,124
525,526,79
526,527,124
527,528,78
528,529,39
529,530,39
530,531,79
531,532,79
532,533,61
533,534,30
534,535,124
535,536,30
536,537,30
537,538,30
538,539,48
539,540,35
540,541,50
541,542,48
542,543,48
543,544,50
544,545,50
545,546,49
546,547,49
547,548,48
548,549,48
549,550,48
550,551,50
551,552,49
552,553,4
553,554,70
554,555,70
555,556,70
556,557,70
557,558,70
558,559,70
559,560,70
560,561,70
561,562,119
562,563,117
563,564,117
564,565,119
565,566,97
566,567,97
567,568,116
568,569,119
569,570,119
570,571,116
571,572,119
572,573,116
573,574,116
574,575,94
575,576,117
576,577,97
577,578,97
578,579,86
579,580,106
580,581,92
581,582,92
582,583,92
583,584,119
584,585,119
585,586,118
586,587,119
587,588,87
588,589,87
589,590,97
590,591,97
591,592,95
592,593,92
593,594,106
594,595,106
595,596,106
596,597,92
597,598,92
598,599,85
599,600,85
600,601,119
601,602,86
602,603,86
603,604,119
604,605,119
605,606,119
606,607,106
607,608,106
608,609,118
609,610,85
610,611,95
611,612,87
612,613,118
613,614,118
614,615,83
615,616,83
616,617,98
617,618,93
618,619,118
619,620,84
620,621,84
621,622,118
622,623,118
623,624,96
624,625,95
625,626,95
626,627,118
627,628,83
628,629,84
629,630,95
630,631,90
631,632,90
632,633,90
633,634,90
634,635,90
635,636,114
636,637,115
637,638,115
638,639,115
639,640,89
640,641,89
641,642,89
642,643,114
643,644,114
644,645,114
645,646,114
646,647,88
647,648,91
648,649,91
649,650,91
650,651,45
651,652,45
652,653,45
