cat,orig_cat
1,3
2,5
3,8
4,9
5,10
6,10
7,11
8,13
9,15
10,16
11,17
12,19
13,23
14,25
15,26
16,29
17,30
18,31
19,36
20,43
21,44
22,45
23,52
24,53
25,56
26,57
27,63
28,64
29,68
30,68
31,68
32,69
33,69
34,69
35,69
36,69
37,69
38,73
39,76
40,79
41,82
42,88
43,89
44,90
45,97
46,97
47,101
48,107
49,108
50,113
51,114
52,114
53,126
54,121
55,1
56,2
57,4
58,6
59,7
60,10
61,10
62,10
63,10
64,10
65,72
66,72
67,14
68,18
69,19
70,19
71,19
72,21
73,24
74,32
75,37
76,38
77,40
78,41
79,46
80,51
81,55
82,60
83,66
84,66
85,68
86,68
87,68
88,69
89,72
90,72
91,75
92,75
93,80
94,83
95,119
96,115
97,95
98,102
99,109
100,110
101,116
102,119
103,120
104,121
105,59
106,124
107,130
108,131
109,39
110,45
111,54
112,70
113,103
114,119
115,10
116,10
117,17
118,19
119,19
120,48
121,68
122,72
123,65
124,74
125,110
126,90
127,90
128,120
129,127
130,127
131,10
132,12
133,132
134,22
135,124
136,124
137,34
138,129
139,49
140,123
141,123
142,61
143,71
144,72
145,80
146,80
147,81
148,84
149,85
150,86
151,87
152,100
153,119
154,120
155,120
156,125
157,124
158,129
159,132
160,54
161,54
162,54
163,119
164,10
165,69
166,77
167,77
168,78
169,78
170,104
171,106
172,106
173,106
174,106
175,131
176,35
177,39
178,60
179,70
180,93
181,92
182,92
183,95
184,99
185,130
186,12
187,12
188,12
189,12
190,72
191,72
192,72
193,72
194,72
195,62
196,132
197,99
198,99
199,66
200,45
201,120
202,119
203,118
204,108
205,12
206,10
207,69
208,72
209,95
210,118
211,108
212,108
213,42
214,105
215,48
216,63
217,120
218,132
219,67
220,10
221,10
222,42
223,132
224,48
225,50
226,62
227,68
228,68
229,68
230,68
231,72
232,74
233,110
234,112
235,114
236,119
237,117
238,10
239,10
240,11
241,19
242,19
243,19
244,20
245,27
246,124
247,28
248,30
249,124
250,46
251,47
252,51
253,68
254,69
255,69
256,70
257,70
258,72
259,72
260,72
261,118
262,118
263,119
264,91
265,92
266,94
267,92
268,95
269,96
270,95
271,98
272,110
273,111
274,115
275,118
276,121
277,59
278,128
279,47
280,129
281,103
282,79
283,19
284,19
285,132
286,65
287,119
288,108
289,112
290,112
291,120
292,12
293,22
294,132
295,132
296,122
297,122
298,122
299,31
300,58
301,80
302,106
303,124
304,33
305,132
306,42
307,68
308,22
309,105
310,12
311,72
312,12
313,124
314,46
