cat,along,x,y
1,0,273886.567589405,5214599.76873482
2,9.80691116361882,273895.960557278,5214596.94957517
3,19.7313146991943,273905.596770617,5214594.57530096
4,29.7307366772591,273915.305823975,5214592.18307965
5,29.7527017581435,273915.327131842,5214592.17774678
6,36.7372737861535,273922.096466136,5214590.45717721
7,42.7372737865945,273920.618434646,5214584.64207421
8,49.7108631875315,273913.859744537,5214586.35993833
9,59.6993025678172,273904.161354858,5214588.74953221
10,69.6987245558963,273894.452301493,5214591.14175353
11,69.8487145656507,273894.307609502,5214591.18126594
12,79.8391166991132,273884.738895692,5214594.05317311
13,80.0559200679871,273884.533631056,5214594.12295943
14,86.3017053598087,273878.696766384,5214596.34576052
15,92.3017053601956,273880.8320954,5214601.95293182
16,98.4390181305637,273886.567589405,5214599.76873482
17,0,273018.275557131,5213445.83268498
18,9.84951234224124,273017.412018417,5213436.02110028
19,19.8300204301065,273016.625915189,5213426.07159862
20,29.8220354299089,273015.838905632,5213416.11062579
21,39.810543294753,273015.064811348,5213406.15215867
22,49.8031228831105,273014.299297062,5213396.18894459
23,50.4269564397706,273014.187094492,5213395.57528435
24,51.0507899960224,273013.950402116,5213394.99809718
25,51.6746235527635,273013.599454732,5213394.4823412
26,52.2984571090413,273013.149427627,5213394.05031815
27,56.1593933289872,273010.101281203,5213391.6805857
28,62.159393328974,273006.418652464,5213396.41748823
29,64.6926768344219,273008.418638638,5213397.97234534
30,73.3589429673967,273009.082546338,5213406.61314364
31,83.3533726560589,273009.857098363,5213416.57751487
32,83.3571803695168,273009.857395864,5213416.58131094
33,93.3510992206992,273010.644555375,5213426.54418171
34,103.345018065378,273011.431714886,5213436.50705247
35,103.37183929288,273011.433946932,5213436.53378066
36,113.306713556834,273012.304969603,5213446.43039857
37,113.450574553875,273012.321014786,5213446.57336199
38,121.391778984922,273013.395679859,5213454.44151443
39,127.391778984984,273019.340485214,5213453.62954812
40,135.261032232178,273018.275557131,5213445.83268498
41,0,273977.139302526,5216498.06619212
42,9.99741552717137,273970.013091679,5216491.05438521
43,19.8338009654693,273963.001663938,5216484.15551867
44,29.6823394364065,273956.761311076,5216476.53635165
45,36.8616746890333,273952.738298505,5216470.59007344
46,42.8616746892046,273947.768803699,5216473.95223366
47,50.1782340475724,273951.868711175,5216480.01216762
48,50.4523956047843,273952.03255572,5216480.23198464
49,60.5991882835462,273958.461892105,5216488.08189135
50,60.920785513679,273958.678709092,5216488.31941013
51,70.9182010464387,273965.804919939,5216495.33121705
52,80.9156165736101,273972.931130787,5216502.34302397
53,90.9130321027091,273980.057341631,5216509.35483088
54,96.913032102517,273984.265513372,5216505.07799904
55,106.910447633918,273977.139302526,5216498.06619212
56,0,273900.446009641,5214592.97254485
57,0,273013.368949327,5213423.41168971
58,0,273965.592725001,5216490.26928848
