cat,lcat,along,elev
1,75,0,375.6616
2,75,0.999583761979873,375.6467
3,75,1.99916752395975,375.65
4,75,2.99875128593962,375.635
5,75,3.99833504791949,375.6704
6,75,4.99791880989936,375.6781
7,75,5.99750257187924,375.6899
8,75,6.99708633385911,375.6899
9,75,7.99667009583898,375.698
10,75,8.99625385781885,375.7034
11,75,9.99583761979873,375.7126
12,75,10.9954213817786,375.7231
13,75,11.9950051437585,375.735
14,75,12.9945889057383,375.7482
15,75,13.9941726677182,375.7621
16,75,14.9937564296981,375.7714
17,75,15.993340191678,375.7793
18,75,16.9929239536578,375.818
19,75,17.9925077156377,375.8436
20,75,18.9920914776176,375.8243
21,75,19.9916752395975,375.8011
22,75,20.9912590015773,375.7877
23,75,21.9908427635572,375.7591
24,75,22.9904265255371,375.7303
25,75,23.9900102875169,375.7019
26,75,24.9895940494968,375.6706
27,75,25.9891778114767,375.6734
28,75,26.9887615734566,375.6797
29,75,27.9883453354364,375.6851
30,75,28.9879290974163,375.6873
31,75,29.9875128593962,375.6877
32,75,30.987096621376,375.6863
33,75,31.9866803833559,375.683
34,75,32.9862641453358,375.6743
35,75,33.9858479073157,375.6695
36,75,34.9854316692955,375.6643
37,75,35.9850154312754,375.6591
38,75,36.9845991932553,375.6546
39,75,37.9841829552352,375.6545
40,75,38.983766717215,375.6751
41,75,39.9833504791949,375.6987
42,75,40.9829342411748,375.7289
43,75,41.9825180031546,375.717
44,75,42.9821017651345,375.7086
45,75,43.9816855271144,375.7697
46,75,44.9812692890943,375.7024
47,75,45.9808530510741,375.6833
48,75,46.980436813054,375.6686
49,75,47.9800205750339,375.667
50,75,48.9796043370138,375.6513
51,75,49.9791880989936,375.6513
52,75,50.9787718609735,375.6731
53,75,51.9783556229534,375.6839
54,75,52.9779393849332,375.6941
55,75,53.9775231469131,375.7027
56,75,54.977106908893,375.716
57,75,55.9766906708729,375.7224
58,75,56.9762744328527,375.7279
59,75,57.9758581948326,375.7328
60,75,58.9754419568125,375.7372
61,75,59.9750257187924,375.7473
62,75,60.9746094807722,375.7527
63,75,61.9741932427521,375.7599
64,75,62.973777004732,375.7666
65,75,63.9733607667118,375.7734
