cat,lcat,along,x,y
1,75,0,273921.338822934,5214587.56056053
2,75,102.411899977392,273826.796769758,5214624.97077446
3,75,204.823799954785,273733.140915972,5214629.68194016
4,75,307.235699932177,273637.123761719,5214598.43858403
5,75,409.64759990957,273538.853256885,5214626.53566499
6,75,512.059499886962,273450.585853585,5214632.1599386
7,75,614.471399864355,273415.47127073,5214540.03183277
8,75,716.883299841747,273360.495660206,5214471.91526474
9,75,819.295199819139,273297.664398416,5214418.28035217
10,75,921.707099796532,273255.45419415,5214338.94533058
11,75,1024.11899977392,273190.673437511,5214268.6064635
12,75,1126.53089975132,273158.548371882,5214193.4382815
13,76,0,270704.449890079,5215147.06575262
14,76,185.437193491137,270888.213989611,5215137.60632855
15,76,370.874386982273,271072.602284255,5215129.43372863
16,76,556.31158047341,271257.080578091,5215119.04138637
17,76,741.748773964546,271440.464424227,5215110.23182138
18,76,927.185967455683,271624.353754483,5215101.41793091
19,76,1112.62316094682,271808.566582277,5215093.05802324
20,76,1298.06035443796,271992.487025867,5215082.4142221
21,76,1483.49754792909,272176.534601634,5215073.16088798
22,76,1668.93474142023,272360.980027306,5215064.66797386
23,76,1854.37193491137,272539.635731069,5215034.46309776
24,76,2039.8091284025,272705.81765731,5214959.30958487
25,582,0,273982.161429184,5216507.21641662
26,582,193.996697294534,273866.783211924,5216352.7912891
27,582,387.993394589069,273765.947493336,5216189.11562334
28,582,581.990091883603,273624.585299518,5216064.16065561
29,582,775.986789178138,273464.134584708,5215956.02800803
30,582,969.983486472672,273323.935583923,5215829.87386638
31,582,1163.98018376721,273279.907906362,5215641.56455227
32,582,1357.97688106174,273189.117534452,5215477.68229725
33,582,1551.97357835628,273097.470601926,5215307.88139664
34,582,1745.97027565081,272930.106434234,5215242.15077693
35,582,1939.96697294534,272779.976040805,5215122.65068381
36,582,2133.96367023988,272704.881888831,5214958.75172929
37,583,0,272703.839014518,5214957.77384582
38,583,60.7764912359119,272703.650834857,5214897.36159845
39,583,121.552982471824,272701.322524824,5214837.32701124
40,583,182.329473707736,272699.079103482,5214776.78905925
41,583,243.105964943648,272696.597973433,5214716.1719608
42,583,303.882456179559,272694.995819465,5214655.60167427
43,583,364.658947415471,272692.193340442,5214595.18741518
44,583,425.435438651383,272688.200124476,5214535.60139233
45,583,486.211929887295,272689.33469894,5214475.1382567
46,583,546.988421123207,272686.360472458,5214414.96184703
47,583,607.764912359119,272683.31472295,5214354.63042568
48,583,668.541403595031,272679.792953174,5214294.53829863
49,597,0,272681.835742321,5214293.6395395
50,597,48.7367123264244,272710.292544,5214266.40756233
51,597,97.4734246528488,272758.764127159,5214261.82148761
52,597,146.210136979273,272803.46841208,5214259.63262251
53,597,194.946849305698,272850.665550115,5214261.77238236
54,597,243.683561632122,272897.453233038,5214258.30079397
55,597,292.420273958546,272944.657327259,5214253.76201002
56,597,341.156986284971,272993.084095769,5214255.95563472
57,597,389.893698611395,273040.673646093,5214254.30304645
58,597,438.63041093782,273087.253116939,5214252.20456062
59,597,487.367123264244,273129.966550944,5214234.42803832
60,597,536.103835590669,273159.004004244,5214200.31771273
61,598,0,273160.242931408,5214194.37191178
62,598,99.3521125308073,273105.996869439,5214129.97317377
63,598,198.704225061615,273052.919252041,5214053.0662618
64,598,298.056337592422,273004.580590032,5213973.78015174
65,598,397.408450123229,272999.005119248,5213877.72464363
66,598,496.760562654037,273008.112272598,5213782.64856128
67,598,596.112675184844,273011.088984111,5213687.93407871
68,598,695.464787715651,273021.608193134,5213591.12244444
69,598,794.816900246459,273020.568055628,5213496.60906692
70,598,894.169012777266,273011.595839468,5213400.16354319
71,598,993.521125308073,273002.757774999,5213310.93130525
72,598,1092.87323783888,272991.050248018,5213234.95819148
