cat,along,x,y
1,0,273362.728677471,5215882.50923897
2,10.1460763308713,273355.36091626,5215875.53364153
3,20.3002162427011,273348.065095507,5215868.47123706
4,28.7386223159616,273342.016800921,5215862.58695038
5,37.7267962800382,273335.923691951,5215855.97928103
6,41.9119080434638,273333.823854798,5215852.35908153
7,47.9119080438265,273328.633743228,5215855.36952035
8,52.4272904593027,273330.899290313,5215859.27541011
9,53.0838649546448,273331.288891671,5215859.80389932
10,62.4836829514276,273337.661055314,5215866.71418939
11,62.6463698665694,273337.774543573,5215866.8307546
12,71.1699166082162,273343.88386341,5215872.77441174
13,71.1774511436565,273343.889270441,5215872.77965895
14,81.3519771900752,273351.199738774,5215879.85624238
15,81.3852144301954,273351.223747656,5215879.87922689
16,91.580719187345,273358.627402235,5215886.8888072
17,91.6463344165193,273358.675540433,5215886.933395
18,98.5665956146021,273363.803669331,5215891.58014753
19,104.566595614601,273367.832493442,5215887.13396082
20,111.454047224175,273362.728677471,5215882.50923897
21,0,273231.443043412,5215539.90814773
22,9.7001371963127,273225.682004068,5215532.10410472
23,10.5728701426802,273225.067059001,5215531.48482662
24,20.1104685584011,273217.433744984,5215525.76658383
25,29.6480669470963,273214.209912094,5215516.79035497
26,30.5195570004184,273213.799328948,5215516.02164411
27,40.2853516691411,273207.996005243,5215508.16720718
28,40.6182110676687,273207.841641266,5215507.87230526
29,46.618211067552,273202.525848713,5215510.65481304
30,47.1826913225062,273202.787627164,5215511.15492303
31,47.6445585060786,273203.032682336,5215511.5464192
32,57.2015584982819,273208.711929799,5215519.23292668
33,67.1989740173342,273212.091186888,5215528.64190848
34,67.7811126879,273212.340185548,5215529.16810721
35,68.3632513585892,273212.686121466,5215529.63630991
36,68.9453900288223,273213.115968793,5215530.02888692
37,78.9421639005356,273221.116778933,5215536.02242718
38,88.4975672830612,273226.791858958,5215543.71002762
39,89.0873440055834,273227.187079591,5215544.14779153
40,98.1793664829044,273233.913671332,5215550.26480356
41,104.17936648325,273237.950404889,5215545.82579667
42,112.975065567469,273231.443043412,5215539.90814773
43,0,273347.901420783,5215872.14210348
44,0,273219.512902884,5215529.42464614
