cat,lcat,along,x,y,elev
1,3,0,219111.224251906,5208173.9358924,
2,3,0.999987266311682,219110.448520901,5208173.30484886,
3,3,1.99997453262336,219109.672789896,5208172.67380533,
4,3,2.99996179893505,219108.897058891,5208172.0427618,
5,3,3.99994906524673,219108.121327886,5208171.41171826,
6,3,4.99993633155841,219107.345596881,5208170.78067473,
7,3,5.99992359787009,219106.569865876,5208170.1496312,
8,3,6.99991086418178,219105.794134871,5208169.51858766,
9,3,7.99989813049346,219105.018403866,5208168.88754413,
10,3,8.99988539680514,219104.24267286,5208168.2565006,
11,3,9.99987266311683,219103.466941855,5208167.62545707,
12,3,10.9998599294285,219102.691210849,5208166.99441353,
13,3,11.9998471957402,219101.915479844,5208166.36337,
14,3,12.9998344620519,219101.139748838,5208165.73232647,
15,3,13.9998217283636,219100.364017833,5208165.10128294,
16,3,14.9998089946752,219099.588286827,5208164.4702394,
17,3,15.9997962609869,219098.812555822,5208163.83919587,
18,3,16.9997835272986,219098.036824816,5208163.20815234,
19,3,17.9997707936103,219097.261093811,5208162.57710881,
20,3,18.999758059922,219096.485362806,5208161.94606527,
21,3,19.9997453262337,219095.7096318,5208161.31502174,
22,3,20.9997325925453,219094.933900795,5208160.68397821,
23,3,21.999719858857,219094.158169789,5208160.05293468,
24,3,22.9997071251687,219093.382438784,5208159.42189114,
25,3,23.9996943914804,219092.606707778,5208158.79084761,
26,3,24.9996816577921,219091.830976773,5208158.15980408,
27,3,25.9996689241037,219091.055245767,5208157.52876055,
28,3,26.9996561904154,219090.279514761,5208156.89771701,
29,3,27.9996434567271,219089.503783756,5208156.26667348,
30,3,28.9996307230388,219088.72805275,5208155.63562995,
31,3,29.9996179893505,219087.952321745,5208155.00458642,
32,3,30.9996052556622,219087.17659074,5208154.37354288,
33,3,31.9995925219738,219086.400859735,5208153.74249935,
34,3,32.9995797882855,219085.62512873,5208153.11145582,
35,3,33.9995670545972,219084.849397725,5208152.48041228,
36,3,34.9995543209089,219084.07366672,5208151.84936875,
37,3,35.9995415872206,219083.297935715,5208151.21832522,
38,3,36.9995288535322,219082.52220471,5208150.58728168,
39,3,37.9995161198439,219081.746473705,5208149.95623815,
40,3,38.9995033861556,219080.9707427,5208149.32519462,
41,3,39.9994906524673,219080.195011695,5208148.69415109,
42,3,40.999477918779,219079.419280689,5208148.06310755,
43,3,41.9994651850907,219078.643549684,5208147.43206402,
44,3,42.9994524514023,219077.867818678,5208146.80102049,
45,3,43.999439717714,219077.092087672,5208146.16997696,
46,3,44.9994269840257,219076.316356667,5208145.53893342,
47,3,45.9994142503374,219075.540625661,5208144.90788989,
48,3,46.9994015166491,219074.764894656,5208144.27684636,
49,3,47.9993887829608,219073.98916365,5208143.64580283,
50,3,48.9993760492724,219073.213432645,5208143.01475929,
51,3,49.9993633155841,219072.437701639,5208142.38371576,
52,3,50.9993505818958,219071.661970634,5208141.75267223,
53,3,51.9993378482075,219070.886239629,5208141.1216287,
54,3,52.9993251145192,219070.110508624,5208140.49058516,
55,3,53.9993123808309,219069.334777619,5208139.85954163,
56,3,54.9992996471425,219068.559046614,5208139.2284981,
57,3,55.9992869134542,219067.783315609,5208138.59745456,
58,3,56.9992741797659,219067.007584604,5208137.96641103,
59,3,57.9992614460776,219066.231853599,5208137.3353675,
60,3,58.9992487123893,219065.456122594,5208136.70432396,
61,3,59.9992359787009,219064.680750946,5208136.07291579,
62,3,60.9992232450126,219064.038461633,5208135.30647012,
63,3,61.9992105113243,219063.396172319,5208134.54002445,
64,3,62.999197777636,219062.753883006,5208133.77357877,
65,3,63.9991850439477,219062.111593692,5208133.0071331,
66,3,64.9991723102594,219061.469304379,5208132.24068743,
67,3,65.999159576571,219060.827015066,5208131.47424175,
68,3,66.9991468428827,219060.184725752,5208130.70779608,
69,3,67.9991341091944,219059.542436439,5208129.94135041,
70,3,68.9991213755061,219058.900147125,5208129.17490473,
71,3,69.9991086418178,219058.29689962,5208128.38746829,
72,3,70.9990959081294,219058.011785294,5208127.42898806,
73,3,71.9990831744411,219057.726670969,5208126.47050783,
74,3,72.9990704407528,219057.441556643,5208125.5120276,
75,3,73.9990577070645,219057.156442317,5208124.55354737,
76,3,74.9990449733762,219056.871327992,5208123.59506714,
77,3,75.9990322396879,219056.586213666,5208122.6365869,
78,3,76.9990195059995,219056.30109934,5208121.67810667,
79,3,77.9990067723112,219056.015985015,5208120.71962644,
80,3,78.9989940386229,219055.730870689,5208119.76114621,
81,3,79.9989813049346,219055.445791199,5208118.80265562,
82,3,80.9989685712463,219055.160992593,5208117.84408153,
83,3,81.998955837558,219054.876193987,5208116.88550744,
84,3,82.9989431038696,219054.591395381,5208115.92693335,
85,3,83.9989303701813,219054.306596775,5208114.96835926,
86,3,84.998917636493,219054.021798169,5208114.00978517,
87,3,85.9989049028047,219053.736999563,5208113.05121108,
88,3,86.9988921691164,219053.452200957,5208112.09263699,
