lcat,x,y,across,x1,y1,cos,sin,culvert,along
3.0,219111.22425190598,5208173.935892396,10.0,219104.9137362169,5208181.693301224,0.6310515689086262,-0.7757408828842021,0.0,0.0
3.0,219109.67285953002,5208172.673861975,10.0,219103.36234384653,5208180.431270808,0.6310515683481484,-0.775740883340141,0.0,2.0
3.0,219108.12146715348,5208171.411831555,10.0,219101.81095147485,5208179.169240393,0.6310515678637132,-0.7757408837342205,0.0,4.0
3.0,219106.570074777,5208170.149801135,10.0,219100.2595590934,5208177.907209968,0.6310515683623964,-0.7757408833285504,0.0,6.0
3.0,219105.018682401,5208168.887770715,10.0,219098.7081667175,5208176.645179548,0.6310515683481484,-0.775740883340141,0.0,8.0
3.0,219103.467290025,5208167.6257403,10.0,219097.15677439742,5208175.383149179,0.6310515627576171,-0.7757408878879398,0.0,10.0
3.0,219095.710328145,5208161.315588205,10.0,219089.39981246152,5208169.072997038,0.6310515683481484,-0.775740883340141,0.0,20.0
3.0,219087.953366265,5208155.005436115,10.0,219081.6428505815,5208162.762844948,0.6310515683481484,-0.775740883340141,0.0,30.0
3.0,219080.196404385,5208148.695284015,10.0,219073.88588869578,5208156.452692843,0.6310515689228744,-0.7757408828726114,0.0,40.0
3.0,219072.439442505,5208142.385131925,10.0,219066.12892681593,5208150.142540754,0.6310515689086262,-0.7757408828842021,0.0,50.0
3.0,219064.682480625,5208136.074979825,10.0,219058.3719649415,5208143.832388658,0.6310515683481484,-0.775740883340141,0.0,60.0
3.0,219058.3280646765,5208128.49223711,10.0,219048.76119218333,5208131.403413968,0.956687249317027,-0.2911176858148964,0.0,70.0
3.0,219055.477215399,5208118.908423075,10.0,219045.89135243092,5208121.7564453995,0.9585862968081377,-0.2848022323853185,0.0,80.0
3.0,219052.62935716548,5208109.32311241,10.0,219043.04349420217,5208112.171134749,0.9585862963307877,-0.28480223399198135,0.0,90.0
3.0,219049.78149893152,5208099.7378017455,10.0,219040.19563596067,5208102.58582406,0.9585862970862485,-0.2848022314492542,0.0,100.0
3.0,219047.57639282,5208089.990939705,10.0,219037.78311410046,5208092.013732804,0.9793278719534418,-0.20227930990376403,0.0,110.0
3.0,219045.55371626,5208080.19822524,10.0,219035.76043754467,5208082.22101836,0.9793278715342424,-0.20227931193330312,0.0,120.0
3.0,219043.5310397005,5208070.405510776,10.0,219033.73776097895,5208072.428303865,0.9793278721552426,-0.20227930892675305,0.0,130.0
3.0,219041.50836314098,5208060.61279631,10.0,219031.71508442564,5208062.63558943,0.9793278715342424,-0.20227931193330312,0.0,140.0
3.0,219039.485686581,5208050.820081845,10.0,219029.6924078614,5208052.842874943,0.9793278719592076,-0.20227930987584944,0.0,150.0
3.0,219037.46301002102,5208041.0273673795,10.0,219027.6697313053,5208043.050160497,0.9793278715723513,-0.20227931174879957,0.0,160.0
3.0,219035.44033346098,5208031.234652915,10.0,219025.64705474183,5208033.257446016,0.9793278719153328,-0.20227931008826758,0.0,170.0
3.0,219033.417656901,5208021.44193845,10.0,219023.6243781856,5208023.4647315685,0.9793278715400081,-0.2022793119053885,0.0,180.0
3.0,219031.394980341,5208011.649223985,10.0,219021.6017016214,5208013.6720170835,0.9793278719592076,-0.20227930987584944,0.0,190.0
3.0,219029.37230378098,5208001.856509514,10.0,219019.57902506145,5208003.879302613,0.9793278719534418,-0.20227930990376403,0.0,200.0
3.0,219027.349627222,5207992.063795054,10.0,219017.5563485024,5207994.086588153,0.9793278719592076,-0.20227930987584944,0.0,210.0
3.0,219025.326950662,5207982.271080585,10.0,219015.53367194248,5207984.2938736845,0.9793278719534418,-0.20227930990376403,0.0,220.0
3.0,219023.304274102,5207972.47836612,10.0,219013.5109953866,5207974.501159239,0.9793278715400081,-0.2022793119053885,0.0,230.0
3.0,219021.281597542,5207962.685651654,10.0,219011.4883188224,5207964.708444753,0.9793278719592076,-0.20227930987584944,0.0,240.0
3.0,219019.258920982,5207952.89293719,10.0,219009.46564226667,5207954.91573031,0.9793278715342424,-0.20227931193330312,0.0,250.0
3.0,219017.236244422,5207943.100222725,10.0,219007.44296570242,5207945.123015824,0.9793278719592076,-0.20227930987584944,0.0,260.0
3.0,219015.213567862,5207933.30750826,10.0,219005.4202891466,5207935.330301379,0.9793278715400081,-0.2022793119053885,0.0,270.0
3.0,219013.190891303,5207923.514793795,10.0,219003.39761258342,5207925.537586893,0.9793278719592076,-0.20227930987584944,0.0,280.0
3.0,219011.168214743,5207913.7220793255,10.0,219001.3749360234,5207915.744872424,0.9793278719592076,-0.20227930987584944,0.0,290.0
3.0,219009.145538183,5207903.929364866,10.0,218999.35225946346,5207905.952157965,0.9793278719534418,-0.20227930990376403,0.0,300.0
3.0,219007.122861623,5207894.136650395,10.0,218997.32958290342,5207896.159443493,0.9793278719592076,-0.20227930987584944,0.0,310.0
3.0,219005.100185063,5207884.34393593,10.0,218995.3069063476,5207886.366729049,0.9793278715400081,-0.2022793119053885,0.0,320.0
3.0,219003.077508503,5207874.551221466,10.0,218993.28422978346,5207876.574014565,0.9793278719534418,-0.20227930990376403,0.0,330.0
3.0,219001.054831943,5207864.758507,10.0,218991.26155322767,5207866.78130012,0.9793278715342424,-0.20227931193330312,0.0,340.0
3.0,218999.0321553835,5207854.965792535,10.0,218989.23887666196,5207856.988585624,0.9793278721552426,-0.20227930892675305,0.0,350.0
3.0,218997.00947882398,5207845.173078069,10.0,218987.21620010826,5207847.195871187,0.9793278715723513,-0.20227931174879957,0.0,360.0
3.0,218994.986802264,5207835.380363605,10.0,218985.1935235448,5207837.403156705,0.9793278719210985,-0.20227931006035296,0.0,370.0
3.0,218992.96412570402,5207825.5876491405,10.0,218983.1708469883,5207827.610442258,0.9793278715723513,-0.20227931174879957,0.0,380.0
3.0,218990.94144914398,5207815.794934675,10.0,218981.14817042445,5207817.817727774,0.9793278719534418,-0.20227930990376403,0.0,390.0
3.0,218988.918772584,5207806.00222021,10.0,218979.1254938686,5207808.0250133285,0.9793278715400081,-0.2022793119053885,0.0,400.0
3.0,218986.896096024,5207796.209505744,10.0,218977.1028173044,5207798.232298843,0.9793278719592076,-0.20227930987584944,0.0,410.0
3.0,218984.87341946398,5207786.416791275,10.0,218975.08014074445,5207788.439584374,0.9793278719534418,-0.20227930990376403,0.0,420.0
3.0,218982.850742905,5207776.624076815,10.0,218973.0574641854,5207778.646869914,0.9793278719592076,-0.20227930987584944,0.0,430.0
3.0,218980.828066345,5207766.831362344,10.0,218971.03478762548,5207768.854155444,0.9793278719534418,-0.20227930990376403,0.0,440.0
3.0,218978.805389785,5207757.03864788,10.0,218969.0121110696,5207759.061440999,0.9793278715400081,-0.2022793119053885,1.0,450.0
3.0,218976.782713225,5207747.245933415,10.0,218966.9894345054,5207749.268726514,0.9793278719592076,-0.20227930987584944,1.0,460.0
3.0,218974.76003666501,5207737.45321895,10.0,218964.96675794967,5207739.47601207,0.9793278715342424,-0.20227931193330312,1.0,470.0
3.0,218973.073123876,5207727.5995082,10.0,218963.19412927312,5207729.150464562,0.98789946028972,-0.155095636170977,1.0,480.0
3.0,218971.8608324625,5207717.687539335,10.0,218961.8695572815,5207718.105175849,0.9991275181015717,-0.04176365132736059,1.0,490.0
3.0,218971.4432200105,5207707.696839815,10.0,218961.4519448295,5207708.114476329,0.9991275180999473,-0.04176365136622433,0.0,500.0
3.0,218971.02560755902,5207697.706140295,10.0,218961.03433237842,5207698.123776818,0.9991275180590645,-0.04176365234427654,0.0,510.0
3.0,218970.6079951075,5207687.715440775,10.0,218960.6167199265,5207688.133077289,0.9991275180999473,-0.04176365136622433,0.0,520.0
3.0,218970.1903826555,5207677.724741255,10.0,218960.1991074745,5207678.142377769,0.9991275180999473,-0.04176365136622433,0.0,530.0
3.0,218969.7727702045,5207667.7340417355,10.0,218959.7814950235,5207668.151678249,0.9991275181015717,-0.04176365132736059,0.0,540.0
3.0,218969.3551577525,5207657.74334221,10.0,218959.3638825713,5207658.160978719,0.9991275181178169,-0.04176365093872325,0.0,550.0
3.0,218968.9375453005,5207647.752642689,10.0,218958.9462701193,5207648.170279198,0.9991275181178169,-0.04176365093872325,0.0,560.0
3.0,218968.5199328495,5207637.761943171,10.0,218958.52865766833,5207638.17957968,0.9991275181178169,-0.04176365093872325,0.0,570.0
3.0,218968.1023203975,5207627.7712436505,10.0,218958.11104521633,5207628.1888801595,0.9991275181178169,-0.04176365093872325,0.0,580.0
3.0,218967.6847079455,5207617.780544125,10.0,218957.6934327645,5207618.198180638,0.9991275181015717,-0.04176365132736059,0.0,590.0
3.0,218967.2670954945,5207607.789844605,10.0,218957.2758203135,5207608.207481119,0.9991275180999473,-0.04176365136622433,0.0,600.0
3.0,218966.8494830425,5207597.799145085,10.0,218956.85820786149,5207598.2167815985,0.9991275180999473,-0.04176365136622433,0.0,610.0
3.0,218966.4318705905,5207587.808445565,10.0,218956.44059540948,5207588.226082079,0.9991275181015717,-0.04176365132736059,0.0,620.0
3.0,218966.0142581395,5207577.817746045,10.0,218956.0229829585,5207578.235382559,0.9991275180999473,-0.04176365136622433,0.0,630.0
3.0,218965.5966456875,5207567.827046525,10.0,218955.6053705065,5207568.244683038,0.9991275180999473,-0.04176365136622433,0.0,640.0
3.0,218965.1790332355,5207557.836347004,10.0,218955.1877580545,5207558.253983518,0.9991275181015717,-0.04176365132736059,0.0,650.0
3.0,218964.7614207845,5207547.845647485,10.0,218954.77014560348,5207548.263283999,0.9991275180999473,-0.04176365136622433,0.0,660.0
3.0,218964.3438083325,5207537.854947966,10.0,218954.35253315148,5207538.272584479,0.9991275181015717,-0.04176365132736059,0.0,670.0
3.0,218963.92619588051,5207527.864248445,10.0,218953.93492069954,5207528.281884959,0.9991275180987328,-0.04176365139527907,0.0,680.0
3.0,218963.5085834295,5207517.873548925,10.0,218953.5173082485,5207518.291185439,0.9991275180999473,-0.04176365136622433,0.0,690.0
3.0,218963.0909709775,5207507.882849405,10.0,218953.0996957965,5207508.300485918,0.9991275181015717,-0.04176365132736059,0.0,700.0
3.0,218962.6733585255,5207497.892149885,10.0,218952.6820833445,5207498.309786399,0.9991275180999473,-0.04176365136622433,0.0,710.0
3.0,218962.2557460745,5207487.901450365,10.0,218952.2644708935,5207488.319086879,0.9991275180987328,-0.04176365139527907,0.0,720.0
3.0,218961.83813362248,5207477.910750845,10.0,218951.84685844148,5207478.328387359,0.9991275181003573,-0.041763651356415334,0.0,730.0
3.0,218961.420521171,5207467.920051325,10.0,218951.4292459904,5207468.337687849,0.9991275180586545,-0.04176365235408554,0.0,740.0
3.0,218961.0029087195,5207457.929351805,10.0,218951.0116335385,5207458.3469883185,0.9991275180999473,-0.04176365136622433,0.0,750.0
3.0,218960.5852962675,5207447.938652281,10.0,218950.59402108632,5207448.35628879,0.9991275181178169,-0.04176365093872325,0.0,760.0
3.0,218960.167683816,5207437.94795276,10.0,218950.17640863525,5207438.36558928,0.9991275180753096,-0.0417636519556392,0.0,770.0
3.0,218959.7500713645,5207427.95725324,10.0,218949.75879618333,5207428.374889749,0.9991275181182269,-0.04176365092891426,0.0,780.0
