cat,lcat,x,y
1,18,226806.743924822,5138058.81652014
2,18,226807.004995751,5138059.78183976
3,23,226828.472023264,5138031.2587534
4,23,226829.470646868,5138031.2063044
5,24,230825.851294328,5127894.39601933
6,24,230826.323451072,5127895.27753394
7,40,242989.210150047,5142189.07043662
8,40,242990.001664089,5142189.6815876
9,47,241073.617923297,5135806.56224714
10,47,241073.645122362,5135807.56187718
11,74,228037.380669248,5131503.636028
12,74,228038.378574667,5131503.57133816
15,93,222997.622349174,5135051.75812651
16,93,222997.742172766,5135052.75092171
17,98,229903.9810628,5133028.43274943
18,98,229904.974849984,5133028.32145238
21,113,240903.569000413,5130956.49477414
22,113,240903.611533606,5130957.49386919
23,136,228032.151483966,5131522.07848169
24,136,228032.863570317,5131522.78057358
27,141,234130.912666278,5129597.29405219
28,141,234130.948000285,5129598.29342775
29,146,226750.477211338,5134778.82307159
30,146,226751.467066146,5134778.68098902
31,147,226726.637130951,5134804.47920233
32,147,226726.659741569,5134805.47894668
35,156,225415.215167561,5130655.86504605
36,156,225415.781117049,5130655.04060613
37,157,242994.277364851,5142161.70963397
38,157,242995.277090597,5142161.6862153
39,166,221657.956039518,5148002.74082282
40,166,221658.33770884,5148001.81652388
41,167,241639.046631717,5150318.8420631
42,167,241639.875025706,5150319.37756409
43,168,241633.385182716,5150299.60549892
44,168,241633.094268726,5150298.64874971
45,169,241643.660450582,5150306.62404922
46,169,241644.65828556,5150306.56159899
47,170,230994.30118569,5144284.96140865
48,170,230995.300543272,5144284.99724749
49,184,241097.187336319,5135780.35344146
50,184,241098.185992917,5135780.30162448
51,197,233236.801891147,5136114.89893585
52,197,233237.797081709,5136114.91637372
53,198,222951.22900556,5136553.59206787
54,198,222952.050609849,5136553.02200964
55,214,230987.438192539,5144298.4928209
56,214,230988.244135223,5144299.08481447
57,245,236613.07433086,5139199.66674588
58,245,236614.060174465,5139199.49907839
59,246,236606.713990628,5139217.71717479
60,246,236607.406768911,5139218.43832543
61,247,223934.171567831,5143098.05330331
62,247,223934.885917272,5143097.35351414
63,249,229898.488080399,5133050.1902857
64,249,229899.196134745,5133050.89644364
65,252,226595.870864856,5137488.30964695
66,252,226596.236067307,5137489.24057507
67,273,222982.069202068,5133362.75587789
68,273,222982.842838074,5133362.16715491
69,281,240987.095291289,5132533.75020463
70,281,240988.094859602,5132533.72082458
75,298,223951.204737231,5143121.05131611
76,298,223952.204698369,5143121.06013217
79,303,231606.085985577,5134605.87386284
80,303,231606.736404981,5134606.63343812
81,304,231611.211493056,5134590.50800817
82,304,231612.204540906,5134590.3902968
83,309,222291.16049253,5144749.96949336
84,309,222292.126088133,5144750.22954168
85,313,233230.374623966,5136124.71888411
86,313,233230.92801723,5136125.50430564
