cat,along,x,y
1,0,227457.840733166,5139636.3582737
2,19.9999999999405,227477.774008955,5139634.72593908
3,49.9999999994683,227475.325507027,5139604.8260254
4,69.9999999994088,227455.392231238,5139606.45836002
5,99.9999999989367,227457.840733166,5139636.3582737
6,0,226843.688744456,5138045.60543532
7,19.999999999968,226863.686339305,5138045.29527366
8,50.0000000007546,226863.221096814,5138015.29888139
9,70.0000000007226,226843.223501965,5138015.60904305
10,100.000000001509,226843.688744456,5138045.60543532
11,0,230847.151072698,5127927.4537489
12,20.0000000002219,230845.813824181,5127907.49850481
13,50.0000000002625,230815.880958057,5127909.50437759
14,70.0000000004844,230817.218206574,5127929.45962167
15,100.000000000525,230847.151072698,5127927.4537489
16,0,243098.720986186,5146245.03098346
17,19.9999999994236,243094.141727306,5146225.56228067
18,49.9999999994023,243064.938673129,5146232.43116899
19,69.9999999988259,243069.517932009,5146251.89987178
20,99.9999999988046,243098.720986186,5146245.03098346
21,0,241197.56590619,5139124.23089851
22,19.9999999998166,241200.805246712,5139104.49497509
23,49.9999999999484,241171.201361592,5139099.63596431
24,69.999999999765,241167.96202107,5139119.37188772
25,99.9999999998968,241197.56590619,5139124.23089851
26,0,228052.924644806,5131517.91675932
27,20.0000000000377,228072.910588629,5131517.16705971
28,49.9999999994195,228071.786039224,5131487.18814398
29,69.9999999994572,228051.800095401,5131487.93784358
30,99.9999999988391,228052.924644806,5131517.91675932
31,0,226832.48290363,5138087.67149179
32,20.0000000001028,226827.005277234,5138068.43622187
33,50.000000000265,226798.152372347,5138076.65266146
34,70.0000000003678,226803.629998743,5138095.88793138
35,100.00000000053,226832.48290363,5138087.67149179
36,0,223013.110923719,5135077.363579
37,19.9999999997355,223032.145913255,5135071.22605724
38,49.999999999714,223022.939630613,5135042.67357293
39,69.9999999994495,223003.904641077,5135048.81109469
40,99.9999999994279,223013.110923719,5135077.363579
41,0,237977.941214674,5132642.17107809
42,20.0000000000067,237957.952407698,5132641.50205218
43,50.0000000004937,237956.948868838,5132671.48526264
44,70.0000000005004,237976.937675814,5132672.15428855
45,100.000000000987,237977.941214674,5132642.17107809
46,0,243023.652368396,5142209.13455814
47,20.0000000005338,243014.42744523,5142191.38911387
48,50.0000000001963,242987.809278816,5142205.22649862
49,70.0000000007302,242997.034201982,5142222.97194289
50,100.000000000393,243023.652368396,5142209.13455814
51,0,240918.092339319,5130992.30289496
52,19.9999999993923,240919.235268962,5130972.33557887
53,49.9999999993523,240889.284294827,5130970.62118441
54,69.9999999987446,240888.141365184,5130990.5885005
55,99.9999999987047,240918.092339319,5130992.30289496
56,0,228068.187538485,5131532.27406921
57,19.9999999994427,228052.515826837,5131519.848392
58,49.9999999998341,228033.877311029,5131543.35595947
59,69.9999999992769,228049.549022677,5131555.78163668
60,99.9999999996683,228068.187538485,5131532.27406921
61,0,229919.26939508,5133040.62541315
62,19.9999999999636,229939.257706421,5133039.94173946
63,50.0000000004473,229938.232195878,5133009.95927245
64,70.0000000004109,229918.243884537,5133010.64294614
65,100.000000000895,229919.26939508,5133040.62541315
66,0,234147.139805948,5129631.73698355
67,20.0000000002941,234146.433125803,5129611.74947237
68,50.0000000003281,234116.451859033,5129612.80949258
69,70.0000000006223,234117.158539178,5129632.79700376
70,100.000000000656,234147.139805948,5129631.73698355
71,0,226766.012996436,5134792.21846206
72,19.9999999999657,226785.994612857,5134791.36113761
73,49.9999999994548,226784.708626168,5134761.38871298
74,69.9999999994204,226764.727009747,5134762.24603743
75,99.9999999989095,226766.012996436,5134792.21846206
76,0,226742.889736401,5134838.86712883
77,19.9999999991402,226742.111753552,5134818.88226599
78,49.9999999991301,226712.134459294,5134820.04924027
79,69.9999999982703,226712.912442143,5134840.03410311
80,99.9999999982602,226742.889736401,5134838.86712883
81,0,241088.562951178,5135841.10383027
82,19.9999999992344,241088.018969873,5135821.11122953
83,49.999999999249,241058.030068763,5135821.92720148
84,69.9999999984834,241058.574050068,5135841.91980222
85,99.999999998498,241088.562951178,5135841.10383027
86,0,225426.066310292,5130659.47828221
87,19.9999999999697,225446.046626632,5130658.59117514
