cat,along,x,y
1,0,236634.245951955,5139214.98866418
2,19.9999999997793,236652.31251245,5139206.40965539
3,49.9999999996441,236639.443999262,5139179.30981464
4,69.9999999994234,236621.377438767,5139187.88882343
5,99.9999999992882,236634.245951955,5139214.98866418
6,0,236642.622914201,5139230.32529448
7,19.9999999995357,236627.888571147,5139216.80127382
8,49.9999999990723,236607.602540161,5139238.9027884
9,69.999999998608,236622.336883215,5139252.42680906
10,99.9999999981445,236642.622914201,5139230.32529448
11,0,236636.844975609,5139197.14923941
12,0,236625.112727181,5139234.61404144
